,Site,datetime,NH4,Cl,stamps,slope_sample,kw,sw,Uadd,sp
4,GBL,11/4/22 11:41,0.97685,12.82803321,3-Apr,0.19302852,-0.026674823,37.48853415,0.0062881,NH4Cl
5,GBL,11/4/22 11:41,6.49075,17.77528192,4-May,0.052254143,-0.022814252,43.83224962,0.005378041,NH4Cl
6,GBL,11/4/22 11:42,2.39285,28.38136991,5-Jun,-1.465817067,0.008538234,-117.1202443,-0.002012732,NH4Cl
7,GBL,11/4/22 11:43,3.84635,38.1061305,6-Jul,0.179997289,-0.020778108,48.12757785,0.004898057,NH4Cl
8,GBL,11/4/22 11:44,7.89185,45.18781052,7-Aug,0.548253738,-0.017178162,58.21344561,0.004049436,NH4Cl
9,GBL,11/4/22 11:45,7.86135,49.15236981,8-Sep,-0.087969924,-0.006213087,160.9505803,0.001464621,NH4Cl
10,GBL,11/4/22 11:46,7.90835,50.47321637,9-Oct,-0.020556949,-0.007972486,125.4313941,0.001879367,NH4Cl
11,GBL,11/4/22 11:47,6.86005,49.79551679,10-Nov,-0.128686562,-0.008383625,119.2801483,0.001976286,NH4Cl
12,GBL,11/4/22 11:49,8.16925,46.13593904,11-Dec,0.167330064,-0.010957356,91.26289259,0.002582995,NH4Cl
13,GBL,11/4/22 11:50,7.30685,40.71402636,13-12,0.008969822,-0.005937454,168.4223562,0.001399646,NH4Cl
14,GBL,11/4/22 11:52,5.98985,33.22546177,14-13,0.002255132,-0.005668359,176.4178894,0.001336212,NH4Cl
15,GBL,11/4/22 11:56,3.67415,20.78942669,15-14,-0.004968145,-0.005578154,179.2707732,0.001314947,NH4Cl
16,GBL,11/4/22 11:59,2.14695,14.52047126,16-15,-0.059462841,-0.005975606,167.3470527,0.001408639,NH4Cl
17,GBL,11/4/22 12:03,1.57095,8.690065068,17-16,0.049227267,-0.009543376,104.7847204,0.002249676,NH4Cl
18,GBL,11/4/22 12:09,0.75315,4.964727039,18-17,-0.0296365,-0.005523149,181.0561214,0.001301981,NH4Cl
19,GBL,11/4/22 12:16,0.35115,2.897760755,19-18,-0.032090128,-0.009030135,110.7403133,0.002128689,NH4Cl
20,GBL,11/4/22 12:34,0.12245,1.709225695,20-19,-0.029200715,-0.013522753,73.94943865,0.003187741,NH4Cl
