"","Site","datetime","NH4","Cl","stamps","slope_sample","kw","sw","Uadd"
"4","BWL_NH4",2022-11-21 10:29:30,0.0027,0.224511239500784,"4-3",-0.183303505273393,-0.0148264314911375,67.4471129885669,0.137379256255451
"5","BWL_NH4",2022-11-21 10:32:10,0.0323,0.385665383685989,"5-4",0.727789168453418,-0.020936548333584,47.7633650049142,0.193994585975953
"6","BWL_NH4",2022-11-21 10:33:00,0.173,1.80415543867988,"6-5",0.0027069323174706,-0.00799807422774544,125.030097436578,0.0741088298651192
"7","BWL_NH4",2022-11-21 10:34:30,0.7709,6.6386394156185,"7-6",0.127635076692311,-0.00709576345525524,140.929162352415,0.0657481678332553
"8","BWL_NH4",2022-11-21 10:35:30,1.2398,11.281767824782,"8-7",-0.0551342288372241,-0.00581941268833213,171.838646536444,0.0539217132217203
"9","BWL_NH4",2022-11-21 10:36:30,1.7597,14.6802329498556,"9-8",0.0868793279560869,-0.00618697421391363,161.629896202112,0.0573274773830215
"10","BWL_NH4",2022-11-21 10:37:30,2.4004,16.451298192515,"10-9",0.196589550161208,-0.00560777869420638,178.323727545301,0.0519607477170575
"11","BWL_NH4",2022-11-21 10:38:25,2.0959,17.2813987170193,"11-10",-0.00336142995513851,-0.00429718169313166,232.710662804493,0.0398169731772505
"12","BWL_NH4",2022-11-21 10:39:30,2.0701,15.9247652825352,"12-11",0.064033017087621,-0.00552970601001578,180.841440428973,0.0512373391683193
"13","BWL_NH4",2022-11-21 10:41:30,1.7325,12.9090298857515,"13-12",0.0159584707902252,-0.00506724533104963,197.345882164513,0.0469522551842374
"14","BWL_NH4",2022-11-21 10:43:30,1.4142,9.8455786156233,"14-13",0.0339515614185024,-0.00485446572051329,205.99589276619,0.0449806745878357
"15","BWL_NH4",2022-11-21 10:45:30,1.0098,7.1649451838829,"15-14",-0.00949481827788712,-0.00440177823493326,227.180913400823,0.0407861473934593
"16","BWL_NH4",2022-11-21 10:47:30,0.803,5.3938948953934,"16-15",0.0273899075859778,-0.00452837581197176,220.829728256272,0.0419591795548183
"17","BWL_NH4",2022-11-21 10:50:00,0.6108,3.95785815988867,"17-16",0.0143918352918778,-0.00416317704415872,240.201170738843,0.0385753083152991
"18","BWL_NH4",2022-11-21 10:54:00,0.3606,2.18662650543653,"18-17",0.0165856999877239,-0.00392331312262742,254.886614640206,0.0363527689832837
"19","BWL_NH4",2022-11-21 10:59:00,0.2116,1.46859596317008,"19-18",-0.0270036960705993,-0.00348102778962145,287.271478550519,0.0322546264101787
"20","BWL_NH4",2022-11-21 11:06:00,0.0842,0.558892187309867,"20-19",0.00637181857568209,-0.00438115099197476,228.250521799355,0.0405950187798119
"21","BWL_NH4",2022-11-21 11:13:00,0.0361,0.415169545346251,"21-20",-0.0785189211749658,-0.00408379945844293,244.870006516255,0.0378398087653564
