,Site,datetime,NO3,Cl,stamps,slope_sample,kw,sw,Uadd,sp
3,BWL,2021-07-28T16:00:00Z,0.006,0.358159572,2-Mar,-0.262206824,-0.010362191,96.50468351,0.147008572,KNO3
4,BWL,2021-07-28T16:10:00Z,0.023,2.979111575,3-Apr,-0.18230253,-0.021899292,45.66357749,0.310685593,KNO3
5,BWL,2021-07-28T16:13:00Z,0.099,10.12716249,4-May,2.033838515,-0.023357712,42.81241269,0.331376224,KNO3
6,BWL,2021-07-28T16:16:00Z,0.166,22.65972242,5-Jun,0.154590263,-0.015222358,65.69284553,0.215959829,KNO3
7,BWL,2021-07-28T16:19:00Z,0.224,28.28282035,6-Jul,0.042928485,-0.014603997,68.47440579,0.207187131,KNO3
8,BWL,2021-07-28T16:21:00Z,0.22,29.14044877,7-Aug,0.066605062,-0.014432283,69.28910781,0.204751022,KNO3
9,BWL,2021-07-28T16:24:00Z,0.19,27.04357691,8-Sep,0.300213003,-0.014032652,71.26236498,0.19908146,KNO3
10,BWL,2021-07-28T16:30:00Z,0.202,18.84734197,9-Oct,0.002993843,-0.012731729,78.54392487,0.180625245,KNO3
11,BWL,2021-07-28T16:36:00Z,0.146,12.03302038,10-Nov,0.021450271,-0.012252715,81.61456727,0.173829454,KNO3
12,BWL,2021-07-28T16:45:00Z,0.089,6.648444379,11-Dec,-0.101109692,-0.012059662,82.92106254,0.171090616,KNO3
13,BWL,2021-07-28T17:01:00Z,0.045,2.454997385,13-12,0.101534906,-0.016710708,59.84186914,0.237075076,KNO3
