,Site,datetime,NH4,Cl,stamps,slope_sample,kw,sw,Uadd,sp
5,GBL,2022-10-03T11:04:00Z,2.865166667,40.20311022,4-May,0.007785757,-0.028810962,34.70901053,0.00317511,NH4Cl
6,GBL,2022-10-03T11:04:30Z,4.761766667,58.74218579,5-Jun,0.004292615,-0.024139508,41.4258646,0.002660293,NH4Cl
7,GBL,2022-10-03T11:05:30Z,7.485066667,95.05616339,6-Jul,-0.029018597,-0.021563939,46.3737163,0.002376452,NH4Cl
8,GBL,2022-10-03T11:06:30Z,12.54436667,141.9762683,7-Aug,0.115169761,-0.022144311,45.15832496,0.002440412,NH4Cl
9,GBL,2022-10-03T11:07:30Z,15.34836667,172.7470754,8-Sep,0.005568755,-0.019840916,50.40089893,0.002186567,NH4Cl
10,GBL,2022-10-03T11:08:30Z,18.50096667,191.5731054,9-Oct,0.083372966,-0.019729541,50.6854167,0.002174293,NH4Cl
11,GBL,2022-10-03T11:09:15Z,18.10216667,192.863214,10-Nov,-0.000633401,-0.018062082,55.36460446,0.00199053,NH4Cl
12,GBL,2022-10-03T11:10:30Z,18.89986667,183.2590718,11-Dec,0.075362871,-0.018632143,53.67069223,0.002053354,NH4Cl
13,GBL,2022-10-03T11:11:30Z,17.97236667,170.1668581,13-12,0.023801897,-0.016748071,59.7083688,0.00184572,NH4Cl
14,GBL,2022-10-03T11:12:30Z,15.96976667,151.3408281,14-13,-0.000893001,-0.016272033,61.45513568,0.001793258,NH4Cl
15,GBL,2022-10-03T11:13:30Z,12.98556667,135.190579,15-14,-0.094009914,-0.016289893,61.3877571,0.001795227,NH4Cl
16,GBL,2022-10-03T11:14:30Z,10.45516667,119.7564304,16-15,-0.095516664,-0.018170091,55.03549654,0.002002434,NH4Cl
17,GBL,2022-10-03T11:16:00Z,4.221566667,95.77001636,17-16,-0.455586458,-0.020080425,49.79974367,0.002212962,NH4Cl
18,GBL,2022-10-03T11:18:00Z,4.345166667,67.86446837,18-17,0.18664743,-0.033748018,29.63136941,0.003719198,NH4Cl
19,GBL,2022-10-03T11:20:00Z,3.555766667,50.56660387,19-18,0.046863915,-0.026282121,38.04867925,0.002896419,NH4Cl
20,GBL,2022-10-03T11:23:00Z,2.418266667,31.64476874,20-19,0.027732946,-0.024407565,40.97090458,0.002689834,NH4Cl
21,GBL,2022-10-03T11:26:00Z,1.951166667,21.70501975,21-20,0.054135249,-0.022743588,43.96843656,0.002506456,NH4Cl
22,GBL,2022-10-03T11:31:00Z,0.976866667,12.81616829,22-21,-0.032999311,-0.019495473,51.29395951,0.002148497,NH4Cl
23,GBL,2022-10-03T11:42:00Z,0.364366667,6.648990767,23-22,-0.029995186,-0.022795404,43.868492,0.002512166,NH4Cl
