"","Site","datetime","NO3","Cl","stamps","slope_sample","kw","sw","Uadd"
"2","GBL_NO3",2022-10-03 13:00:00,0,0.23733851662628,"2-1",-Inf,-0.0856233239895995,11.679060720902,0.00578495534924366
"4","GBL_NO3",2022-10-03 13:05:00,1.452,18.6772372951538,"4-3",0.404666726662437,-0.0536488216785685,18.6397383709823,0.00362466701231726
"5","GBL_NO3",2022-10-03 13:06:00,3.214,48.9657938895942,"5-4",-0.16924209408016,-0.037462152612071,26.6936075552098,0.00253104960248573
"6","GBL_NO3",2022-10-03 13:07:00,6.286,81.8802383790203,"6-5",0.156672969400291,-0.0408469944936742,24.4816053762503,0.00275973914917634
"7","GBL_NO3",2022-10-03 13:08:00,NA,120.290089462451,"7-6",NA,-0.0377135351056684,26.5156792434899,0.00254803371888396
"9","GBL_NO3",2022-10-03 13:09:30,12.79,175.276573666556,"9-8",-0.0814524521327833,-0.0370998620229809,26.9542781420741,0.00250657221964561
"10","GBL_NO3",2022-10-03 13:10:30,13.673,204.990779403743,"10-9",-0.0898403825479903,-0.0387289110656366,25.8205039203201,0.00261663540727233
"11","GBL_NO3",2022-10-03 13:11:30,15.36,212.586725410096,"11-10",0.0799586173178461,-0.0405257187165964,24.6756882214274,0.00273803284371435
"12","GBL_NO3",2022-10-03 13:12:40,16.374,208.468612463653,"12-11",0.0715624437891785,-0.0389265463702395,25.6894097536618,0.00262998821068254
"13","GBL_NO3",2022-10-03 13:14:00,16.061,187.41100354341,"13-12",0.0653877504970258,-0.0372567560151587,26.8407694860264,0.00251717242408783
"14","GBL_NO3",2022-10-03 13:16:00,15.4,149.096780073972,"14-13",0.0933409977552024,-0.0355130826685713,28.1586368981983,0.00239936489240524
"15","GBL_NO3",2022-10-03 13:18:00,11.9,112.215136986522,"15-14",0.0131743108725597,-0.0317794427583632,31.4668827771323,0.00214710955864441
"16","GBL_NO3",2022-10-03 13:20:00,6.356,78.0583626493257,"16-15",-0.132089021346469,-0.0312524703234608,31.997470588727,0.00211150580181569
"17","GBL_NO3",2022-10-03 13:23:00,6.703,48.5811742163174,"17-16",0.175792210211745,-0.0365360311773196,27.3702415882754,0.00246847820373152
"18","GBL_NO3",2022-10-03 13:27:00,4.067,26.987667330332,"18-17",0.0220516343739177,-0.0259884985646149,38.4785599488833,0.00175585689488581
"19","GBL_NO3",2022-10-03 13:31:00,2.413,15.3783527367351,"19-18",0.010096075432946,-0.0242243678147015,41.2807470415436,0.00163666720283746
"20","GBL_NO3",2022-10-03 13:45:00,1.286,4.91445831721887,"20-19",0.036531796848095,-0.0234166817800658,42.7045987724564,0.00158209763663909
"21","GBL_NO3",2022-10-03 13:55:30,0.194,2.98108865412925,"21-20",-0.132527691649414,-0.0131877786625992,75.8277815835673,0.000891003842926158
