"","Site","datetime","NH4","Cl","stamps","slope_sample","kw","sw","Uadd"
"4","GBU_NH4",2022-10-03 14:42:30,9.85665,157.457716588419,"4-3",-0.00966979836540638,-0.0184306653610299,54.2574009354223,0.00152281027865822
"5","GBU_NH4",2022-10-03 14:43:00,13.53695,211.302815142675,"5-4",0.000771377931407831,-0.018624061328338,53.6939812627452,0.00153878937442601
"6","GBU_NH4",2022-10-03 14:43:30,18.02105,261.133648536909,"6-5",0.00247924811110335,-0.0181612345694933,55.0623359977833,0.0015005489022672
"7","GBU_NH4",2022-10-03 14:44:00,19.55765,297.396597688471,"7-6",-0.00160694196615284,-0.0166736857028313,59.9747421069711,0.00137764206956278
"8","GBU_NH4",2022-10-03 14:45:00,22.72615,323.051896195511,"8-7",0.0674033437252675,-0.017637850882523,56.696249824341,0.00145730499096025
"9","GBU_NH4",2022-10-03 14:46:00,21.12765,302.221049663926,"9-8",-0.00627935718599604,-0.0162897840080177,61.3881681615796,0.00134592268041405
"10","GBU_NH4",2022-10-03 14:47:00,16.90675,256.068302532018,"10-9",-0.0571551721928567,-0.0164153711517376,60.9185129447498,0.00135629915839668
"11","GBU_NH4",2022-10-03 14:48:00,17.50505,208.099168761641,"11-10",0.242205936943441,-0.0175584745955947,56.9525555625937,0.00145074662623232
"12","GBU_NH4",2022-10-03 14:49:00,7.72505,160.56098383404,"12-11",-0.558680208486557,-0.0127143558567259,78.6512514883715,0.00105050747793832
"13","GBU_NH4",2022-10-03 14:51:00,7.72505,89.2763874079703,"13-12",0.293468398895916,-0.0238879600264571,41.8620928238515,0.00197371230782483
"14","GBU_NH4",2022-10-03 14:52:00,3.24545,66.5823746566011,"14-13",-0.573917143360783,-0.0121492240706204,82.3097832575356,0.00100381418305068
"15","GBU_NH4",2022-10-03 14:54:00,3.22465,35.0969283899742,"15-14",0.316948341570481,-0.0236275669378361,42.3234437397212,0.00195219766013978
"16","GBU_NH4",2022-10-03 14:56:00,1.70595,19.8074477120398,"16-15",-0.0323233372861174,-0.0109496332750168,91.3272595422574,0.000904699519638067
"17","GBU_NH4",2022-10-03 14:59:00,0.98935,9.67837944666157,"17-16",0.0571114272830118,-0.0122425667664615,81.6822173875741,0.00101152650454749
"18","GBU_NH4",2022-10-03 15:04:00,0.42695,4.23016392951622,"18-17",-0.00254550461527341,-0.00881588112948081,113.431656497266,0.000728400963092103
"19","GBU_NH4",2022-10-03 15:10:10,0.20335,2.21120363484112,"19-18",-0.0150866805554818,-0.00907043159100815,110.248337134402,0.000749432871146309
