,Site,datetime,NH4,Cl,stamps,slope_sample,kw,sw,Uadd,sp
2,BWL,2/15/23 11:55,0.003,0.114574343,1-Feb,0.005970025,-0.017660133,56.6247141,0.184790072,NH4Cl
3,BWL,2/15/23 11:57,0.004,0.114486461,2-Mar,0.1442247,-0.017540733,57.01016088,0.183540702,NH4Cl
4,BWL,2/15/23 11:59,0.073966667,7.963395098,3-Apr,-0.662416979,-0.014656239,68.23032923,0.153358266,NH4Cl
5,BWL,2/15/23 11:59,0.372766667,10.11702472,4-May,0.045932464,-0.027904578,35.83641314,0.291984718,NH4Cl
6,BWL,2/15/23 12:00,0.321366667,7.771911417,5-Jun,0.003844452,-0.014124839,70.79726673,0.147797866,NH4Cl
7,BWL,2/15/23 12:30,0.321566667,0.448394818,6-Jul,0.095107314,-0.012971504,77.09206561,0.135729726,NH4Cl
9,BWL,2/15/23 12:02,0.308866667,2.268040226,8-Sep,0.407740968,-0.005129644,194.9453179,0.053674975,NH4Cl
10,BWL,2/15/23 12:03,0.236966667,1.167212048,9-Oct,0.399307882,-0.001052234,950.3590373,0.011010244,NH4Cl
16,BWL,2/15/23 12:12,0.007666667,0.305450342,16-15,-0.364201299,-0.007037631,142.0932759,0.073639551,NH4Cl
17,BWL,2/15/23 12:15,0.002466667,0.305331559,17-16,-0.323892932,-0.01796367,55.66791302,0.18796618,NH4Cl
18,BWL,2/15/23 12:20,0.000866667,0.305183084,18-17,-0.232329369,-0.029299922,34.12978336,0.306585156,NH4Cl
