,Site,datetime,NO3,Cl,stamps,slope_sample,kw,sw,Uadd,sp
3,BWL,11/21/22 12:55,0.001,0.11779266,2-Mar,-6.00E-05,-0.027248732,36.69895602,0.001247152,KNO3
4,BWL,11/21/22 12:57,0.096,1.553564194,3-Apr,0.793986839,-0.027251133,36.69572172,0.001247261,KNO3
5,BWL,11/21/22 12:59,0.408,5.861006078,4-May,0.079432986,-0.014018019,71.33675491,0.000641593,KNO3
6,BWL,11/21/22 13:00,0.753,10.83849448,5-Jun,-0.001323182,-0.013223689,75.62186123,0.000605237,KNO3
7,BWL,11/21/22 13:01,1.004,12.99228502,6-Jul,0.106430452,-0.013236921,75.54626852,0.000605843,KNO3
8,BWL,11/21/22 13:02,1.12,13.8537038,7-Aug,0.045139766,-0.012527385,79.82512034,0.000573368,KNO3
9,BWL,11/21/22 13:03,1.226,13.8537038,8-Sep,0.090428152,-0.012226453,81.78986965,0.000559594,KNO3
10,BWL,11/21/22 13:04,1.233,12.99221542,9-Oct,0.069895641,-0.011623599,86.03187592,0.000532002,KNO3
11,BWL,11/21/22 13:05,0.96,11.55633489,10-Nov,-0.133155616,-0.011157628,89.62478611,0.000510675,KNO3
12,BWL,11/21/22 13:07,1.085,9.929208771,11-Dec,0.182769966,-0.012045332,83.01971355,0.000551305,KNO3
13,BWL,11/21/22 13:09,0.759,7.440401435,13-12,-0.034388749,-0.010217632,97.87003302,0.000467652,KNO3
14,BWL,11/21/22 13:11,0.55,9.217892869,14-13,-0.247525462,-0.010676149,93.66673455,0.000488638,KNO3
15,BWL,11/21/22 13:15,0.356,3.180868909,15-14,0.164088137,-0.014251517,70.1679706,0.00065228,KNO3
16,BWL,11/21/22 13:20,0.193,1.745051917,16-15,-0.00237409,-0.010058153,99.42183084,0.000460353,KNO3
17,BWL,11/21/22 13:25,0.098,1.027010383,17-16,-0.029518089,-0.010137289,98.64569855,0.000463975,KNO3
18,BWL,11/21/22 13:30,0.052,0.500417782,18-17,0.017048049,-0.011121226,89.91814595,0.000509009,KNO3
19,BWL,11/21/22 13:35,0.028,0.500417782,19-18,-0.123807842,-0.010552957,94.76016603,0.000483,KNO3
