,Site,datetime,NO3,Cl,stamps,slope_sample,kw,sw,Uadd,sp
4,GBL,6/3/21 12:18,0.005,0.494880056,3-Apr,-0.050357125,-0.057932331,17.26151845,0.00434516,KNO3
5,GBL,6/3/21 12:24,0.002,0.779030076,4-May,-0.228337494,-0.059946616,16.68150876,0.00449624,KNO3
6,GBL,6/3/21 12:26,0.011,0.873525774,5-Jun,0.795130055,-0.087347115,11.448575,0.006551388,KNO3
7,GBL,6/3/21 12:27,0.005,0.873525774,6-Jul,-0.78845736,-0.055541913,18.00442126,0.004165869,KNO3
8,GBL,6/3/21 12:29,0.005,0.872868435,7-Aug,0.000376398,-0.07131106,14.02307014,0.005348619,KNO3
9,GBL,6/3/21 12:31,0.005,1.0151026,8-Sep,-0.075480065,-0.071296004,14.02603146,0.00534749,KNO3
10,GBL,6/3/21 12:35,0.002,1.109266053,9-Oct,-0.251249906,-0.074315207,13.45619613,0.005573942,KNO3
11,GBL,6/3/21 12:40,0.004,1.345986358,10-Nov,0.099943734,-0.094415199,10.59151499,0.007081523,KNO3
12,GBL,6/3/21 12:50,0.009,1.676195498,11-Dec,0.059153067,-0.084420826,11.84541832,0.006331905,KNO3
13,GBL,6/3/21 13:00,0.004,2.008043116,13-12,-0.099156425,-0.072590213,13.77596185,0.005444561,KNO3
