,Site,datetime,NH4,Cl,stamps,slope_sample,kw,sw,Uadd,sp
4,GBL,10/3/22 11:03,1.316666667,76.83981642,3-Apr,1.197444129,-0.054710305,18.27809217,0.100868086,NH4Cl
5,GBL,10/3/22 11:04,2.865166667,93.70700578,4-May,0.019302441,-0.03760396,26.59294362,0.069329526,NH4Cl
6,GBL,10/3/22 11:04,4.761766667,112.2460813,5-Jun,0.010915719,-0.029331486,34.09305642,0.054077762,NH4Cl
7,GBL,10/3/22 11:05,7.485066667,148.560059,6-Jul,0.171995479,-0.024653321,40.56248718,0.04545274,NH4Cl
8,GBL,10/3/22 11:06,12.54436667,195.4801638,7-Aug,0.241892172,-0.022196242,45.05267089,0.040922683,NH4Cl
9,GBL,10/3/22 11:07,15.34836667,226.2509709,8-Sep,0.055551405,-0.01874064,53.35997105,0.034551671,NH4Cl
10,GBL,10/3/22 11:08,18.50096667,245.0770009,9-Oct,0.106886344,-0.017947048,55.71946877,0.033088546,NH4Cl
11,GBL,10/3/22 11:09,18.10216667,246.3671096,10-Nov,-0.000600925,-0.016420101,60.90096679,0.030273348,NH4Cl
12,GBL,10/3/22 11:10,18.89986667,236.7629674,11-Dec,0.066309173,-0.01680641,59.50110827,0.030985577,NH4Cl
13,GBL,10/3/22 11:11,17.97236667,223.6707536,13-12,0.006564908,-0.015622317,64.01099038,0.028802494,NH4Cl
14,GBL,10/3/22 11:12,15.96976667,204.8447237,14-13,-0.030215168,-0.015528533,64.39758404,0.028629586,NH4Cl
15,GBL,10/3/22 11:13,12.98556667,188.6944746,15-14,-0.124735791,-0.015960178,62.65594237,0.0294254,NH4Cl
16,GBL,10/3/22 11:14,10.45516667,173.260326,16-15,-0.131408278,-0.017742118,56.36305659,0.03271072,NH4Cl
17,GBL,10/3/22 11:16,4.221566667,149.2739119,17-16,-0.505251788,-0.019619379,50.97001262,0.036171782,NH4Cl
18,GBL,10/3/22 11:18,4.345166667,121.3683639,18-17,0.117905256,-0.030446203,32.84481798,0.056132939,NH4Cl
19,GBL,10/3/22 11:20,3.555766667,104.0704994,19-18,-0.023365858,-0.027077482,36.93105648,0.049922108,NH4Cl
20,GBL,10/3/22 11:23,2.418266667,85.1486643,20-19,-0.061616614,-0.027745077,36.04242955,0.051152938,NH4Cl
21,GBL,10/3/22 11:26,1.951166667,75.20891531,21-20,-0.030164868,-0.030385789,32.91012073,0.056021556,NH4Cl
22,GBL,10/3/22 11:31,0.976866667,66.32006384,22-21,-0.113211058,-0.03167857,31.56708194,0.058405024,NH4Cl
23,GBL,10/3/22 11:42,0.364366667,60.15288633,23-22,-0.080780585,-0.039765074,25.14769642,0.073313919,NH4Cl
