,Site,datetime,NH4,Cl,stamps,slope_sample,kw,sw,Uadd,sp
8,GBL,12/12/22 12:09,3.26425,28.01182824,7-Aug,0.003033534,-0.007289374,137.1859933,0.013629657,NH4Cl
9,GBL,12/12/22 12:11,2.79225,27.59335805,8-Sep,-0.084678324,-0.005122564,195.2147512,0.00957816,NH4Cl
10,GBL,12/12/22 12:12,2.14465,21.56158993,9-Oct,-0.011473165,-0.007138714,140.0812472,0.013347954,NH4Cl
11,GBL,12/12/22 12:13,1.78365,17.73189589,10-Nov,0.0112339,-0.007384568,135.4175388,0.013807651,NH4Cl
12,GBL,12/12/22 12:15,1.16045,12.08240672,11-Dec,-0.023119663,-0.007224084,138.4258633,0.013507578,NH4Cl
13,GBL,12/12/22 12:17,0.86185,8.827180533,13-12,0.010955232,-0.007884645,126.8287867,0.014742695,NH4Cl
14,GBL,12/12/22 12:19,0.54305,5.332599474,14-13,0.016846795,-0.00764989,130.720828,0.01430375,NH4Cl
15,GBL,12/12/22 12:22,0.34175,3.513502485,15-14,-0.018358598,-0.007048219,141.879812,0.013178747,NH4Cl
16,GBL,12/12/22 12:25,0.20785,2.07802149,16-15,0.007981244,-0.007703883,129.8046662,0.014404706,NH4Cl
17,GBL,12/12/22 12:30,0.12455,1.168469155,17-16,0.014136074,-0.007304821,136.8958921,0.013658541,NH4Cl
18,GBL,12/12/22 12:40,0.04595,0.449760187,18-17,-0.004241816,-0.006396073,156.3459211,0.011959366,NH4Cl
