,Site,datetime,NH4,Cl,stamps,slope_sample,kw,sw,Uadd,sp
4,GBL,3/27/23 12:19,0.002,0.326666634,3-Apr,1.611479564,-0.099543279,10.04588166,0.018555475,NH4Cl
6,GBL,3/27/23 12:21,0.9174,9.945181057,5-Jun,0.003252828,-0.014039672,71.2267342,0.002617081,NH4Cl
7,GBL,3/27/23 12:21,1.7724,18.32009079,6-Jul,0.001587869,-0.013063824,76.54726557,0.002435177,NH4Cl
8,GBL,3/27/23 12:22,2.3527,23.05751509,7-Aug,0.00177452,-0.012111103,82.56886446,0.002257584,NH4Cl
9,GBL,3/27/23 12:22,2.4711,22.67466288,8-Sep,0.00219478,-0.011046391,90.52730801,0.002059115,NH4Cl
10,GBL,3/27/23 12:23,1.951,19.22936671,9-Oct,-0.002383728,-0.009729522,102.779969,0.001813642,NH4Cl
11,GBL,3/27/23 12:23,1.4498,14.68262303,10-Nov,-0.00090475,-0.011159759,89.60767037,0.002080247,NH4Cl
12,GBL,3/27/23 12:24,1.1256,10.66267484,11-Dec,0.002226866,-0.011702609,85.45103007,0.002181438,NH4Cl
13,GBL,3/27/23 12:25,0.517,5.398112465,13-12,-0.09732867,-0.010366489,96.46467285,0.001932377,NH4Cl
14,GBL,3/27/23 12:26,0.2516,2.670296237,14-13,-0.016342417,-0.012313063,81.21456243,0.00229523,NH4Cl
15,GBL,3/27/23 12:28,0.0753,1.042507152,15-14,-0.132899754,-0.012639911,79.11448079,0.002356157,NH4Cl
16,GBL,3/27/23 12:30,0.0257,0.850077531,16-15,-0.435466444,-0.017955901,55.6919972,0.00334709,NH4Cl
17,GBL,3/27/23 12:35,0.0119,0.84940772,17-16,-0.153832868,-0.035374559,28.26890367,0.006594034,NH4Cl
18,GBL,3/27/23 12:40,0.0043,0.848403013,18-17,-0.203347969,-0.050757846,19.70138774,0.009461573,NH4Cl
