,Site,datetime,NO3,Cl,stamps,slope_sample,kw,sw,Uadd,sp
4,GBL,12/12/22 13:38,1.751,12.82559621,3-Apr,0.383653576,-0.023656556,42.27158008,0.001545148,KNO3
5,GBL,12/12/22 13:39,1.143,21.0122601,4-May,-0.920193872,-0.015983484,62.56458054,0.001043975,KNO3
6,GBL,12/12/22 13:39,1.767,24.65046944,5-Jun,0.006131932,-0.034387362,29.08045122,0.00224604,KNO3
7,GBL,12/12/22 13:41,1.97,27.04402822,6-Jul,0.012864065,-0.028868623,34.63968478,0.001885579,KNO3
8,GBL,12/12/22 13:42,1.761,25.75150648,7-Aug,-0.06317863,-0.028547021,35.02992441,0.001864573,KNO3
9,GBL,12/12/22 13:43,1.543,23.02211354,8-Sep,-0.020115339,-0.029810594,33.54512163,0.001947104,KNO3
10,GBL,12/12/22 13:44,1.236,19.38464013,9-Oct,-0.049874009,-0.030212901,33.0984439,0.001973381,KNO3
11,GBL,12/12/22 13:45,1.04,16.0808224,10-Nov,0.014193954,-0.031210381,32.04062145,0.002038533,KNO3
12,GBL,12/12/22 13:46,0.767,12.96920913,11-Dec,-0.089439804,-0.030926502,32.33472721,0.002019991,KNO3
13,GBL,12/12/22 13:48,0.44,8.421129516,13-12,-0.061939011,-0.032715298,30.56673985,0.002136828,KNO3
14,GBL,12/12/22 13:50,0.36,4.783272676,14-13,0.182474149,-0.035192858,28.41485596,0.002298652,KNO3
15,GBL,12/12/22 13:53,0.183,2.437594979,15-14,-0.000834932,-0.027893892,35.85014193,0.001821913,KNO3
16,GBL,12/12/22 13:55,0.141,1.528046484,16-15,0.103147757,-0.027943988,35.78587247,0.001825185,KNO3
17,GBL,12/12/22 13:57,0.114,0.95327343,17-16,0.103712868,-0.023818078,41.98491589,0.001555698,KNO3
18,GBL,12/12/22 14:03,0.069,0.235210345,18-17,0.163150843,-0.018632435,53.66985176,0.001216993,KNO3
