,Site,datetime,NO3,Cl,stamps,slope_sample,kw,sw,Uadd,sp
2,GBL,7/22/21 14:05,0.003,0.316306119,1-Feb,0.070486219,-0.027204396,36.75876535,0.003122019,KNO3
3,GBL,7/22/21 14:16,0.003,5.658904123,2-Mar,-0.262206824,-0.016190924,61.76299745,0.001858096,KNO3
4,GBL,7/22/21 14:18,0.005,13.58085309,3-Apr,-0.18230253,-0.034217643,29.22468959,0.00392687,KNO3
5,GBL,7/22/21 14:19,0.055,19.54496479,4-May,2.033838515,-0.036496425,27.39994412,0.004188387,KNO3
6,GBL,7/22/21 14:20,0.083,25.27042798,5-Jun,0.154590263,-0.023784934,42.04342114,0.002729596,KNO3
7,GBL,7/22/21 14:21,0.112,32.66697524,6-Jul,0.042928485,-0.022818745,43.8236197,0.002618715,KNO3
8,GBL,7/22/21 14:22,0.18,47.5088031,7-Aug,0.066605062,-0.022550442,44.345029,0.002587924,KNO3
9,GBL,7/22/21 14:23,0.307,58.5320909,8-Sep,0.300213003,-0.021926019,45.60791359,0.002516264,KNO3
10,GBL,7/22/21 14:24,0.407,68.84013251,9-Oct,0.002993843,-0.019893327,50.26811192,0.002282989,KNO3
11,GBL,7/22/21 14:26,0.595,95.89674174,10-Nov,0.021450271,-0.019144867,52.23332305,0.002197095,KNO3
12,GBL,7/22/21 14:38,0.318,163.9437592,11-Dec,-0.101109692,-0.018843222,53.06948002,0.002162478,KNO3
13,GBL,7/22/21 14:52,0.946,111.8835374,13-12,0.101534906,-0.026110481,38.29879625,0.00299648,KNO3
14,GBL,7/22/21 14:55,1.462,97.71132142,14-13,0.201444397,-0.01690888,59.1405214,0.00194049,KNO3
15,GBL,7/22/21 14:58,1.035,90.45727486,15-14,-0.100599053,-0.013341636,74.95332759,0.001531107,KNO3
16,GBL,7/22/21 15:00,0.882,84.44455977,16-15,-0.045591117,-0.015018287,66.58549141,0.001723522,KNO3
17,GBL,7/22/21 15:04,0.859,71.03525072,17-16,0.036623961,-0.015588176,64.15118883,0.001788923,KNO3
18,GBL,7/22/21 15:10,0.839,58.00875924,18-17,0.029837334,-0.014672577,68.15435526,0.001683848,KNO3
19,GBL,7/22/21 15:15,0.667,47.84487231,19-18,-0.007358118,-0.013553677,73.78071875,0.001555441,KNO3
20,GBL,7/22/21 15:21,0.485,37.9701854,20-19,-0.013458225,-0.013783618,72.54989339,0.00158183,KNO3
21,GBL,7/22/21 15:30,0.414,28.04562229,21-20,0.017021857,-0.014330358,69.78192651,0.001644574,KNO3
