Cup,Type,ID,Sample Details,Result,Units,QC Pro,Auto Dil.,Man Dil.,User,Time & Date
,S1,Standard 1,,0.014,,,,,ad,2/24/22 12:23
,S90,Standard 90,,0.025,,,,,ad,2/24/22 12:25
,S91,Standard 91,,0.051,,,,,ad,2/24/22 12:27
,S92,Standard 92,,0.081,,,,,ad,2/24/22 12:29
,S93,Standard 93,,0.19,,,,,ad,2/24/22 12:30
,S94,Standard 94,,0.387,,,,,ad,2/24/22 12:32
,S95,Standard 95,,0.568,,,,,ad,2/24/22 12:34
,S96,Standard 96,,0.716,,,,,ad,2/24/22 12:36
,S0,Standard 0,,0.012,,,,,ad,2/24/22 12:38
,CCV,CCV,,-0.008,mg N/L,,,,ad,2/24/22 12:39
,CCB,CCB,,-0.001,mg N/L,,,,ad,2/24/22 12:41
3,U1,INC_20210707_blank,,0.014,mg N/L,,,,ad,2/24/22 12:43
4,U2,INC_20210707_HOR,,0.023,mg N/L,,,,ad,2/24/22 12:45
5,U3,INC_20210707_U1,,0.025,mg N/L,,,,ad,2/24/22 12:47
6,U4,INC_20210707_U2,,0.024,mg N/L,,,,ad,2/24/22 12:48
7,U5,INC_20210707_U3,,0.026,mg N/L,,,,ad,2/24/22 12:50
8,U6,INC_20210707_U4,,0.029,mg N/L,,,,ad,2/24/22 12:52
9,U7,INC_20210707_U5,,0.043,mg N/L,,,,ad,2/24/22 12:54
10,U8,INC_20210707_U6,,0.023,mg N/L,,,,ad,2/24/22 12:56
11,U9,INC_20210707_U7,,0.024,mg N/L,,,,ad,2/24/22 12:57
12,U10,INC_20210707_U8,,0.022,mg N/L,,,,ad,2/24/22 12:59
13,U11,INC_20210707_U9,,0.023,mg N/L,,,,ad,2/24/22 13:01
14,U12,INC_20210707_U10,,0.023,mg N/L,,,,ad,2/24/22 13:03
14,DUP,Duplicate,INC_20210707_U10,0.017,mg N/L,26.3,,,ad,2/24/22 13:05
15,U13,INC_20210707_U11,,0.023,mg N/L,,,,ad,2/24/22 13:06
16,U14,INC_20210707_U12,,0.024,mg N/L,,,,ad,2/24/22 13:08
17,U15,INC_20210707_U13,,0.019,mg N/L,,,,ad,2/24/22 13:10
,CCV,CCV,,-0.013,mg N/L,,,,ad,2/24/22 13:12
,CCB,CCB,,-0.001,mg N/L,,,,ad,2/24/22 13:14
18,U16,INC_20210707_U14,,0.024,mg N/L,,,,ad,2/24/22 13:15
19,U17,INC_20210707_U15,,0.029,mg N/L,,,,ad,2/24/22 13:17
20,U18,INC_20210707_U16,,0.025,mg N/L,,,,ad,2/24/22 13:19
21,U19,INClow_20210707_blank,,0.025,mg N/L,,,,ad,2/24/22 13:21
22,U20,INClow_20210707_HOR,,-0.003ELL,mg N/L,,,,ad,2/24/22 13:23
23,U21,INClow_20210707_U1,,0.031,mg N/L,,,,ad,2/24/22 13:24
24,U22,INClow_20210707_U2,,0.034,mg N/L,,,,ad,2/24/22 13:26
25,U23,INClow_20210707_U3,,0.038,mg N/L,,,,ad,2/24/22 13:28
26,U24,INClow_20210707_U4,,0.033,mg N/L,,,,ad,2/24/22 13:30
27,U25,INClow_20210707_U5,,0.035,mg N/L,,,,ad,2/24/22 13:32
28,U26,INClow_20210707_U6,,0.036,mg N/L,,,,ad,2/24/22 13:34
29,U27,INClow_20210707_U7,,0.037,mg N/L,,,,ad,2/24/22 13:35
30,U28,INClow_20210707_U8,,0.034,mg N/L,,,,ad,2/24/22 13:37
30,DUP,Duplicate,INClow_20210707_U8,0.035,mg N/L,0.75,,,ad,2/24/22 13:39
31,U29,INClow_20210707_U9,,0.036,mg N/L,,,,ad,2/24/22 13:41
32,U30,INClow_20210707_U10,,0.036,mg N/L,,,,ad,2/24/22 13:43
,CCV,CCV,,-0.017,mg N/L,,,,ad,2/24/22 13:44
,CCB,CCB,,-0.003,mg N/L,,,,ad,2/24/22 13:46
33,U31,INClow_20210707_U11,,0.033,mg N/L,,,,ad,2/24/22 13:48
34,U32,INClow_20210707_U12,,0.035,mg N/L,,,,ad,2/24/22 13:50
35,U33,INClow_20210707_U13,,0.038,mg N/L,,,,ad,2/24/22 13:52
36,U34,INClow_20210707_U14,,0.034,mg N/L,,,,ad,2/24/22 13:54
37,U35,INClow_20210707_U15,,0.035,mg N/L,,,,ad,2/24/22 13:55
38,U36,GBlow_20210603_HOR,,0.034,mg N/L,,,,ad,2/24/22 13:57
39,U37,GBlow_20210603_U1,,0.003,mg N/L,,,,ad,2/24/22 13:59
40,U38,GBlow_20210603_U2,,0.008,mg N/L,,,,ad,2/24/22 14:01
41,U39,GBlow_20210603_U3,,0.005,mg N/L,,,,ad,2/24/22 14:03
42,U40,GBlow_20210603_U4,,0.005,mg N/L,,,,ad,2/24/22 14:04
43,U41,GBlow_20210603_U5,,0.002,mg N/L,,,,ad,2/24/22 14:06
44,U42,GBlow_20210603_U6,,0.011,mg N/L,,,,ad,2/24/22 14:08
44,DUP,Duplicate,GBlow_20210603_U6,0.01,mg N/L,5.99,,,ad,2/24/22 14:10
45,U43,GBlow_20210603_U7,,0.005,mg N/L,,,,ad,2/24/22 14:12
46,U44,GBlow_20210603_U8,,0.005,mg N/L,,,,ad,2/24/22 14:14
47,U45,GBlow_20210603_U9,,0.005,mg N/L,,,,ad,2/24/22 14:15
,CCV,CCV,,-0.011,mg N/L,,,,ad,2/24/22 14:17
,CCB,CCB,,-0.001,mg N/L,,,,ad,2/24/22 14:19
48,U46,GBlow_20210603_U10,,0.002,mg N/L,,,,ad,2/24/22 14:21
49,U47,GBlow_20210603_U11,,0.004,mg N/L,,,,ad,2/24/22 14:23
50,U48,GBlow_20210603_U12,,0.009,mg N/L,,,,ad,2/24/22 14:24
51,U49,GBlow_20210603_U13,,0.004,mg N/L,,,,ad,2/24/22 14:26
52,U50,GBlow_20210623_blank,,0.003,mg N/L,,,,ad,2/24/22 14:28
53,U51,GBlow_20210623_U1,,0.007,mg N/L,,,,ad,2/24/22 14:30
54,U52,GBlow_20210623_U2,,0.008,mg N/L,,,,ad,2/24/22 14:32
55,U53,GBlow_20210623_U3,,0.014,mg N/L,,,,ad,2/24/22 14:33
56,U54,GBlow_20210623_U4,,0.015,mg N/L,,,,ad,2/24/22 14:33
57,U55,GBlow_20210623_U5,,0.015,mg N/L,,,,ad,2/24/22 14:34
58,U56,GBlow_20210623_U6,,0.016,mg N/L,,,,ad,2/24/22 14:35
59,U57,GBlow_20210623_U7,,0.016,mg N/L,,,,ad,2/24/22 14:36
60,U58,GBlow_20210623_U8,,0.016,mg N/L,,,,ad,2/24/22 14:37
60,DUP,Duplicate,GBlow_20210623_U8,0.017,mg N/L,6.71,,,ad,2/24/22 14:38
,CCV,CCV,,-0.006,mg N/L,,,,ad,2/24/22 14:39
,CCB,CCB,,0,mg N/L,,,,ad,2/24/22 14:39
