AQ400Tray Report,Logo,,,,,,,,,
,,,,,,,,,,
Software version :,2.4.5,,,,,,,,,
Report requested by :,adminAQ400,,,,,,,,,
Date \ Time :,2/17/22 17:32,,,,,,,,,
Tray number :,3,,,,,,,,,
Tray name :,KAL20220217_no3UP,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NO2_NO3_H2O,,,,,,,,,,
Calibration Chart,,,,,Calibration Graph,,,,,
Type,Absorbance,Calc mg N/L,Target mg N/L,% Error,Logo,,,,,
S1,0.0084,-0.002,0.01,-119.48,,,,,,
S90,0.0185,0.036,0.036,1.02,,,,,,
S91,0.0327,0.09,0.1,-9.9,,,,,,
S92,0.0614,0.199,0.2,-0.62,,,,,,
S93,0.1455,0.517,0.5,3.34,,,,,,
S94,0.287,1.052,1,5.2,,,,,,
S95,0.3879,1.434,1.5,-4.4,,,,,,
S96,0.5428,2.02,2,1,,,,,,
S0,0.0115,0.01,0,,,,,,,
,,,,,,,,,,
Polynomial Order :,1,,,,,,,,,
Correlation Coefficient :,0.999,,,,,,,,,
Carryover(%) :,0.6,,,,,,,,,
Calibration equation:,y = bx + a,,,,,,,,,
y =:,Concentration mg N/L,,,,,,,,,
x =:,Measured absorbance,,,,,,,,,
a =:,-3.37E-02,,,,,,,,,
b =:,3.78E+00,,,,,,,,,
Date & Time :,2/17/22 16:02,,,,,,,,,
,,,,,,,,,,
Reagents,,,,,,,,,,
Reagent Name,Batch Number,Operator,Expiry Date,,,,,,,
NOx Working buffer,,,,,,,,,,
NOx Sulfanilamide-NEDD,,,,,,,,,,
DI Diluent (Blank),,adminAQ400,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Test Results,,,,,,,,,,
Cup,Type,ID,Sample Details,Result,Units,QC Pro,Auto Dil.,Man Dil.,User,Time & Date
,S1,Standard 1,,0.008,,,,,ad,2/17/22 15:48
,S90,Standard 90,,0.019,,,,,ad,2/17/22 15:50
,S91,Standard 91,,0.033,,,,,ad,2/17/22 15:52
,S92,Standard 92,,0.061,,,,,ad,2/17/22 15:53
,S93,Standard 93,,0.145,,,,,ad,2/17/22 15:55
,S94,Standard 94,,0.287,,,,,ad,2/17/22 15:57
,S95,Standard 95,,0.388,,,,,ad,2/17/22 15:59
,S96,Standard 96,,0.543,,,,,ad,2/17/22 16:01
