Sample_ID,Results,Units,date,collection_time,datetime,YSI_spc,Notes
GEN_20210728_0,0.004,mg N/L,7/28/21,12:50:00,7/28/21 12:50:00,60.9,"Dissolved 2000g NaCl and 250g KNO3 added at 12:45 PST, last bucket rinse at 13:00 PST, starting YSI= 61"
GEN_20210728_00blank,0.007,mg N/L,7/28/21,12:50:00,7/28/21 12:50:00,,
GEN_20210728_01,0.002,mg N/L,7/28/21,13:00:00,7/28/21 13:00:00,61,
GEN_20210728_02,0,mg N/L,7/28/21,13:10:00,7/28/21 13:10:00,60.9,
GEN_20210728_03,0.083,mg N/L,7/28/21,13:20:00,7/28/21 13:20:00,87,
GEN_20210728_04,0.236,mg N/L,7/28/21,13:23:05,7/28/21 13:23:05,130.8,
GEN_20210728_05,0.375,mg N/L,7/28/21,13:26:00,7/28/21 13:26:00,168.1,
GEN_20210728_06,0.382,mg N/L,7/28/21,13:29:02,7/28/21 13:29:02,194,
GEN_20210728_07,0.497,mg N/L,7/28/21,13:31:00,7/28/21 13:31:00,197.6,
GEN_20210728_08,0.446,mg N/L,7/28/21,13:32:00,7/28/21 13:32:00,195.5,
GEN_20210728_09,0.446,mg N/L,7/28/21,13:34:00,7/28/21 13:34:00,188.4,
GEN_20210728_10,0.399,mg N/L,7/28/21,13:36:00,7/28/21 13:36:00,171.1,
GEN_20210728_11,0.255,mg N/L,7/28/21,13:40:29,7/28/21 13:40:29,141.6,
GEN_20210728_12,0.177,mg N/L,7/28/21,13:44:05,7/28/21 13:44:05,119.4,
GEN_20210728_13,0.106,mg N/L,7/28/21,13:50:00,7/28/21 13:50:00,97.3,
GEN_20210728_14,0.064,mg N/L,7/28/21,13:55:00,7/28/21 13:55:00,86.3,
GEN_20210728_15,0.03,mg N/L,7/28/21,14:06:37,7/28/21 14:06:37,74.4,
GEN_20210728_16,0.008,mg N/L,7/28/21,14:33:50,7/28/21 14:33:50,66.1,
