"Dissloved 500g NaCl and 190g KNO3 added at 12:50, last bucket rinse at 12:58, starting YSI SPC=41.1",,,,
sample no,date,time,YSI SPC,Keep
A2,6/9/21,12:51:00,41,Keep
A3,6/9/21,12:53:00,41,Keep
A4,6/9/21,12:55:00,41,Discard
A5,6/9/21,12:56:00,41,Discard
A6,6/9/21,12:57:00,41,Keep
A7,6/9/21,12:58:00,41.1,Discard
A8,6/9/21,13:00:00,41.1,Discard
A9,6/9/21,13:02:00,41.1,Keep
A10,6/9/21,13:04:00,41.1,Discard
A11,6/9/21,13:05:00,41,Discard
A12,6/9/21,13:06:00,41.1,Keep
A13,6/9/21,13:07:00,41.2,Discard
A14,6/9/21,13:08:00,41.4,Keep
A15,6/9/21,13:08:45,41.5,Keep
A16,6/9/21,13:09:45,42.5,Keep
A17,6/9/21,13:11:00,43.6,Keep
A18,6/9/21,13:12:00,44.2,Keep
A19,6/9/21,13:13:00,44.9,Keep
A20,6/9/21,13:15:00,45.3,Keep
A21,6/9/21,13:17:20,44.1,Keep
A22,6/9/21,13:20:00,42.8,Keep
A23,6/9/21,13:25:00,41.6,Keep
A1,6/9/21,13:35:00,41.3,Keep
Blank,6/9/21,NA,NA,Keep
