sampleID,sample no,date,time,YSI SPC,NO3,notes
GBlow_20210623_U1,A1,6/23/21,13:30:00,NA,0.007,"Lower Reach: Dissloved 652.001 g NaCl and 352.507 g KNO3 added at 13:10, last bucket rinse at 13:22, starting YSI SPC=41.1, ysi died"
GBlow_20210623_U2,A2,6/23/21,13:16:10,NA,0.008,
GBlow_20210623_U3,A3,6/23/21,13:19:00,NA,0.014,
GBlow_20210623_U4,A4,6/23/21,13:21:00,NA,0.015,
GBlow_20210623_U5,A5,6/23/21,13:23:00,NA,0.015,
GBlow_20210623_U6,A6,6/23/21,13:24:00,NA,0.016,
GBlow_20210623_U7,A7,6/23/21,13:25:00,NA,0.016,
GBlow_20210623_U8,A8,6/23/21,13:26:00,NA,0.016,
GBlow_20210623_U9,A9,6/23/21,13:27:00,NA,0.022,
GBlow_20210623_U10,A10,6/23/21,13:28:00,NA,0.019,
GBlow_20210623_U11,A11,6/23/21,13:29:10,NA,0.017,
GBlow_20210623_U12,A12,6/23/21,13:30:00,NA,0.018,
GBlow_20210623_U13,A13,6/23/21,13:31:00,NA,0.027,
GBlow_20210623_U14,A14,6/23/21,13:32:00,NA,0.021,
GBlow_20210623_U15,A15,6/23/21,13:34:00,NA,0.019,
GBlow_20210623_U16,A16,6/23/21,13:36:00,NA,0.016,
GBlow_20210623_U17,A17,6/23/21,13:38:00,NA,0.017,
GBlow_20210623_U18,A18,6/23/21,13:40:00,NA,0.022,
GBlow_20210623_U19,A19,6/23/21,13:42:00,NA,0.018,
GBlow_20210623_U20,A20,6/23/21,13:45:00,NA,0.016,
GBlow_20210623_U21,A21,6/23/21,13:48:15,NA,0.02,
GBlow_20210623_U22,A22,6/23/21,13:53:00,NA,0.017,
GBlow_20210623_U23,A23,6/23/21,14:00:00,NA,0.017,
GBlow_20210623_U24,A24,6/23/21,14:10:05,NA,0.017,
GBup_20210623_blank,Blank,6/23/21,NA,NA,0.01,
