sampleID,sample no,time,YSI SPC,NO3,notes
INC_20210707_HOR,A0,12:30:00,67.5,0.023,"Upper Reach: Dissloved 1500 g NaCl and 330 g KNO3 added at 11:50, last bucket rinse at 11:59, starting YSI SPC=69.5"
INC_20210707_U1,A1,11:52:00,69.5,0.025,some sediment
INC_20210707_U2,A2,11:53:20,69.1,0.024,
INC_20210707_U3,A3,11:55:00,69.4,0.026,
INC_20210707_U4,A4,11:57:00,69.3,0.029,
INC_20210707_U5,A5,11:59:00,69.4,0.043,
INC_20210707_U6,A6,12:01:00,69.4,0.023,
INC_20210707_U7,A7,12:04:00,69.4,0.024,
INC_20210707_U8,A8,12:06:45,69.3,0.022,
INC_20210707_U9,A9,12:09:20,69.3,0.023,
INC_20210707_U10,A10,12:12:05,69.3,0.023,
INC_20210707_U11,A11,12:15:15,69.3,0.023,
INC_20210707_U12,A12,12:18:00,69.3,0.024,
INC_20210707_U13,A13,12:21:00,69.2,0.019,
INC_20210707_U14,A14,12:25:00,69.2,0.024,
INC_20210707_U15,A15,12:30:00,69.2,0.029,
INC_20210707_U16,A16,12:35:00,69.2,0.025,
