Sample_ID,Results,Units,date,collection_time,datetime,YSI_spc,Notes
GB_NA20210722_0,0.021,mg N/L,7/22/21,13:30:00,7/22/21 13:30:00,503,"Dissolved 2000 g NaCl and 250 g KNO3 added at 13:40 PST, last bucket rinse at 13:50 PST, starting YSI SPC= 503"
GB_NA20210722_00blank,0.001,mg N/L,7/22/21,13:30:00,7/22/21 13:30:00,,
GB_NA20210722_01,0.002,mg N/L,7/22/21,13:40:00,7/22/21 13:40:00,503,
GB_NA20210722_02,0.003,mg N/L,7/22/21,14:05:00,7/22/21 14:05:00,503.2,
GB_NA20210722_03,0.003,mg N/L,7/22/21,14:16:00,7/22/21 14:16:00,509.1,
GB_NA20210722_04,0.005,mg N/L,7/22/21,14:18:00,7/22/21 14:18:00,520.3,
GB_NA20210722_05,0.055,mg N/L,7/22/21,14:19:00,7/22/21 14:19:00,532.3,
GB_NA20210722_06,0.083,mg N/L,7/22/21,14:20:00,7/22/21 14:20:00,544.4,
GB_NA20210722_07,0.112,mg N/L,7/22/21,14:21:00,7/22/21 14:21:00,553.6,
GB_NA20210722_08,0.18,mg N/L,7/22/21,14:22:30,7/22/21 14:22:30,593.2,
GB_NA20210722_09,0.307,mg N/L,7/22/21,14:23:35,7/22/21 14:23:35,621,
GB_NA20210722_10,0.407,mg N/L,7/22/21,14:24:15,7/22/21 14:24:15,636,
GB_NA20210722_11,0.595,mg N/L,7/22/21,14:26:30,7/22/21 14:26:30,714,
GB_NA20210722_13,0.318,mg N/L,7/22/21,14:38:00,7/22/21 14:38:00,941,
GB_NA20210722_14,0.946,mg N/L,7/22/21,14:52:30,7/22/21 14:52:30,826,
GB_NA20210722_15,1.462,mg N/L,7/22/21,14:55:20,7/22/21 14:55:20,801,
GB_NA20210722_16,1.035,mg N/L,7/22/21,14:58:00,7/22/21 14:58:00,773,
GB_NA20210722_17,0.882,mg N/L,7/22/21,15:00:00,7/22/21 15:00:00,751,
GB_NA20210722_18,0.859,mg N/L,7/22/21,15:04:00,7/22/21 15:04:00,720,
GB_NA20210722_19,0.839,mg N/L,7/22/21,15:10:00,7/22/21 15:10:00,682,
GB_NA20210722_20,0.667,mg N/L,7/22/21,15:15:00,7/22/21 15:15:00,654,
GB_NA20210722_21,0.485,mg N/L,7/22/21,15:21:30,7/22/21 15:21:30,628,
GB_NA20210722_22,0.414,mg N/L,7/22/21,15:30:00,7/22/21 15:30:00,602,
