Plot Title: 20775523,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Full Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Temp, °C (LGR S/N: 20775523, SEN S/N: 20775523)",Coupler Detached (LGR S/N: 20775523),Coupler Attached (LGR S/N: 20775523),Host Connected (LGR S/N: 20775523),Stopped (LGR S/N: 20775523),End Of File (LGR S/N: 20775523)
1,2022-05-26T10:00:00Z,2.4,-1.7,22.46,Logged,,,,
2,2022-05-26T10:00:05Z,1.1,-1.7,22.44,,,,,
3,2022-05-26T10:00:10Z,1.1,-1.7,22.4,,,,,
4,2022-05-26T10:00:15Z,1.1,0.8,22.38,,,,,
5,2022-05-26T10:00:20Z,1.1,-1.7,22.37,,,,,
6,2022-05-26T10:00:25Z,1.1,-1.7,22.34,,,,,
7,2022-05-26T10:00:30Z,1.1,-1.7,22.33,,,,,
8,2022-05-26T10:00:35Z,1.3,0.8,22.32,,,,,
9,2022-05-26T10:00:40Z,1.3,-1.7,22.29,,,,,
10,2022-05-26T10:00:45Z,1.1,0.8,22.28,,,,,
11,2022-05-26T10:00:50Z,2.4,-1.7,22.26,,,,,
12,2022-05-26T10:00:55Z,1.1,0.8,22.23,,,,,
13,2022-05-26T10:01:00Z,2.4,-1.7,22.22,,,,,
14,2022-05-26T10:01:05Z,1.1,0.8,22.2,,,,,
15,2022-05-26T10:01:10Z,1.3,0.8,22.17,,,,,
16,2022-05-26T10:01:15Z,2.4,0.8,22.15,,,,,
17,2022-05-26T10:01:20Z,2.4,-1.7,22.13,,,,,
18,2022-05-26T10:01:25Z,2.4,-1.7,22.11,,,,,
19,2022-05-26T10:01:30Z,1.1,0.8,22.1,,,,,
20,2022-05-26T10:01:35Z,1.1,-1.7,22.09,,,,,
21,2022-05-26T10:01:40Z,2.4,0.8,22.09,,,,,
22,2022-05-26T10:01:45Z,2.4,-1.7,22.07,,,,,
23,2022-05-26T10:01:50Z,1.1,0.8,22.04,,,,,
24,2022-05-26T10:01:55Z,2.4,-1.7,22.02,,,,,
25,2022-05-26T10:02:00Z,2.4,-1.7,22,,,,,
26,2022-05-26T10:02:05Z,2.3,-1.7,21.97,,,,,
27,2022-05-26T10:02:10Z,2.4,-1.7,21.94,,,,,
28,2022-05-26T10:02:15Z,2.4,-1.7,21.91,,,,,
29,2022-05-26T10:02:20Z,1.1,-1.7,21.89,,,,,
30,2022-05-26T10:02:25Z,2.4,0.8,21.85,,,,,
31,2022-05-26T10:02:30Z,2.3,0.8,21.82,,,,,
32,2022-05-26T10:02:35Z,2.4,-1.7,21.78,,,,,
33,2022-05-26T10:02:40Z,1.1,0.8,21.75,,,,,
34,2022-05-26T10:02:45Z,1.1,0.8,21.71,,,,,
35,2022-05-26T10:02:50Z,1.3,0.8,21.69,,,,,
36,2022-05-26T10:02:55Z,2.3,-1.7,21.64,,,,,
37,2022-05-26T10:03:00Z,1.1,-1.7,21.6,,,,,
38,2022-05-26T10:03:05Z,1.1,-1.7,21.55,,,,,
39,2022-05-26T10:03:10Z,2.4,0.8,21.51,,,,,
40,2022-05-26T10:03:15Z,2.4,0.8,21.64,,,,,
41,2022-05-26T10:03:20Z,1.1,0.8,22.1,,,,,
42,2022-05-26T10:03:25Z,1.3,-1.7,22.08,,,,,
43,2022-05-26T10:03:30Z,1.1,0.8,22.13,,,,,
44,2022-05-26T10:03:35Z,2.3,-1.7,22.31,,,,,
45,2022-05-26T10:03:40Z,1.1,-1.7,22.19,,,,,
46,2022-05-26T10:03:45Z,2.4,0.8,22.58,,,,,
47,2022-05-26T10:03:50Z,1.3,0.8,22.94,,,,,
48,2022-05-26T10:03:55Z,1.1,-1.7,22.88,,,,,
