sample_no,date,time,Nh4_mgNL,PO4_ugL,ysi_SPC,notes
BWL NH4 NA1,2022-08-24,10:25:00,0.0302,4.031,82.2,Reach length: 100 m
BWL NH4 NA2,2022-08-24,10:34:15,0.0327,8.627,82,"BOR HOBO: 20775520, HOR HOBO: 20775523"
BWL NH4 NA3,2022-08-24,10:39:15,0.1726,NA,87.1," 1500 g NaCl, 300 g NH4Cl, 10 L h2o"
BWL NH4 NA4,2022-08-24,10:40:15,0.1727,NA,89.7,"Injection start: 10:16:15 PST, injection end: 10:18:05 PST"
BWL NH4 NA5,2022-08-24,10:41:15,0.2258,NA,94.7,"BOR GPS: N 39.10762 W 120.16501, elevation 6286"
BWL NH4 NA6,2022-08-24,10:42:20,0.2653,NA,100.3,"HOR GPS: N 39.10850 W 120.16548, elevation 6388"
BWL NH4 NA7,2022-08-24,10:43:15,0.2865,NA,103.5,
BWL NH4 NA8,2022-08-24,10:44:20,0.4061,NA,106.6,
BWL NH4 NA9,2022-08-24,10:45:35,0.4103,NA,109.6,
BWL NH4 NA10,2022-08-24,10:46:50,0.444,NA,111.8,
BWL NH4 NA11,2022-08-24,10:48:20,0.5211,NA,112.9,
BWL NH4 NA12,2022-08-24,10:49:30,0.5216,NA,113,
BWL NH4 NA13,2022-08-24,10:50:30,0.4332,3.225,112.6,
BWL NH4 NA14,2022-08-24,10:51:30,0.4487,NA,112.1,
BWL NH4 NA15,2022-08-24,10:53:30,0.5461,NA,109.4,
BWL NH4 NA16,2022-08-24,10:55:30,0.365,NA,106.5,
BWL NH4 NA17,2022-08-24,10:57:30,0.5856,NA,103.4,
BWL NH4 NA18,2022-08-24,11:00:30,0.3491,NA,99.9,
BWL NH4 NA19,2022-08-24,11:05:30,0.2272,NA,95.6,
BWL NH4 NA20,2022-08-24,11:10:30,0.2164,NA,91.6,
BWL NH4 NA21,2022-08-24,11:15:30,0.1807,NA,89,
BWL NH4 NA22,2022-08-24,11:20:30,0.171,NA,87.3,
BWL NH4 NA23,2022-08-24,11:35:30,0.2694,NA,84.6,
BWL NH4 HOR_1,2022-08-24,10:15:00,0.058,5.363,NA,
BWL NH4 HOR_2,2022-08-24,11:15:00,0.0267,4.792,NA,
BWL NH4 HOR_3,2022-08-24,12:41:00,0.0358,NA,NA,
BLANK,2022-08-24,,0.0835,NA,NA,
