Plot Title: 20775520,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)",Coupler Detached (LGR S/N: 20775520),Coupler Attached (LGR S/N: 20775520),Host Connected (LGR S/N: 20775520),Stopped (LGR S/N: 20775520),End Of File (LGR S/N: 20775520)
1,2022-08-24T09:00:00Z,2.2,-1.5,21.62,Logged,,,,
2,2022-08-24T09:00:03Z,1.2,0.6,21.63,,,,,
3,2022-08-24T09:00:06Z,1.1,0.6,21.63,,,,,
4,2022-08-24T09:00:09Z,2.2,-3,21.63,,,,,
5,2022-08-24T09:00:12Z,2.2,0.6,21.63,,,,,
6,2022-08-24T09:00:15Z,2.2,0.6,21.64,,,,,
7,2022-08-24T09:00:18Z,2.2,0.6,21.63,,,,,
8,2022-08-24T09:00:21Z,1.2,-3,21.64,,,,,
9,2022-08-24T09:00:24Z,2.2,0.6,21.64,,,,,
10,2022-08-24T09:00:27Z,2.2,-3,21.63,,,,,
11,2022-08-24T09:00:30Z,2.2,0.6,21.63,,,,,
12,2022-08-24T09:00:33Z,5,-3,21.63,,,,,
13,2022-08-24T09:00:36Z,2.2,-1.5,21.63,,,,,
14,2022-08-24T09:00:39Z,2.2,0.6,21.63,,,,,
15,2022-08-24T09:00:42Z,2.2,0.6,21.63,,,,,
16,2022-08-24T09:00:45Z,2.2,-3,21.64,,,,,
17,2022-08-24T09:00:48Z,2.2,0.6,21.64,,,,,
18,2022-08-24T09:00:51Z,2.2,0.6,21.63,,,,,
19,2022-08-24T09:00:54Z,1.2,-1.5,21.63,,,,,
20,2022-08-24T09:00:57Z,2.2,0.6,21.63,,,,,
21,2022-08-24T09:01:00Z,2.2,-3,21.63,,,,,
22,2022-08-24T09:01:03Z,2.2,-3,21.64,,,,,
23,2022-08-24T09:01:06Z,2.2,0.6,21.64,,,,,
24,2022-08-24T09:01:09Z,2.2,0.6,21.64,,,,,
