"Plot Title: 20775520"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)","Coupler Detached (LGR S/N: 20775520)","Coupler Attached (LGR S/N: 20775520)","Host Connected (LGR S/N: 20775520)","Stopped (LGR S/N: 20775520)","End Of File (LGR S/N: 20775520)"
1,08/24/22 11:55:00 AM,73.9,69.0,18.17,Logged,,,,
2,08/24/22 11:55:03 AM,73.9,68.7,18.17,,,,,
3,08/24/22 11:55:06 AM,74.0,69.0,18.16,,,,,
4,08/24/22 11:55:09 AM,73.9,68.7,18.16,,,,,
5,08/24/22 11:55:12 AM,74.0,68.7,18.17,,,,,
6,08/24/22 11:55:15 AM,73.9,68.7,18.17,,,,,
7,08/24/22 11:55:18 AM,73.9,69.0,18.18,,,,,
8,08/24/22 11:55:21 AM,73.9,69.0,18.18,,,,,
9,08/24/22 11:55:24 AM,73.9,68.7,18.18,,,,,
10,08/24/22 11:55:27 AM,73.9,69.0,18.17,,,,,
11,08/24/22 11:55:30 AM,74.1,69.0,18.18,,,,,
12,08/24/22 11:55:33 AM,73.9,68.7,18.20,,,,,
13,08/24/22 11:55:36 AM,73.9,69.0,18.18,,,,,
14,08/24/22 11:55:39 AM,74.0,69.0,18.20,,,,,
15,08/24/22 11:55:42 AM,74.1,69.0,18.20,,,,,
16,08/24/22 11:55:45 AM,73.9,69.0,18.20,,,,,
17,08/24/22 11:55:48 AM,74.0,68.7,18.20,,,,,
18,08/24/22 11:55:51 AM,73.9,68.7,18.20,,,,,
19,08/24/22 11:55:54 AM,74.0,68.7,18.21,,,,,
20,08/24/22 11:55:57 AM,74.1,69.0,18.21,,,,,
21,08/24/22 11:56:00 AM,74.0,69.0,18.21,,,,,
22,08/24/22 11:56:03 AM,74.1,69.0,18.21,,,,,
23,08/24/22 11:56:06 AM,74.0,69.0,18.21,,,,,
24,08/24/22 11:56:09 AM,74.0,69.0,18.22,,,,,
25,08/24/22 11:56:12 AM,74.1,69.0,18.22,,,,,
26,08/24/22 11:56:15 AM,74.0,69.0,18.23,,,,,
27,08/24/22 11:56:18 AM,73.9,68.7,18.22,,,,,
28,08/24/22 11:56:21 AM,74.0,69.0,18.23,,,,,
29,08/24/22 11:56:24 AM,74.1,69.0,18.23,,,,,
30,08/24/22 11:56:27 AM,74.0,68.7,18.23,,,,,
31,08/24/22 11:56:30 AM,74.1,69.0,18.23,,,,,
32,08/24/22 11:56:33 AM,74.0,69.0,18.26,,,,,
33,08/24/22 11:56:36 AM,74.1,69.0,18.24,,,,,
34,08/24/22 11:56:39 AM,74.1,69.0,18.24,,,,,
35,08/24/22 11:56:42 AM,74.1,69.0,18.24,,,,,
36,08/24/22 11:56:45 AM,74.1,68.7,18.24,,,,,
37,08/24/22 11:56:48 AM,74.0,69.0,18.24,,,,,
38,08/24/22 11:56:51 AM,74.1,69.0,18.26,,,,,
39,08/24/22 11:56:54 AM,74.1,69.0,18.26,,,,,
40,08/24/22 11:56:57 AM,74.1,69.0,18.26,,,,,
41,08/24/22 11:57:00 AM,74.1,69.0,18.26,,,,,
42,08/24/22 11:57:03 AM,74.1,69.0,18.26,,,,,
43,08/24/22 11:57:06 AM,74.1,69.0,18.26,,,,,
44,08/24/22 11:57:09 AM,74.1,69.0,18.27,,,,,
45,08/24/22 11:57:12 AM,74.1,69.0,18.27,,,,,
46,08/24/22 11:57:15 AM,74.1,69.0,18.27,,,,,
47,08/24/22 11:57:18 AM,74.1,69.0,18.27,,,,,
48,08/24/22 11:57:21 AM,74.1,69.0,18.27,,,,,
49,08/24/22 11:57:24 AM,74.0,69.0,18.28,,,,,
50,08/24/22 11:57:27 AM,74.1,69.0,18.28,,,,,
51,08/24/22 11:57:30 AM,74.1,69.0,18.28,,,,,
52,08/24/22 11:57:33 AM,74.1,69.0,18.27,,,,,
53,08/24/22 11:57:36 AM,74.1,69.0,18.29,,,,,
54,08/24/22 11:57:39 AM,74.1,69.0,18.28,,,,,
55,08/24/22 11:57:42 AM,74.1,69.0,18.28,,,,,
56,08/24/22 11:57:45 AM,74.1,69.0,18.29,,,,,
57,08/24/22 11:57:48 AM,74.1,69.0,18.30,,,,,
58,08/24/22 11:57:51 AM,74.1,69.0,18.30,,,,,
59,08/24/22 11:57:54 AM,74.1,69.0,18.30,,,,,
60,08/24/22 11:57:57 AM,74.1,69.0,18.30,,,,,
61,08/24/22 11:58:00 AM,74.1,69.0,18.30,,,,,
62,08/24/22 11:58:03 AM,74.1,69.0,18.32,,,,,
63,08/24/22 11:58:06 AM,74.0,69.0,18.30,,,,,
64,08/24/22 11:58:09 AM,74.2,69.0,18.32,,,,,
65,08/24/22 11:58:12 AM,74.1,69.0,18.32,,,,,
66,08/24/22 11:58:15 AM,74.2,69.0,18.33,,,,,
67,08/24/22 11:58:18 AM,74.2,69.0,18.32,,,,,
68,08/24/22 11:58:21 AM,74.2,69.0,18.32,,,,,
69,08/24/22 11:58:24 AM,74.1,69.0,18.32,,,,,
70,08/24/22 11:58:27 AM,74.2,69.0,18.33,,,,,
71,08/24/22 11:58:30 AM,74.2,69.0,18.34,,,,,
72,08/24/22 11:58:33 AM,74.2,69.0,18.34,,,,,
73,08/24/22 11:58:36 AM,74.2,69.0,18.33,,,,,
74,08/24/22 11:58:39 AM,74.3,69.0,18.34,,,,,
75,08/24/22 11:58:42 AM,74.3,69.0,18.36,,,,,
76,08/24/22 11:58:45 AM,74.3,69.0,18.35,,,,,
77,08/24/22 11:58:48 AM,74.3,69.0,18.35,,,,,
78,08/24/22 11:58:51 AM,74.2,69.0,18.35,,,,,
79,08/24/22 11:58:54 AM,74.2,69.0,18.35,,,,,
80,08/24/22 11:58:57 AM,74.3,69.0,18.35,,,,,
81,08/24/22 11:59:00 AM,74.2,69.0,18.34,,,,,
82,08/24/22 11:59:03 AM,74.2,69.0,18.34,,,,,
83,08/24/22 11:59:06 AM,74.2,69.0,18.36,,,,,
84,08/24/22 11:59:09 AM,74.3,69.0,18.35,,,,,
85,08/24/22 11:59:12 AM,74.2,69.0,18.35,,,,,
86,08/24/22 11:59:15 AM,74.2,69.0,18.36,,,,,
87,08/24/22 11:59:18 AM,74.3,69.0,18.35,,,,,
88,08/24/22 11:59:21 AM,74.2,69.0,18.36,,,,,
89,08/24/22 11:59:24 AM,74.3,69.0,18.36,,,,,
90,08/24/22 11:59:27 AM,74.3,69.0,18.38,,,,,
91,08/24/22 11:59:30 AM,74.3,69.0,18.39,,,,,
92,08/24/22 11:59:33 AM,74.2,69.0,18.39,,,,,
93,08/24/22 11:59:36 AM,74.3,69.0,18.38,,,,,
94,08/24/22 11:59:39 AM,74.2,69.0,18.38,,,,,
95,08/24/22 11:59:42 AM,74.3,69.0,18.38,,,,,
96,08/24/22 11:59:45 AM,74.3,69.0,18.38,,,,,
97,08/24/22 11:59:48 AM,74.3,69.0,18.39,,,,,
98,08/24/22 11:59:51 AM,74.3,69.0,18.39,,,,,
99,08/24/22 11:59:54 AM,74.3,69.0,18.39,,,,,
100,08/24/22 11:59:57 AM,74.3,69.0,18.39,,,,,
101,08/24/22 12:00:00 PM,74.3,69.0,18.39,,,,,
102,08/24/22 12:00:03 PM,74.3,69.0,18.40,,,,,
103,08/24/22 12:00:06 PM,74.3,69.0,18.40,,,,,
104,08/24/22 12:00:09 PM,74.3,69.0,18.40,,,,,
105,08/24/22 12:00:12 PM,74.3,69.0,18.41,,,,,
106,08/24/22 12:00:15 PM,74.3,69.0,18.41,,,,,
107,08/24/22 12:00:18 PM,74.2,69.0,18.41,,,,,
108,08/24/22 12:00:21 PM,74.2,69.0,18.41,,,,,
109,08/24/22 12:00:24 PM,74.3,69.0,18.41,,,,,
110,08/24/22 12:00:27 PM,74.2,69.0,18.41,,,,,
111,08/24/22 12:00:30 PM,74.2,69.0,18.41,,,,,
112,08/24/22 12:00:33 PM,74.2,69.0,18.41,,,,,
113,08/24/22 12:00:36 PM,74.2,69.0,18.41,,,,,
114,08/24/22 12:00:39 PM,74.3,69.0,18.43,,,,,
115,08/24/22 12:00:42 PM,74.2,69.4,18.43,,,,,
116,08/24/22 12:00:45 PM,74.3,69.0,18.44,,,,,
117,08/24/22 12:00:48 PM,74.3,69.0,18.44,,,,,
118,08/24/22 12:00:51 PM,74.3,69.4,18.44,,,,,
119,08/24/22 12:00:54 PM,74.3,69.0,18.45,,,,,
120,08/24/22 12:00:57 PM,74.3,69.0,18.45,,,,,
121,08/24/22 12:01:00 PM,74.3,69.0,18.44,,,,,
122,08/24/22 12:01:03 PM,74.3,69.0,18.45,,,,,
123,08/24/22 12:01:06 PM,74.2,69.0,18.45,,,,,
124,08/24/22 12:01:09 PM,74.3,69.0,18.45,,,,,
125,08/24/22 12:01:12 PM,74.3,69.0,18.46,,,,,
126,08/24/22 12:01:15 PM,74.3,69.4,18.45,,,,,
127,08/24/22 12:01:18 PM,74.3,69.0,18.45,,,,,
128,08/24/22 12:01:21 PM,74.3,69.0,18.45,,,,,
129,08/24/22 12:01:24 PM,74.3,69.0,18.46,,,,,
130,08/24/22 12:01:27 PM,74.4,69.0,18.46,,,,,
131,08/24/22 12:01:30 PM,74.3,69.0,18.46,,,,,
132,08/24/22 12:01:33 PM,74.3,69.0,18.47,,,,,
133,08/24/22 12:01:36 PM,74.3,69.4,18.47,,,,,
134,08/24/22 12:01:39 PM,74.3,69.4,18.46,,,,,
135,08/24/22 12:01:42 PM,74.3,69.4,18.46,,,,,
136,08/24/22 12:01:45 PM,74.3,69.0,18.47,,,,,
137,08/24/22 12:01:48 PM,74.4,69.4,18.47,,,,,
138,08/24/22 12:01:51 PM,74.4,69.0,18.47,,,,,
139,08/24/22 12:01:54 PM,74.4,69.0,18.49,,,,,
140,08/24/22 12:01:57 PM,74.3,69.0,18.49,,,,,
141,08/24/22 12:02:00 PM,74.4,69.0,18.49,,,,,
