Plot Title: 20775520,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)",Coupler Detached (LGR S/N: 20775520),Coupler Attached (LGR S/N: 20775520),Host Connected (LGR S/N: 20775520),Stopped (LGR S/N: 20775520),End Of File (LGR S/N: 20775520)
1,2022-10-12T09:40:00Z,2.2,0.7,19.21,Logged,,,,
2,2022-10-12T09:40:03Z,2.2,-3,19.21,,,,,
3,2022-10-12T09:40:06Z,2.2,0.7,19.21,,,,,
4,2022-10-12T09:40:09Z,2.2,-3,19.21,,,,,
5,2022-10-12T09:40:12Z,2.2,0.7,19.21,,,,,
6,2022-10-12T09:40:15Z,2.2,0.7,19.21,,,,,
7,2022-10-12T09:40:18Z,2.2,-3,19.21,,,,,
8,2022-10-12T09:40:21Z,2.2,0.7,19.2,,,,,
9,2022-10-12T09:40:24Z,2.2,-3,19.21,,,,,
10,2022-10-12T09:40:27Z,2.2,0.7,19.2,,,,,
11,2022-10-12T09:40:30Z,2.2,-1.5,19.2,,,,,
12,2022-10-12T09:40:33Z,1.1,-3,19.2,,,,,
13,2022-10-12T09:40:36Z,2.2,0.7,19.2,,,,,
14,2022-10-12T09:40:39Z,2.2,0.7,19.2,,,,,
15,2022-10-12T09:40:42Z,2.2,0.7,19.2,,,,,
16,2022-10-12T09:40:45Z,2.2,0.7,19.2,,,,,
17,2022-10-12T09:40:48Z,2.2,0.7,19.2,,,,,
18,2022-10-12T09:40:51Z,2.2,-3,19.19,,,,,
19,2022-10-12T09:40:54Z,2.2,0.7,19.2,,,,,
20,2022-10-12T09:40:57Z,2.2,0.7,19.19,,,,,
21,2022-10-12T09:41:00Z,2.2,0.7,19.2,,,,,
22,2022-10-12T09:41:03Z,2.2,0.7,19.2,,,,,
23,2022-10-12T09:41:06Z,2.2,0.7,19.19,,,,,
24,2022-10-12T09:41:09Z,2.2,0.7,19.19,,,,,
25,2022-10-12T09:41:12Z,2.2,-3,19.19,,,,,
26,2022-10-12T09:41:15Z,2.2,0.7,19.19,,,,,
27,2022-10-12T09:41:18Z,2.2,0.7,19.19,,,,,
28,2022-10-12T09:41:21Z,2.2,0.7,19.19,,,,,
29,2022-10-12T09:41:24Z,2.2,-3,19.18,,,,,
30,2022-10-12T09:41:27Z,2.2,-3,19.18,,,,,
31,2022-10-12T09:41:30Z,2.2,-3,19.18,,,,,
32,2022-10-12T09:41:33Z,2.2,-3,19.19,,,,,
33,2022-10-12T09:41:36Z,1.1,-3,19.18,,,,,
34,2022-10-12T09:41:39Z,2.2,-3,19.18,,,,,
35,2022-10-12T09:41:42Z,2.2,0.7,19.18,,,,,
36,2022-10-12T09:41:45Z,1.2,-3,19.18,,,,,
37,2022-10-12T09:41:48Z,2.2,-3,19.18,,,,,
38,2022-10-12T09:41:51Z,2.2,0.7,19.18,,,,,
39,2022-10-12T09:41:54Z,2.2,0.7,19.18,,,,,
40,2022-10-12T09:41:57Z,2.2,0.7,19.18,,,,,
41,2022-10-12T09:42:00Z,2.2,0.7,19.18,,,,,
42,2022-10-12T09:42:03Z,2.2,-3,19.18,,,,,
43,2022-10-12T09:42:06Z,2.2,0.7,19.17,,,,,
44,2022-10-12T09:42:09Z,1.1,0.7,19.18,,,,,
45,2022-10-12T09:42:12Z,1.2,0.7,19.17,,,,,
46,2022-10-12T09:42:15Z,2.2,0.7,19.17,,,,,
47,2022-10-12T09:42:18Z,2.2,-3,19.17,,,,,
48,2022-10-12T09:42:21Z,2.2,0.7,19.17,,,,,
49,2022-10-12T09:42:24Z,2.2,-3,19.17,,,,,
50,2022-10-12T09:42:27Z,2.2,-3,19.17,,,,,
51,2022-10-12T09:42:30Z,2.2,0.7,19.17,,,,,
52,2022-10-12T09:42:33Z,2.2,0.7,19.15,,,,,
53,2022-10-12T09:42:36Z,1.1,-3,19.17,,,,,
54,2022-10-12T09:42:39Z,2.2,-3,19.15,,,,,
55,2022-10-12T09:42:42Z,2.2,0.7,19.15,,,,,
56,2022-10-12T09:42:45Z,2.2,0.7,19.15,,,,,
