"Plot Title: 20775523"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Full Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Temp, °C (LGR S/N: 20775523, SEN S/N: 20775523)","Coupler Detached (LGR S/N: 20775523)","Coupler Attached (LGR S/N: 20775523)","Host Connected (LGR S/N: 20775523)","Stopped (LGR S/N: 20775523)","End Of File (LGR S/N: 20775523)"
1,10/12/22 09:40:00 AM,1.2,-1.7,18.88,Logged,,,,
2,10/12/22 09:40:03 AM,2.4,0.9,18.88,,,,,
3,10/12/22 09:40:06 AM,1.2,0.9,18.88,,,,,
4,10/12/22 09:40:09 AM,1.2,0.9,18.88,,,,,
5,10/12/22 09:40:12 AM,2.3,0.9,18.88,,,,,
6,10/12/22 09:40:15 AM,1.2,-1.7,18.88,,,,,
7,10/12/22 09:40:18 AM,2.3,-1.7,18.88,,,,,
8,10/12/22 09:40:21 AM,2.4,0.9,18.87,,,,,
9,10/12/22 09:40:24 AM,1.2,0.9,18.87,,,,,
10,10/12/22 09:40:27 AM,1.2,0.9,18.87,,,,,
11,10/12/22 09:40:30 AM,2.4,0.9,18.88,,,,,
12,10/12/22 09:40:33 AM,1.2,0.9,18.87,,,,,
13,10/12/22 09:40:36 AM,1.2,-1.7,18.88,,,,,
14,10/12/22 09:40:39 AM,1.2,-1.7,18.87,,,,,
15,10/12/22 09:40:42 AM,1.3,-1.7,18.87,,,,,
16,10/12/22 09:40:45 AM,2.4,0.9,18.87,,,,,
17,10/12/22 09:40:48 AM,1.2,0.9,18.87,,,,,
18,10/12/22 09:40:51 AM,1.2,-1.7,18.87,,,,,
19,10/12/22 09:40:54 AM,2.4,0.9,18.87,,,,,
20,10/12/22 09:40:57 AM,1.2,-1.7,18.87,,,,,
21,10/12/22 09:41:00 AM,2.4,0.9,18.87,,,,,
22,10/12/22 09:41:03 AM,2.4,1.2,18.86,,,,,
23,10/12/22 09:41:06 AM,1.2,0.9,18.87,,,,,
24,10/12/22 09:41:09 AM,1.2,-1.7,18.86,,,,,
25,10/12/22 09:41:12 AM,1.2,-1.7,18.86,,,,,
26,10/12/22 09:41:15 AM,1.2,0.9,18.86,,,,,
27,10/12/22 09:41:18 AM,1.2,0.9,18.86,,,,,
28,10/12/22 09:41:21 AM,1.2,0.9,18.86,,,,,
29,10/12/22 09:41:24 AM,1.2,13.3,18.86,,,,,
30,10/12/22 09:41:27 AM,2.4,-1.7,18.86,,,,,
31,10/12/22 09:41:30 AM,2.4,-1.7,18.85,,,,,
32,10/12/22 09:41:33 AM,2.4,0.9,18.86,,,,,
33,10/12/22 09:41:36 AM,2.4,-1.7,18.86,,,,,
34,10/12/22 09:41:39 AM,2.4,0.9,18.86,,,,,
35,10/12/22 09:41:42 AM,1.2,0.9,18.86,,,,,
36,10/12/22 09:41:45 AM,2.3,0.9,18.85,,,,,
37,10/12/22 09:41:48 AM,1.2,0.9,18.86,,,,,
38,10/12/22 09:41:51 AM,2.4,-1.7,18.85,,,,,
39,10/12/22 09:41:54 AM,1.2,0.9,18.85,,,,,
40,10/12/22 09:41:57 AM,1.2,0.9,18.85,,,,,
41,10/12/22 09:42:00 AM,1.3,0.9,18.85,,,,,
42,10/12/22 09:42:03 AM,1.2,0.9,18.85,,,,,
43,10/12/22 09:42:06 AM,1.3,0.9,18.85,,,,,
44,10/12/22 09:42:09 AM,2.4,0.9,18.85,,,,,
45,10/12/22 09:42:12 AM,2.4,-2.8,18.85,,,,,
46,10/12/22 09:42:15 AM,2.3,0.9,18.84,,,,,
47,10/12/22 09:42:18 AM,2.4,0.9,18.84,,,,,
48,10/12/22 09:42:21 AM,2.4,0.9,18.84,,,,,
49,10/12/22 09:42:24 AM,1.2,-1.7,18.84,,,,,
50,10/12/22 09:42:27 AM,1.3,0.9,18.85,,,,,
51,10/12/22 09:42:30 AM,1.2,0.9,18.84,,,,,
52,10/12/22 09:42:33 AM,1.2,-1.7,18.84,,,,,
53,10/12/22 09:42:36 AM,2.4,-1.7,18.84,,,,,
54,10/12/22 09:42:39 AM,1.2,0.9,18.84,,,,,
55,10/12/22 09:42:42 AM,1.2,0.9,18.84,,,,,
56,10/12/22 09:42:45 AM,1.2,0.9,18.84,,,,,
57,10/12/22 09:42:48 AM,1.3,0.9,18.84,,,,,
58,10/12/22 09:42:51 AM,2.4,0.9,18.84,,,,,
59,10/12/22 09:42:54 AM,2.4,-1.7,18.84,,,,,
60,10/12/22 09:42:57 AM,1.2,0.9,18.84,,,,,
61,10/12/22 09:43:00 AM,1.2,0.9,18.84,,,,,
62,10/12/22 09:43:03 AM,1.2,0.9,18.82,,,,,
63,10/12/22 09:43:06 AM,2.4,0.9,18.84,,,,,
64,10/12/22 09:43:09 AM,1.2,-1.7,18.82,,,,,
65,10/12/22 09:43:12 AM,1.2,0.9,18.82,,,,,
66,10/12/22 09:43:15 AM,1.2,0.9,18.82,,,,,
67,10/12/22 09:43:18 AM,1.2,0.9,18.82,,,,,
68,10/12/22 09:43:21 AM,1.2,0.9,18.82,,,,,
69,10/12/22 09:43:24 AM,2.4,0.9,18.81,,,,,
70,10/12/22 09:43:27 AM,2.3,-1.7,18.81,,,,,
71,10/12/22 09:43:30 AM,1.2,0.9,18.81,,,,,
72,10/12/22 09:43:33 AM,2.4,0.9,18.82,,,,,
73,10/12/22 09:43:36 AM,1.2,0.9,18.81,,,,,
74,10/12/22 09:43:39 AM,2.4,-1.7,18.81,,,,,
75,10/12/22 09:43:42 AM,2.4,0.9,18.81,,,,,
76,10/12/22 09:43:45 AM,1.2,0.9,18.81,,,,,
77,10/12/22 09:43:48 AM,1.2,-1.7,18.81,,,,,
78,10/12/22 09:43:51 AM,1.2,-1.7,18.81,,,,,
79,10/12/22 09:43:54 AM,2.4,-1.7,18.81,,,,,
80,10/12/22 09:43:57 AM,1.3,-1.7,18.81,,,,,
81,10/12/22 09:44:00 AM,2.4,-1.7,18.81,,,,,
82,10/12/22 09:44:03 AM,2.4,0.9,18.81,,,,,
83,10/12/22 09:44:06 AM,1.3,0.9,18.81,,,,,
84,10/12/22 09:44:09 AM,1.2,-1.7,18.80,,,,,
85,10/12/22 09:44:12 AM,2.4,0.9,18.80,,,,,
86,10/12/22 09:44:15 AM,1.2,-1.7,18.80,,,,,
87,10/12/22 09:44:18 AM,1.2,0.9,18.80,,,,,
88,10/12/22 09:44:21 AM,1.2,-1.7,18.80,,,,,
89,10/12/22 09:44:24 AM,1.2,0.9,18.80,,,,,
90,10/12/22 09:44:27 AM,1.2,0.9,18.80,,,,,
91,10/12/22 09:44:30 AM,1.2,-1.7,18.80,,,,,
92,10/12/22 09:44:33 AM,2.4,0.9,18.80,,,,,
93,10/12/22 09:44:36 AM,1.2,0.9,18.80,,,,,
94,10/12/22 09:44:39 AM,1.3,0.9,18.80,,,,,
95,10/12/22 09:44:42 AM,1.2,-1.7,18.80,,,,,
96,10/12/22 09:44:45 AM,1.2,-1.7,18.79,,,,,
97,10/12/22 09:44:48 AM,1.2,0.9,18.79,,,,,
98,10/12/22 09:44:51 AM,2.4,-1.7,18.79,,,,,
99,10/12/22 09:44:54 AM,1.2,0.9,18.80,,,,,
100,10/12/22 09:44:57 AM,1.2,0.9,18.79,,,,,
101,10/12/22 09:45:00 AM,1.3,0.9,18.79,,,,,
102,10/12/22 09:45:03 AM,1.3,-1.7,18.79,,,,,
103,10/12/22 09:45:06 AM,2.4,-1.7,18.79,,,,,
104,10/12/22 09:45:09 AM,1.2,0.9,18.79,,,,,
105,10/12/22 09:45:12 AM,2.4,0.9,18.79,,,,,
106,10/12/22 09:45:15 AM,2.4,-1.7,18.79,,,,,
107,10/12/22 09:45:18 AM,1.2,1.2,18.79,,,,,
108,10/12/22 09:45:21 AM,1.2,0.9,18.79,,,,,
109,10/12/22 09:45:24 AM,1.2,0.9,18.79,,,,,
110,10/12/22 09:45:27 AM,2.4,0.9,18.78,,,,,
111,10/12/22 09:45:30 AM,2.4,-1.7,18.79,,,,,
112,10/12/22 09:45:33 AM,1.2,-1.7,18.79,,,,,
113,10/12/22 09:45:36 AM,1.2,0.9,18.78,,,,,
114,10/12/22 09:45:39 AM,2.4,0.9,18.78,,,,,
115,10/12/22 09:45:42 AM,1.2,-1.7,18.78,,,,,
116,10/12/22 09:45:45 AM,1.2,-1.7,18.78,,,,,
117,10/12/22 09:45:48 AM,2.4,0.9,18.78,,,,,
118,10/12/22 09:45:51 AM,2.4,-1.7,18.78,,,,,
119,10/12/22 09:45:54 AM,2.4,0.9,18.76,,,,,
120,10/12/22 09:45:57 AM,1.2,0.9,18.78,,,,,
121,10/12/22 09:46:00 AM,1.2,0.9,18.78,,,,,
122,10/12/22 09:46:03 AM,1.2,-1.7,18.78,,,,,
123,10/12/22 09:46:06 AM,1.2,0.9,18.78,,,,,
124,10/12/22 09:46:09 AM,1.2,-1.7,18.76,,,,,
125,10/12/22 09:46:12 AM,1.2,0.9,18.78,,,,,
126,10/12/22 09:46:15 AM,1.2,0.9,18.76,,,,,
127,10/12/22 09:46:18 AM,2.7,0.9,18.76,,,,,
128,10/12/22 09:46:21 AM,1.2,-1.7,18.76,,,,,
129,10/12/22 09:46:24 AM,2.4,-1.7,18.76,,,,,
130,10/12/22 09:46:27 AM,1.2,0.9,18.76,,,,,
131,10/12/22 09:46:30 AM,1.2,0.9,18.76,,,,,
132,10/12/22 09:46:33 AM,1.2,0.9,18.75,,,,,
133,10/12/22 09:46:36 AM,2.4,-3.2,18.75,,,,,
134,10/12/22 09:46:39 AM,1.2,0.9,18.76,,,,,
135,10/12/22 09:46:42 AM,1.2,0.9,18.76,,,,,
136,10/12/22 09:46:45 AM,1.2,-1.7,18.76,,,,,
137,10/12/22 09:46:48 AM,1.3,-1.7,18.75,,,,,
138,10/12/22 09:46:51 AM,1.2,0.9,18.75,,,,,
139,10/12/22 09:46:54 AM,2.4,0.9,18.75,,,,,
140,10/12/22 09:46:57 AM,2.4,0.9,18.75,,,,,
141,10/12/22 09:47:00 AM,2.3,0.9,18.75,,,,,
142,10/12/22 09:47:03 AM,1.3,-1.7,18.75,,,,,
143,10/12/22 09:47:06 AM,1.2,0.9,18.75,,,,,
144,10/12/22 09:47:09 AM,1.2,-1.7,18.75,,,,,
145,10/12/22 09:47:12 AM,1.2,-1.7,18.74,,,,,
146,10/12/22 09:47:15 AM,2.4,-1.7,18.75,,,,,
147,10/12/22 09:47:18 AM,1.2,0.9,18.75,,,,,
148,10/12/22 09:47:21 AM,1.2,-1.7,18.75,,,,,
149,10/12/22 09:47:24 AM,2.4,-1.7,18.75,,,,,
150,10/12/22 09:47:27 AM,2.4,-1.7,18.74,,,,,
151,10/12/22 09:47:30 AM,1.2,-1.7,18.74,,,,,
152,10/12/22 09:47:33 AM,1.2,0.9,18.74,,,,,
153,10/12/22 09:47:36 AM,1.2,-1.7,18.74,,,,,
154,10/12/22 09:47:39 AM,2.4,0.9,18.74,,,,,
155,10/12/22 09:47:42 AM,1.2,-1.7,18.74,,,,,
156,10/12/22 09:47:45 AM,2.4,0.9,18.74,,,,,
