"Plot Title: 20775520"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)","Coupler Detached (LGR S/N: 20775520)","Coupler Attached (LGR S/N: 20775520)","Host Connected (LGR S/N: 20775520)","Stopped (LGR S/N: 20775520)","End Of File (LGR S/N: 20775520)"
1,10/12/22 03:00:00 PM,9.1,4.7,15.47,Logged,,,,
2,10/12/22 03:00:03 PM,9.1,5.1,15.48,,,,,
3,10/12/22 03:00:06 PM,9.1,5.1,15.47,,,,,
4,10/12/22 03:00:09 PM,9.1,4.7,15.48,,,,,
5,10/12/22 03:00:12 PM,9.0,4.7,15.49,,,,,
6,10/12/22 03:00:15 PM,9.1,5.1,15.49,,,,,
7,10/12/22 03:00:18 PM,9.1,5.1,15.49,,,,,
8,10/12/22 03:00:21 PM,9.1,5.1,15.50,,,,,
9,10/12/22 03:00:24 PM,9.1,5.1,15.50,,,,,
10,10/12/22 03:00:27 PM,9.1,4.7,15.51,,,,,
11,10/12/22 03:00:30 PM,9.1,5.1,15.51,,,,,
12,10/12/22 03:00:33 PM,9.1,4.7,15.51,,,,,
13,10/12/22 03:00:36 PM,9.1,5.1,15.51,,,,,
14,10/12/22 03:00:39 PM,9.1,4.7,15.53,,,,,
15,10/12/22 03:00:42 PM,9.1,5.1,15.54,,,,,
16,10/12/22 03:00:45 PM,9.1,5.1,15.53,,,,,
17,10/12/22 03:00:48 PM,9.1,5.1,15.54,,,,,
18,10/12/22 03:00:51 PM,9.1,4.7,15.54,,,,,
19,10/12/22 03:00:54 PM,9.2,5.1,15.55,,,,,
20,10/12/22 03:00:57 PM,9.1,4.7,15.55,,,,,
21,10/12/22 03:01:00 PM,9.1,5.1,15.55,,,,,
22,10/12/22 03:01:03 PM,9.2,4.7,15.55,,,,,
23,10/12/22 03:01:06 PM,9.1,4.7,15.56,,,,,
24,10/12/22 03:01:09 PM,9.2,4.7,15.56,,,,,
25,10/12/22 03:01:12 PM,9.1,5.1,15.56,,,,,
26,10/12/22 03:01:15 PM,9.1,5.1,15.56,,,,,
27,10/12/22 03:01:18 PM,9.1,5.1,15.57,,,,,
28,10/12/22 03:01:21 PM,9.2,5.1,15.57,,,,,
29,10/12/22 03:01:24 PM,9.1,4.7,15.57,,,,,
30,10/12/22 03:01:27 PM,9.1,5.1,15.57,,,,,
31,10/12/22 03:01:30 PM,9.1,4.7,15.59,,,,,
32,10/12/22 03:01:33 PM,9.2,5.1,15.59,,,,,
33,10/12/22 03:01:36 PM,9.2,5.1,15.59,,,,,
34,10/12/22 03:01:39 PM,9.2,5.1,15.60,,,,,
35,10/12/22 03:01:42 PM,9.1,5.1,15.60,,,,,
36,10/12/22 03:01:45 PM,9.2,4.7,15.60,,,,,
37,10/12/22 03:01:48 PM,9.2,5.1,15.61,,,,,
38,10/12/22 03:01:51 PM,9.2,4.7,15.61,,,,,
39,10/12/22 03:01:54 PM,9.2,5.1,15.61,,,,,
40,10/12/22 03:01:57 PM,9.2,5.1,15.62,,,,,
41,10/12/22 03:02:00 PM,9.2,5.1,15.62,,,,,
42,10/12/22 03:02:03 PM,9.2,5.1,15.62,,,,,
43,10/12/22 03:02:06 PM,9.2,5.1,15.62,,,,,
44,10/12/22 03:02:09 PM,9.2,5.1,15.64,,,,,
45,10/12/22 03:02:12 PM,9.2,4.7,15.64,,,,,
46,10/12/22 03:02:15 PM,9.2,5.1,15.65,,,,,
47,10/12/22 03:02:18 PM,9.2,5.1,15.65,,,,,
48,10/12/22 03:02:21 PM,9.2,5.1,15.65,,,,,
49,10/12/22 03:02:24 PM,9.2,5.1,15.65,,,,,
50,10/12/22 03:02:27 PM,9.2,4.7,15.65,,,,,
51,10/12/22 03:02:30 PM,9.2,5.1,15.66,,,,,
52,10/12/22 03:02:33 PM,9.2,4.7,15.66,,,,,
53,10/12/22 03:02:36 PM,9.2,5.1,15.66,,,,,
54,10/12/22 03:02:39 PM,9.2,5.1,15.67,,,,,
55,10/12/22 03:02:42 PM,9.2,5.1,15.67,,,,,
56,10/12/22 03:02:45 PM,9.2,5.1,15.66,,,,,
57,10/12/22 03:02:48 PM,9.2,4.7,15.67,,,,,
58,10/12/22 03:02:51 PM,9.2,5.1,15.68,,,,,
59,10/12/22 03:02:54 PM,9.2,5.1,15.68,,,,,
60,10/12/22 03:02:57 PM,9.2,4.7,15.68,,,,,
61,10/12/22 03:03:00 PM,9.2,5.1,15.68,,,,,
62,10/12/22 03:03:03 PM,9.2,5.1,15.70,,,,,
