Plot Title: 20775520,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)",Coupler Detached (LGR S/N: 20775520),Coupler Attached (LGR S/N: 20775520),Host Connected (LGR S/N: 20775520),Stopped (LGR S/N: 20775520),End Of File (LGR S/N: 20775520)
1,2022-10-12T15:00:00Z,9.1,4.7,15.47,Logged,,,,
2,2022-10-12T15:00:03Z,9.1,5.1,15.48,,,,,
3,2022-10-12T15:00:06Z,9.1,5.1,15.47,,,,,
4,2022-10-12T15:00:09Z,9.1,4.7,15.48,,,,,
5,2022-10-12T15:00:12Z,9,4.7,15.49,,,,,
6,2022-10-12T15:00:15Z,9.1,5.1,15.49,,,,,
7,2022-10-12T15:00:18Z,9.1,5.1,15.49,,,,,
8,2022-10-12T15:00:21Z,9.1,5.1,15.5,,,,,
9,2022-10-12T15:00:24Z,9.1,5.1,15.5,,,,,
10,2022-10-12T15:00:27Z,9.1,4.7,15.51,,,,,
11,2022-10-12T15:00:30Z,9.1,5.1,15.51,,,,,
12,2022-10-12T15:00:33Z,9.1,4.7,15.51,,,,,
13,2022-10-12T15:00:36Z,9.1,5.1,15.51,,,,,
14,2022-10-12T15:00:39Z,9.1,4.7,15.53,,,,,
15,2022-10-12T15:00:42Z,9.1,5.1,15.54,,,,,
16,2022-10-12T15:00:45Z,9.1,5.1,15.53,,,,,
17,2022-10-12T15:00:48Z,9.1,5.1,15.54,,,,,
18,2022-10-12T15:00:51Z,9.1,4.7,15.54,,,,,
19,2022-10-12T15:00:54Z,9.2,5.1,15.55,,,,,
20,2022-10-12T15:00:57Z,9.1,4.7,15.55,,,,,
21,2022-10-12T15:01:00Z,9.1,5.1,15.55,,,,,
22,2022-10-12T15:01:03Z,9.2,4.7,15.55,,,,,
23,2022-10-12T15:01:06Z,9.1,4.7,15.56,,,,,
24,2022-10-12T15:01:09Z,9.2,4.7,15.56,,,,,
25,2022-10-12T15:01:12Z,9.1,5.1,15.56,,,,,
26,2022-10-12T15:01:15Z,9.1,5.1,15.56,,,,,
27,2022-10-12T15:01:18Z,9.1,5.1,15.57,,,,,
28,2022-10-12T15:01:21Z,9.2,5.1,15.57,,,,,
29,2022-10-12T15:01:24Z,9.1,4.7,15.57,,,,,
30,2022-10-12T15:01:27Z,9.1,5.1,15.57,,,,,
31,2022-10-12T15:01:30Z,9.1,4.7,15.59,,,,,
32,2022-10-12T15:01:33Z,9.2,5.1,15.59,,,,,
33,2022-10-12T15:01:36Z,9.2,5.1,15.59,,,,,
34,2022-10-12T15:01:39Z,9.2,5.1,15.6,,,,,
35,2022-10-12T15:01:42Z,9.1,5.1,15.6,,,,,
36,2022-10-12T15:01:45Z,9.2,4.7,15.6,,,,,
37,2022-10-12T15:01:48Z,9.2,5.1,15.61,,,,,
38,2022-10-12T15:01:51Z,9.2,4.7,15.61,,,,,
39,2022-10-12T15:01:54Z,9.2,5.1,15.61,,,,,
40,2022-10-12T15:01:57Z,9.2,5.1,15.62,,,,,
41,2022-10-12T15:02:00Z,9.2,5.1,15.62,,,,,
42,2022-10-12T15:02:03Z,9.2,5.1,15.62,,,,,
43,2022-10-12T15:02:06Z,9.2,5.1,15.62,,,,,
44,2022-10-12T15:02:09Z,9.2,5.1,15.64,,,,,
45,2022-10-12T15:02:12Z,9.2,4.7,15.64,,,,,
46,2022-10-12T15:02:15Z,9.2,5.1,15.65,,,,,
47,2022-10-12T15:02:18Z,9.2,5.1,15.65,,,,,
48,2022-10-12T15:02:21Z,9.2,5.1,15.65,,,,,
49,2022-10-12T15:02:24Z,9.2,5.1,15.65,,,,,
50,2022-10-12T15:02:27Z,9.2,4.7,15.65,,,,,
51,2022-10-12T15:02:30Z,9.2,5.1,15.66,,,,,
52,2022-10-12T15:02:33Z,9.2,4.7,15.66,,,,,
53,2022-10-12T15:02:36Z,9.2,5.1,15.66,,,,,
54,2022-10-12T15:02:39Z,9.2,5.1,15.67,,,,,
55,2022-10-12T15:02:42Z,9.2,5.1,15.67,,,,,
56,2022-10-12T15:02:45Z,9.2,5.1,15.66,,,,,
57,2022-10-12T15:02:48Z,9.2,4.7,15.67,,,,,
58,2022-10-12T15:02:51Z,9.2,5.1,15.68,,,,,
59,2022-10-12T15:02:54Z,9.2,5.1,15.68,,,,,
60,2022-10-12T15:02:57Z,9.2,4.7,15.68,,,,,
61,2022-10-12T15:03:00Z,9.2,5.1,15.68,,,,,
62,2022-10-12T15:03:03Z,9.2,5.1,15.7,,,,,
63,2022-10-12T15:03:06Z,9.2,4.7,15.7,,,,,
64,2022-10-12T15:03:09Z,9.2,5.1,15.7,,,,,
65,2022-10-12T15:03:12Z,9.2,5.1,15.7,,,,,
66,2022-10-12T15:03:15Z,9.2,5.1,15.71,,,,,
67,2022-10-12T15:03:18Z,9.2,4.7,15.71,,,,,
68,2022-10-12T15:03:21Z,9.2,5.1,15.71,,,,,
69,2022-10-12T15:03:24Z,9.2,5.1,15.71,,,,,
70,2022-10-12T15:03:27Z,9.2,5.1,15.71,,,,,
71,2022-10-12T15:03:30Z,9.2,5.1,15.72,,,,,
72,2022-10-12T15:03:33Z,9.2,5.1,15.72,,,,,
73,2022-10-12T15:03:36Z,9.2,5.1,15.72,,,,,
74,2022-10-12T15:03:39Z,9.2,5.1,15.72,,,,,
75,2022-10-12T15:03:42Z,9.2,4.7,15.72,,,,,
76,2022-10-12T15:03:45Z,9.2,4.7,15.73,,,,,
77,2022-10-12T15:03:48Z,9.2,4.7,15.73,,,,,
78,2022-10-12T15:03:51Z,9.2,5.1,15.73,,,,,
79,2022-10-12T15:03:54Z,9.2,5.1,15.74,,,,,
80,2022-10-12T15:03:57Z,9.2,5.1,15.74,,,,,
81,2022-10-12T15:04:00Z,9.2,5.1,15.74,,,,,
82,2022-10-12T15:04:03Z,9.2,5.1,15.74,,,,,
83,2022-10-12T15:04:06Z,9.2,5.1,15.76,,,,,
84,2022-10-12T15:04:09Z,9.2,5.1,15.77,,,,,
