sample_no,date,time,Nh4_mgNL,PO4_ugL,ysi_SPC,notes
1,2022-10-12,11:08:00,-0.0028,9.089,88,Reach length: 175m
2,2022-10-12,11:26:50,0,8.43,86.8,"BOR HOBO: NA, HOR HOBO: NA"
3,2022-10-12,11:35:00,0.1605,NA,90.6,"600 g NaCl, 400 g NH4Cl, 12L H2O"
4,2022-10-12,11:37:00,0.297,NA,99.4,"Injection start: 10:59:50 PST, injection end: 11:02:20 PST"
5,2022-10-12,11:39:00,0.6273,NA,105.6,"BOR GPS: N 39.10757, W 120.16502; elevation: 6342 ft"
6,2022-10-12,11:41:00,0.9166,NA,111,"HOR GPS: N 39.10844, W 120.1655; elevation: 6358 ft"
7,2022-10-12,11:43:00,0.9858,NA,114.8,
8,2022-10-12,11:45:00,1.0892,7.358,116,
9,2022-10-12,11:47:00,1.1833,8.567,115.7,
10,2022-10-12,11:49:00,1.0203,NA,114.5,
11,2022-10-12,11:51:00,1.0088,NA,112.2,
12,2022-10-12,11:54:00,0.9504,NA,108.8,
13,2022-10-12,11:57:00,0.8704,NA,105.3,
14,2022-10-12,12:01:00,0.756,9.287,100.7,
15,2022-10-12,12:05:00,0.5895,7.887,97.5,
HOR_1,2022-10-12,11:05:00,0.0013,11.7,NA,
HOR_2,2022-10-12,,0.0026,8.052,NA,
HOR_3,2022-10-12,,-0.0015,9.387,NA,
HOR_4,2022-10-12,,-0.0001,9.952,NA,
blank,2022-10-12,8:00,-0.0054,2.849,NA,
