"Plot Title: 20775523"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Full Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Temp, °C (LGR S/N: 20775523, SEN S/N: 20775523)","Coupler Detached (LGR S/N: 20775523)","Coupler Attached (LGR S/N: 20775523)","Host Connected (LGR S/N: 20775523)","Stopped (LGR S/N: 20775523)","End Of File (LGR S/N: 20775523)"
1,10/12/22 03:00:00 PM,0.9,-2.1,15.54,Logged,,,,
2,10/12/22 03:00:03 PM,1.0,-2.8,15.56,,,,,
3,10/12/22 03:00:06 PM,0.9,-2.1,15.57,,,,,
4,10/12/22 03:00:09 PM,0.9,-2.8,15.58,,,,,
5,10/12/22 03:00:12 PM,1.0,-3.2,15.59,,,,,
6,10/12/22 03:00:15 PM,0.9,-2.1,15.59,,,,,
7,10/12/22 03:00:18 PM,0.9,-2.1,15.60,,,,,
8,10/12/22 03:00:21 PM,1.0,-2.8,15.62,,,,,
9,10/12/22 03:00:24 PM,0.9,-2.1,15.63,,,,,
10,10/12/22 03:00:27 PM,1.0,-2.1,15.64,,,,,
11,10/12/22 03:00:30 PM,1.0,-2.8,15.65,,,,,
12,10/12/22 03:00:33 PM,0.8,-2.1,15.66,,,,,
13,10/12/22 03:00:36 PM,0.9,-2.1,15.66,,,,,
14,10/12/22 03:00:39 PM,1.0,-2.1,15.67,,,,,
15,10/12/22 03:00:42 PM,0.9,-2.8,15.67,,,,,
16,10/12/22 03:00:45 PM,1.0,-2.8,15.69,,,,,
17,10/12/22 03:00:48 PM,0.9,-3.2,15.70,,,,,
18,10/12/22 03:00:51 PM,0.9,-2.8,15.71,,,,,
19,10/12/22 03:00:54 PM,1.0,-2.8,15.71,,,,,
20,10/12/22 03:00:57 PM,0.9,-2.8,15.72,,,,,
21,10/12/22 03:01:00 PM,0.8,-2.1,15.73,,,,,
22,10/12/22 03:01:03 PM,0.9,-3.2,15.75,,,,,
23,10/12/22 03:01:06 PM,0.9,-2.8,15.76,,,,,
24,10/12/22 03:01:09 PM,0.9,-2.8,15.76,,,,,
25,10/12/22 03:01:12 PM,0.9,-2.8,15.76,,,,,
26,10/12/22 03:01:15 PM,0.9,-2.1,15.77,,,,,
27,10/12/22 03:01:18 PM,0.9,-2.8,15.78,,,,,
28,10/12/22 03:01:21 PM,0.9,-2.8,15.79,,,,,
29,10/12/22 03:01:24 PM,1.0,-2.8,15.79,,,,,
30,10/12/22 03:01:27 PM,0.9,-2.8,15.81,,,,,
31,10/12/22 03:01:30 PM,0.9,-2.1,15.82,,,,,
32,10/12/22 03:01:33 PM,0.9,-2.1,15.82,,,,,
33,10/12/22 03:01:36 PM,0.9,-2.8,15.83,,,,,
34,10/12/22 03:01:39 PM,0.9,-2.8,15.83,,,,,
35,10/12/22 03:01:42 PM,0.9,-2.8,15.84,,,,,
36,10/12/22 03:01:45 PM,0.9,-2.8,15.85,,,,,
37,10/12/22 03:01:48 PM,0.9,-2.1,15.87,,,,,
38,10/12/22 03:01:51 PM,0.9,-2.1,15.88,,,,,
39,10/12/22 03:01:54 PM,0.9,-2.1,15.88,,,,,
40,10/12/22 03:01:57 PM,0.9,-2.8,15.89,,,,,
41,10/12/22 03:02:00 PM,0.9,-2.8,15.89,,,,,
42,10/12/22 03:02:03 PM,0.9,-2.8,15.90,,,,,
43,10/12/22 03:02:06 PM,0.9,-2.8,15.90,,,,,
44,10/12/22 03:02:09 PM,0.9,-2.1,15.91,,,,,
45,10/12/22 03:02:12 PM,0.9,-2.8,15.93,,,,,
46,10/12/22 03:02:15 PM,0.9,-2.8,15.93,,,,,
47,10/12/22 03:02:18 PM,0.9,-3.2,15.94,,,,,
48,10/12/22 03:02:21 PM,0.9,-2.1,15.94,,,,,
49,10/12/22 03:02:24 PM,0.9,-2.1,15.95,,,,,
50,10/12/22 03:02:27 PM,0.9,-2.8,15.95,,,,,
51,10/12/22 03:02:30 PM,0.9,-2.8,15.96,,,,,
52,10/12/22 03:02:33 PM,0.9,-2.8,15.97,,,,,
53,10/12/22 03:02:36 PM,0.9,-2.1,15.97,,,,,
54,10/12/22 03:02:39 PM,0.9,-2.8,15.98,,,,,
55,10/12/22 03:02:42 PM,0.9,-2.8,16.00,,,,,
56,10/12/22 03:02:45 PM,0.9,-2.8,16.00,,,,,
57,10/12/22 03:02:48 PM,0.9,-2.8,16.00,,,,,
58,10/12/22 03:02:51 PM,0.9,-2.8,16.01,,,,,
59,10/12/22 03:02:54 PM,0.9,-2.8,16.02,,,,,
60,10/12/22 03:02:57 PM,0.9,-2.1,16.02,,,,,
61,10/12/22 03:03:00 PM,0.9,-2.8,16.03,,,,,
62,10/12/22 03:03:03 PM,0.9,-2.8,16.03,,,,,
63,10/12/22 03:03:06 PM,0.8,-2.8,16.04,,,,,
64,10/12/22 03:03:09 PM,0.9,-2.8,16.04,,,,,
65,10/12/22 03:03:12 PM,0.9,-2.8,16.06,,,,,
66,10/12/22 03:03:15 PM,0.9,-2.1,16.07,,,,,
67,10/12/22 03:03:18 PM,0.9,-2.8,16.07,,,,,
68,10/12/22 03:03:21 PM,0.9,-2.1,16.08,,,,,
69,10/12/22 03:03:24 PM,0.9,-2.8,16.08,,,,,
70,10/12/22 03:03:27 PM,0.9,-2.8,16.09,,,,,
