sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2022-11-21,10:15:30,-0.0033,8.01,0.02,0.8592472,86.9,Reach length: 150 m
2,2022-11-21,10:20:25,-0.0019,8.587,0.018,0.86007973,86.7,"BOR HOBO: NA, HOR HOBO: NA"
3,2022-11-21,10:24:30,-0.0015,11.818,NA,NA,86.7,"750 g NaCl,  375 g NH4Cl,  7.5 L H2O"
4,2022-11-21,10:29:30,0.0027,NA,NA,NA,86.7,"Injection start: 10:15:30 PST, "
5,2022-11-21,10:32:10,0.0323,NA,NA,NA,87.4,Injection end 10:16:20 PST
6,2022-11-21,10:33:00,0.173,NA,NA,NA,91.8,"BOR GPS: N 39.10757, W 120.16502; elevation: 6342 ft"
7,2022-11-21,10:34:30,0.7709,NA,NA,NA,105,"HOR GPS: N 39.10833, W 120.16545; elevation: 6358 ft"
8,2022-11-21,10:35:30,1.2398,NA,NA,NA,117.5,
9,2022-11-21,10:36:30,1.7597,NA,NA,NA,130.5,
10,2022-11-21,10:37:30,2.4004,NA,NA,NA,139.5,
11,2022-11-21,10:38:25,2.0959,9.684,NA,NA,142.7,"stream width (m): 5.1, 6.6,5.9,5,5.2,3.0,6.4,8.9,8.2,7.1,5,7,6.1,9.4,8.3"
12,2022-11-21,10:39:30,2.0701,7.946,NA,NA,142.5,
13,2022-11-21,10:41:30,1.7325,10.78,NA,NA,134,
14,2022-11-21,10:43:30,1.4142,NA,NA,NA,125.5,
15,2022-11-21,10:45:30,1.0098,NA,NA,NA,117.2,
16,2022-11-21,10:47:30,0.803,NA,NA,NA,110,
17,2022-11-21,10:50:00,0.6108,NA,NA,NA,104,
18,2022-11-21,10:54:00,0.3606,NA,NA,NA,97.2,
19,2022-11-21,10:59:00,0.2116,NA,NA,NA,92.4,
20,2022-11-21,11:06:00,0.0842,8.515,0.019,NA,89,
21,2022-11-21,11:13:00,0.0361,8.368,0.018,0.8389096,87.5,
HOR_1,2022-11-21,10:16:00,-0.0008,11.717,0.027,0.18922437,NA,
HOR_2,2022-11-21,11:02:00,-0.0048,11.632,0.02,0.96973627,NA,
blank,2022-11-21,,-0.006,1.922,0.019,NA,NA,
