sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2022-11-21,12:44:15,-0.0033,8.01,0.004,0.8592472,85.9,Reach length: 150 m
2,2022-11-21,12:49:00,NA,8.587,0.006,0.86007973,86,"BOR HOBO: NA, HOR HOBO: NA"
3,2022-11-21,12:55:00,NA,11.818,0.006,NA,85.9,"750 g NaCl,  X g NH4Cl,  X L H2O"
4,2022-11-21,12:57:30,NA,NA,0.101,NA,89.7,"Injection start:  PST, "
5,2022-11-21,12:59:00,NA,NA,0.413,NA,102.7,"Injection end  PST, "
6,2022-11-21,13:00:30,NA,NA,0.758,NA,119,"BOR GPS: N 39.10757, W 120.16502; elevation: 6342 ft"
7,2022-11-21,13:01:30,NA,NA,1.009,NA,127,"HOR GPS: N 39.10833, W 120.16545; elevation: 6358 ft"
8,2022-11-21,13:02:30,NA,NA,1.125,NA,132.7,
9,2022-11-21,13:03:30,NA,NA,1.231,NA,132.8,"stream width (m): 5.1, 6.6,5.9,5,5.2,3.0,6.4,8.9,8.2,7.1,5,7,6.1,9.4,8.3"
10,2022-11-21,13:04:30,NA,NA,1.238,NA,131.7,
11,2022-11-21,13:05:30,NA,9.684,0.965,NA,128.3,
12,2022-11-21,13:07:00,NA,7.946,1.09,NA,122.7,
13,2022-11-21,13:09:00,NA,10.78,0.764,NA,115,
14,2022-11-21,13:11:10,NA,NA,0.555,NA,108,
15,2022-11-21,13:15:00,NA,NA,0.361,NA,99.3,
16,2022-11-21,13:20:00,NA,NA,0.198,NA,93.2,
17,2022-11-21,13:25:00,NA,NA,0.103,NA,90,
18,2022-11-21,13:30:00,NA,NA,0.057,NA,88.1,
19,2022-11-21,13:35:00,NA,NA,0.033,NA,87.1,
HOR_1,2022-11-21,12:40:00,-0.0008,11.717,,0.18922437,,
HOR_2,2022-11-21,13:17:00,-0.0048,11.632,,0.96973627,,
blank,2022-11-21,,-0.006,1.922,,,,
