Plot Title: 20775520,,,,,,,,,
#,"Date Time, GMT-08:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)",Coupler Detached (LGR S/N: 20775520),Coupler Attached (LGR S/N: 20775520),Host Connected (LGR S/N: 20775520),Stopped (LGR S/N: 20775520),End Of File (LGR S/N: 20775520)
1,2022-11-21T09:30:00Z,1.1,0.7,18.29,Logged,,,,
2,2022-11-21T09:30:03Z,1.1,-3,18.29,,,,,
3,2022-11-21T09:30:06Z,2.2,0.7,18.29,,,,,
4,2022-11-21T09:30:09Z,2.2,0.7,18.29,,,,,
5,2022-11-21T09:30:12Z,1.1,-3,18.29,,,,,
6,2022-11-21T09:30:15Z,1.1,0.7,18.3,,,,,
7,2022-11-21T09:30:18Z,2.2,0.7,18.29,,,,,
8,2022-11-21T09:30:21Z,2.2,0.7,18.29,,,,,
9,2022-11-21T09:30:24Z,2.2,-3,18.29,,,,,
10,2022-11-21T09:30:27Z,2.2,0.7,18.29,,,,,
11,2022-11-21T09:30:30Z,2.2,0.7,18.29,,,,,
12,2022-11-21T09:30:33Z,2.2,-3,18.29,,,,,
13,2022-11-21T09:30:36Z,2.2,0.7,18.29,,,,,
14,2022-11-21T09:30:39Z,1.2,0.7,18.29,,,,,
15,2022-11-21T09:30:42Z,2.2,0.7,18.29,,,,,
16,2022-11-21T09:30:45Z,1.2,-3,18.29,,,,,
17,2022-11-21T09:30:48Z,2.2,-3,18.29,,,,,
18,2022-11-21T09:30:51Z,1.1,0.7,18.29,,,,,
19,2022-11-21T09:30:54Z,2.2,-3,18.29,,,,,
20,2022-11-21T09:30:57Z,2.2,-3,18.29,,,,,
21,2022-11-21T09:31:00Z,2.2,0.7,18.29,,,,,
22,2022-11-21T09:31:03Z,2.2,0.7,18.28,,,,,
23,2022-11-21T09:31:06Z,2.2,0.7,18.28,,,,,
24,2022-11-21T09:31:09Z,2.2,0.7,18.28,,,,,
25,2022-11-21T09:31:12Z,2.2,0.7,18.29,,,,,
26,2022-11-21T09:31:15Z,2.2,-3,18.28,,,,,
27,2022-11-21T09:31:18Z,2.2,0.7,18.28,,,,,
28,2022-11-21T09:31:21Z,2.2,0.7,18.29,,,,,
29,2022-11-21T09:31:24Z,2.2,0.7,18.28,,,,,
30,2022-11-21T09:31:27Z,2.2,-3,18.28,,,,,
31,2022-11-21T09:31:30Z,2.2,-3,18.28,,,,,
32,2022-11-21T09:31:33Z,2.2,0.7,18.28,,,,,
33,2022-11-21T09:31:36Z,2.2,-1.5,18.28,,,,,
34,2022-11-21T09:31:39Z,2.2,0.7,18.28,,,,,
35,2022-11-21T09:31:42Z,2.2,0.7,18.28,,,,,
36,2022-11-21T09:31:45Z,2.2,0.7,18.28,,,,,
37,2022-11-21T09:31:48Z,2.2,0.7,18.28,,,,,
38,2022-11-21T09:31:51Z,1.1,-3,18.28,,,,,
39,2022-11-21T09:31:54Z,2.2,-1.5,18.27,,,,,
40,2022-11-21T09:31:57Z,2.2,-3,18.28,,,,,
41,2022-11-21T09:32:00Z,2.2,-3,18.27,,,,,
42,2022-11-21T09:32:03Z,2.2,0.7,18.27,,,,,
43,2022-11-21T09:32:06Z,2.2,0.7,18.27,,,,,
44,2022-11-21T09:32:09Z,2.2,-3,18.27,,,,,
45,2022-11-21T09:32:12Z,2.2,-3,18.27,,,,,
46,2022-11-21T09:32:15Z,2.2,0.7,18.27,,,,,
47,2022-11-21T09:32:18Z,2.2,-3,18.27,,,,,
48,2022-11-21T09:32:21Z,2.2,0.7,18.27,,,,,
49,2022-11-21T09:32:24Z,2.2,0.7,18.26,,,,,
50,2022-11-21T09:32:27Z,2.2,-1.5,18.27,,,,,
