sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,HOBO_SPC,notes
1,2022-12-19,10:07:00,0.0071,11.48,0,,39.1,Reach length: 90m
2,2022-12-19,10:24:00,0.0056,8.845,,,39.5,"BOR HOBO: 2077523, HOR HOBO: "
3,2022-12-19,10:28:00,0.0081,7.997,,,39.1,"800 g NaCl, 150 g NH4, 8L H2O"
4,2022-12-19,10:31:00,0.011,,,,41,"Injection start: 10:19:40 PST, injection end: 10:20:40 PST"
5,2022-12-19,10:32:00,0.0602,,,,44,"BOR GPS: N 39.10756, W 120.16476; elevation: 6286 ft"
6,2022-12-19,10:33:00,0.1614,,,,49,"HOR GPS: N 39.10796, W 120.16543; elevation: 6288 ft"
7,2022-12-19,10:34:00,0.3501,,,,51,
8,2022-12-19,10:35:00,0.3857,,,,52.9,"Stream width: 2.1, 2.4, 3, 7, 7.8, 9, 5, 4.3, 3.2, 4.5, 5.8, 6.1, 5.9, 6.3, 7.4"
9,2022-12-19,10:36:00,0.3914,,,,52.1,
10,2022-12-19,10:37:00,0.4298,,,,51,
11,2022-12-19,10:38:00,0.3367,,,,48.4,
12,2022-12-19,10:40:00,0.2624,,,,46.2,
13,2022-12-19,10:42:00,0.211,,,,45,
14,2022-12-19,10:44:00,0.1544,,,,43.2,
15,2022-12-19,10:47:00,0.1076,,,,42.1,
16,2022-12-19,10:50:00,0.0903,,,,41.3,
17,2022-12-19,11:00:00,0.0594,,,,41,
18,2022-12-19,11:08:00,0.0423,11.773,,,40.6,
19,2022-12-19,11:17:00,0.0276,10.53,0.001,,NA,
20,2022-12-19,11:24:00,0.0061,2.723,,,NA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
HOR_1,,10:18:00,0.0055,13.692,0,,,
HOR_2,,,,,,,,
HOR_3,,,,,,,,
HOR_4,,,,,,,,
Blank,,,0.0108,3.438,,,,
Blank_v2,,,0.0078,2.645,,,,
