sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,HOBO_SPC,notes
1,2022-12-19,13:05:00,NA,NA,0.017,NA,39.8,Reach length: 90m
2,2022-12-19,13:15:00,NA,NA,0.007,NA,39.8,"BOR HOBO: 2077523, HOR HOBO: "
3,2022-12-19,13:17:00,NA,NA,0.007,NA,39.8,"800 g NaCl, 150 g KNO3, 8L H2O"
4,2022-12-19,13:20:00,NA,NA,0.005,NA,39.8,"Injection start: 13:10:20 PST, injection end: 13:11:05 PST"
5,2022-12-19,13:22:30,NA,NA,0.005,NA,42.2,"BOR GPS: N 39.10756, W 120.16476; elevation: 6286 ft"
6,2022-12-19,13:23:00,NA,NA,0.07,NA,44.3,"HOR GPS: N 39.10796, W 120.16543; elevation: 6288 ft"
7,2022-12-19,12:23:30,NA,NA,0.103,NA,46.9,
8,2022-12-19,13:24:30,NA,NA,0.154,NA,49.9,"Stream width: 2.1, 2.4, 3, 7, 7.8, 9, 5, 4.3, 3.2, 4.5, 5.8, 6.1, 5.9, 6.3, 7.4"
10,2022-12-19,13:26:00,NA,NA,0.257,NA,52.5,
11,2022-12-19,13:26:30,NA,NA,0.239,NA,52.1,
12,2022-12-19,13:28:00,NA,NA,0.211,NA,50.9,
13,2022-12-19,13:29:10,NA,NA,0.167,NA,49.1,
14,2022-12-19,13:31:00,NA,NA,0.133,NA,47.3,
15,2022-12-19,13:33:00,NA,NA,0.102,NA,45.5,
16,2022-12-19,13:35:00,NA,NA,0.084,NA,44.3,
17,2022-12-19,13:38:20,NA,NA,0.056,NA,42.4,
18,2022-12-19,13:42:00,NA,NA,0.04,NA,41.7,
19,2022-12-19,13:48:00,NA,NA,0.026,NA,40.9,
20,2022-12-19,13:54:00,NA,NA,0.016,NA,40.6,
21,2022-12-19,14:01:00,NA,NA,0.009,NA,NA,
HOR_1,2022-12-19,13:10:00,NA,NA,0.006,NA,NA,
HOR_2,2022-12-19,NA,NA,NA,NA,NA,NA,
HOR_3,2022-12-19,NA,NA,NA,NA,NA,NA,
HOR_4,2022-12-19,NA,NA,NA,NA,NA,NA,
Blank,2022-12-19,NA,NA,NA,0.002,NA,NA,
Blank_v2,2022-12-19,NA,NA,NA,0.016,NA,NA,
