Plot Title: 20775523,,,,,,,,,
#,"Date Time, GMT-08:00","Low Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Full Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Temp, °C (LGR S/N: 20775523, SEN S/N: 20775523)",Coupler Detached (LGR S/N: 20775523),Coupler Attached (LGR S/N: 20775523),Host Connected (LGR S/N: 20775523),Stopped (LGR S/N: 20775523),End Of File (LGR S/N: 20775523)
1,2022-12-19T09:00:00Z,1.2,0.9,7.25,Logged,,,,
2,2022-12-19T09:00:03Z,2.4,0.9,7.25,,,,,
3,2022-12-19T09:00:06Z,1.2,0.9,7.27,,,,,
4,2022-12-19T09:00:09Z,1.2,0.9,7.27,,,,,
5,2022-12-19T09:00:12Z,1.2,0.9,7.28,,,,,
6,2022-12-19T09:00:15Z,1.2,-1.7,7.29,,,,,
7,2022-12-19T09:00:18Z,1.2,0.9,7.29,,,,,
8,2022-12-19T09:00:21Z,2.4,0.9,7.29,,,,,
9,2022-12-19T09:00:24Z,1.2,0.9,7.29,,,,,
10,2022-12-19T09:00:27Z,1.2,-1.7,7.3,,,,,
11,2022-12-19T09:00:30Z,1.2,-1.7,7.31,,,,,
12,2022-12-19T09:00:33Z,1.2,0.9,7.31,,,,,
13,2022-12-19T09:00:36Z,2.4,0.9,7.33,,,,,
14,2022-12-19T09:00:39Z,2.4,0.9,7.33,,,,,
15,2022-12-19T09:00:42Z,1.2,-1.7,7.33,,,,,
16,2022-12-19T09:00:45Z,1,0.9,7.33,,,,,
17,2022-12-19T09:00:48Z,1.2,0.9,7.34,,,,,
18,2022-12-19T09:00:51Z,2.4,-1.7,7.35,,,,,
19,2022-12-19T09:00:54Z,2.4,-1.7,7.34,,,,,
20,2022-12-19T09:00:57Z,1.2,0.9,7.34,,,,,
21,2022-12-19T09:01:00Z,1.2,13.6,7.36,,,,,
22,2022-12-19T09:01:03Z,1.3,0.9,7.36,,,,,
23,2022-12-19T09:01:06Z,1.2,0.9,7.36,,,,,
24,2022-12-19T09:01:09Z,2.4,0.9,7.37,,,,,
25,2022-12-19T09:01:12Z,1.2,-1.7,7.37,,,,,
26,2022-12-19T09:01:15Z,1.2,0.9,7.37,,,,,
27,2022-12-19T09:01:18Z,2.4,0.9,7.39,,,,,
28,2022-12-19T09:01:21Z,1.2,-1.7,7.39,,,,,
29,2022-12-19T09:01:24Z,1.2,0.9,7.4,,,,,
30,2022-12-19T09:01:27Z,1.2,0.9,7.4,,,,,
31,2022-12-19T09:01:30Z,1.2,-1.7,7.41,,,,,
32,2022-12-19T09:01:33Z,1.2,0.9,7.41,,,,,
33,2022-12-19T09:01:36Z,2.4,0.9,7.41,,,,,
34,2022-12-19T09:01:39Z,1.2,0.9,7.41,,,,,
35,2022-12-19T09:01:42Z,1,0.9,7.42,,,,,
36,2022-12-19T09:01:45Z,1.2,0.9,7.42,,,,,
37,2022-12-19T09:01:48Z,2.4,0.9,7.43,,,,,
38,2022-12-19T09:01:51Z,1.2,-1.7,7.45,,,,,
39,2022-12-19T09:01:54Z,1.2,-1.7,7.43,,,,,
40,2022-12-19T09:01:57Z,1.2,0.9,7.45,,,,,
41,2022-12-19T09:02:00Z,1.2,0.9,7.45,,,,,
42,2022-12-19T09:02:03Z,1.2,0.9,7.46,,,,,
43,2022-12-19T09:02:06Z,1.3,0.9,7.46,,,,,
44,2022-12-19T09:02:09Z,1.2,-1.7,7.46,,,,,
45,2022-12-19T09:02:12Z,1.2,0.9,7.47,,,,,
46,2022-12-19T09:02:15Z,1.2,-1.7,7.47,,,,,
47,2022-12-19T09:02:18Z,1.2,0.9,7.48,,,,,
48,2022-12-19T09:02:21Z,2.4,0.9,7.48,,,,,
49,2022-12-19T09:02:24Z,1.3,0.9,7.48,,,,,
50,2022-12-19T09:02:27Z,1.2,0.9,7.49,,,,,
51,2022-12-19T09:02:30Z,1.2,0.9,7.49,,,,,
52,2022-12-19T09:02:33Z,1.2,0.9,7.51,,,,,
53,2022-12-19T09:02:36Z,2.4,-3.2,7.51,,,,,
54,2022-12-19T09:02:39Z,2.4,0.9,7.51,,,,,
55,2022-12-19T09:02:42Z,1,-1.7,7.52,,,,,
56,2022-12-19T09:02:45Z,1.2,0.9,7.52,,,,,
57,2022-12-19T09:02:48Z,1.2,0.9,7.52,,,,,
58,2022-12-19T09:02:51Z,1.2,0.9,7.53,,,,,
59,2022-12-19T09:02:54Z,1.2,0.9,7.54,,,,,
