Plot Title: 20775520,,,,,,,,,
#,"Date Time, GMT-08:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)",Coupler Detached (LGR S/N: 20775520),Coupler Attached (LGR S/N: 20775520),Host Connected (LGR S/N: 20775520),Stopped (LGR S/N: 20775520),End Of File (LGR S/N: 20775520)
1,2023-02-15T10:00:00Z,2.2,0.7,16.55,Logged,,,,
2,2023-02-15T10:00:03Z,2.2,0.7,16.53,,,,,
3,2023-02-15T10:00:06Z,2.2,0.7,16.53,,,,,
4,2023-02-15T10:00:09Z,2.2,-1.5,16.52,,,,,
5,2023-02-15T10:00:12Z,2.2,0.7,16.52,,,,,
6,2023-02-15T10:00:15Z,2.2,-3,16.52,,,,,
7,2023-02-15T10:00:18Z,2.2,-3,16.52,,,,,
8,2023-02-15T10:00:21Z,2.2,-3,16.51,,,,,
9,2023-02-15T10:00:24Z,2.2,-3,16.51,,,,,
10,2023-02-15T10:00:27Z,2.2,-3,16.5,,,,,
11,2023-02-15T10:00:30Z,2.2,-3,16.5,,,,,
12,2023-02-15T10:00:33Z,2.2,0.7,16.5,,,,,
13,2023-02-15T10:00:36Z,2.2,-3,16.48,,,,,
14,2023-02-15T10:00:39Z,2.2,0.7,16.48,,,,,
15,2023-02-15T10:00:42Z,2.2,0.7,16.47,,,,,
16,2023-02-15T10:00:45Z,1.1,0.7,16.47,,,,,
17,2023-02-15T10:00:48Z,2.2,-3,16.46,,,,,
18,2023-02-15T10:00:51Z,2.2,0.7,16.46,,,,,
19,2023-02-15T10:00:54Z,2.2,-3,16.46,,,,,
20,2023-02-15T10:00:57Z,2.2,0.7,16.45,,,,,
21,2023-02-15T10:01:00Z,1.2,0.7,16.44,,,,,
22,2023-02-15T10:01:03Z,2.2,0.7,16.44,,,,,
23,2023-02-15T10:01:06Z,2.2,-1.5,16.44,,,,,
24,2023-02-15T10:01:09Z,1.1,-3,16.44,,,,,
25,2023-02-15T10:01:12Z,2.2,-3,16.42,,,,,
26,2023-02-15T10:01:15Z,2.2,0.7,16.41,,,,,
27,2023-02-15T10:01:18Z,2.2,-3,16.41,,,,,
28,2023-02-15T10:01:21Z,2.2,0.7,16.41,,,,,
29,2023-02-15T10:01:24Z,2.2,0.7,16.41,,,,,
30,2023-02-15T10:01:27Z,2.2,-1.5,16.4,,,,,
31,2023-02-15T10:01:30Z,2.2,0.7,16.4,,,,,
32,2023-02-15T10:01:33Z,5,-3,16.39,,,,,
33,2023-02-15T10:01:36Z,2.2,0.7,16.39,,,,,
34,2023-02-15T10:01:39Z,2.2,-3,16.39,,,,,
35,2023-02-15T10:01:42Z,2.2,-1.5,16.38,,,,,
36,2023-02-15T10:01:45Z,2.2,0.7,16.36,,,,,
37,2023-02-15T10:01:48Z,2.2,-3,16.36,,,,,
38,2023-02-15T10:01:51Z,2.2,0.7,16.35,,,,,
39,2023-02-15T10:01:54Z,2.2,-3,16.36,,,,,
40,2023-02-15T10:01:57Z,2.2,0.7,16.35,,,,,
41,2023-02-15T10:02:00Z,2.2,0.7,16.35,,,,,
42,2023-02-15T10:02:03Z,2.2,-3,16.34,,,,,
43,2023-02-15T10:02:06Z,2.2,0.7,16.34,,,,,
44,2023-02-15T10:02:09Z,2.2,0.7,16.34,,,,,
45,2023-02-15T10:02:12Z,2.2,-3,16.33,,,,,
46,2023-02-15T10:02:15Z,2.2,0.7,16.33,,,,,
47,2023-02-15T10:02:18Z,1.1,0.7,16.31,,,,,
48,2023-02-15T10:02:21Z,2.2,0.7,16.31,,,,,
49,2023-02-15T10:02:24Z,2.2,-3,16.3,,,,,
50,2023-02-15T10:02:27Z,2.2,-3,16.3,,,,,
51,2023-02-15T10:02:30Z,2.2,0.7,16.29,,,,,
52,2023-02-15T10:02:33Z,2.2,-3,16.3,,,,,
53,2023-02-15T10:02:36Z,2.2,0.7,16.29,,,,,
54,2023-02-15T10:02:39Z,2.2,0.7,16.29,,,,,
55,2023-02-15T10:02:42Z,2.2,-3,16.28,,,,,
56,2023-02-15T10:02:45Z,2.2,0.7,16.27,,,,,
57,2023-02-15T10:02:48Z,2.2,-3,16.27,,,,,
58,2023-02-15T10:02:51Z,2.2,0.7,16.25,,,,,
59,2023-02-15T10:02:54Z,2.2,-3,16.25,,,,,
60,2023-02-15T10:02:57Z,2.2,0.7,16.25,,,,,
61,2023-02-15T10:03:00Z,2.2,0.7,16.25,,,,,
62,2023-02-15T10:03:03Z,2.2,0.7,16.24,,,,,
63,2023-02-15T10:03:06Z,2.2,0.7,16.24,,,,,
64,2023-02-15T10:03:09Z,2.2,-3,16.23,,,,,
65,2023-02-15T10:03:12Z,2.2,-3,16.22,,,,,
66,2023-02-15T10:03:15Z,2.2,0.7,16.23,,,,,
67,2023-02-15T10:03:18Z,2.2,0.7,16.22,,,,,
68,2023-02-15T10:03:21Z,2.2,-3,16.21,,,,,
69,2023-02-15T10:03:24Z,2.2,-1.5,16.21,,,,,
70,2023-02-15T10:03:27Z,2.2,-3,16.21,,,,,
71,2023-02-15T10:03:30Z,2.2,0.7,16.19,,,,,
72,2023-02-15T10:03:33Z,2.2,0.7,16.19,,,,,
73,2023-02-15T10:03:36Z,1.2,-3,16.19,,,,,
74,2023-02-15T10:03:39Z,2.2,2.9,16.18,,,,,
75,2023-02-15T10:03:42Z,1.1,0.7,16.18,,,,,
