sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2023-02-15,11:53:00,0.007,8.806,0.036,,62.4,Reach length: 100m
2,2023-02-15,11:55:00,0.0033,8.154,,,62.4,"BOR HOBO: , HOR HOBO: "
3,2023-02-15,11:57:00,0.0018,,,,62.5,"800 g NaCl, 217.7 g NH4, 6.8 L H2O"
4,2023-02-15,11:59:00,0.078,,,,87.5,"Injection start: 11:55:00 PST, injection end: 11:56:10 PST"
5,2023-02-15,11:59:30,0.3768,,,,97.5,"BOR GPS: N , W ; elevation:  ft"
6,2023-02-15,12:00:00,0.3254,,,,88.2,"HOR GPS: N , W ; elevation:  ft"
7,2023-02-15,12:30:00,0.3256,,,,79.8,"width notes: 7.5m, 8.2m, 10.6m, 8.02m, 11.7m, 3.8m, 7.5m, 10.5m, 7.5m, 8.3m, 3.4m, 3.1m, 2.5m, 3.5m, 2.7m"
8,2023-02-15,12:01:00,0.3352,,,,75.8,
9,2023-02-15,12:02:00,0.3129,9.621,,,70.3,
10,2023-02-15,12:03:00,0.241,,,,67.5,
11,2023-02-15,12:04:00,0.1685,,,,65.4,
12,2023-02-15,12:05:00,0.1261,,,,64.5,
13,2023-02-15,12:06:00,0.0807,,,,63.8,
14,2023-02-15,12:07:00,0.0634,,,,63.4,
15,2023-02-15,12:09:00,0.0269,,,,62.9,
16,2023-02-15,12:12:00,0.0117,,,,62.5,
17,2023-02-15,12:15:30,0.0065,,,,62.5,
18,2023-02-15,12:20:00,0.0049,,,,62.6,
19,2023-02-15,12:30:00,0.0063,9.616,0.021,,62.6,
HOR1,2023-02-15,11:50:00,0.0039,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
HOR_1,,,,9.496,,,,
HOR_2,,,,,,,,
HOR_3,,,,,,,,
HOR_4,,,,,,,,
Blank,,,0.0024,2.183,,,,
Blank_v2,,,0.003,3.084,,,,
