Plot Title: 20775523,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Full Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Temp, °C (LGR S/N: 20775523, SEN S/N: 20775523)",Coupler Detached (LGR S/N: 20775523),End Of File (LGR S/N: 20775523)
1,2023-04-05T10:15:00Z,1.2,-1.7,14.91,Logged,
2,2023-04-05T10:15:03Z,1.3,0.9,14.91,,
3,2023-04-05T10:15:06Z,2.3,0.9,14.91,,
4,2023-04-05T10:15:09Z,2.4,0.9,14.91,,
5,2023-04-05T10:15:12Z,1.2,0.9,14.91,,
6,2023-04-05T10:15:15Z,1.2,0.9,14.9,,
7,2023-04-05T10:15:18Z,1.2,-1.7,14.9,,
8,2023-04-05T10:15:21Z,1.2,-1.7,14.9,,
9,2023-04-05T10:15:24Z,1.3,-1.7,14.9,,
10,2023-04-05T10:15:27Z,2.4,-1.7,14.9,,
11,2023-04-05T10:15:30Z,2.4,-1.7,14.9,,
12,2023-04-05T10:15:33Z,2.4,0.9,14.9,,
13,2023-04-05T10:15:36Z,2.4,0.9,14.89,,
14,2023-04-05T10:15:39Z,2.3,0.9,14.9,,
15,2023-04-05T10:15:42Z,1.2,0.9,14.9,,
16,2023-04-05T10:15:45Z,1.2,0.9,14.89,,
17,2023-04-05T10:15:48Z,1.3,0.9,14.89,,
18,2023-04-05T10:15:51Z,1.3,-1.7,14.88,,
19,2023-04-05T10:15:54Z,2.4,0.9,14.89,,
20,2023-04-05T10:15:57Z,1.2,0.9,14.89,,
21,2023-04-05T10:16:00Z,1.2,0.9,14.89,,
22,2023-04-05T10:16:03Z,1.2,0.9,14.89,,
23,2023-04-05T10:16:06Z,1.2,-1.7,14.88,,
24,2023-04-05T10:16:09Z,1.2,0.9,14.88,,
25,2023-04-05T10:16:12Z,2.4,0.9,14.88,,
26,2023-04-05T10:16:15Z,1.2,13.4,14.88,,
27,2023-04-05T10:16:18Z,1.2,0.9,14.88,,
28,2023-04-05T10:16:21Z,1.3,0.9,14.86,,
29,2023-04-05T10:16:24Z,2.4,-1.7,14.86,,
30,2023-04-05T10:16:27Z,1.3,-1.7,14.86,,
31,2023-04-05T10:16:30Z,1.2,0.9,14.86,,
32,2023-04-05T10:16:33Z,1,0.9,14.86,,
33,2023-04-05T10:16:36Z,2.3,0.9,14.86,,
34,2023-04-05T10:16:39Z,1.2,0.9,14.85,,
35,2023-04-05T10:16:42Z,1.2,0.9,14.86,,
36,2023-04-05T10:16:45Z,1.3,-1.7,14.85,,
37,2023-04-05T10:16:48Z,1.2,0.9,14.86,,
38,2023-04-05T10:16:51Z,2.4,-1.7,14.85,,
39,2023-04-05T10:16:54Z,2.4,0.9,14.85,,
40,2023-04-05T10:16:57Z,1.3,0.9,14.85,,
41,2023-04-05T10:17:00Z,2.4,0.9,14.85,,
42,2023-04-05T10:17:03Z,2.4,0.9,14.85,,
43,2023-04-05T10:17:06Z,2.4,0.9,14.85,,
44,2023-04-05T10:17:09Z,1.2,1.2,14.84,,
45,2023-04-05T10:17:12Z,2.4,-1.7,14.85,,
46,2023-04-05T10:17:15Z,1.2,-1.7,14.84,,
47,2023-04-05T10:17:18Z,1.2,-1.7,14.84,,
48,2023-04-05T10:17:21Z,1.2,-1.7,14.84,,
49,2023-04-05T10:17:24Z,2.4,0.9,14.84,,
50,2023-04-05T10:17:27Z,2.3,0.9,14.84,,
51,2023-04-05T10:17:30Z,1.2,0.9,14.84,,
52,2023-04-05T10:17:33Z,1.2,-1.7,14.83,,
53,2023-04-05T10:17:36Z,2.4,0.9,14.83,,
54,2023-04-05T10:17:39Z,1.2,-1.7,14.83,,
55,2023-04-05T10:17:42Z,2.4,0.9,14.83,,
56,2023-04-05T10:17:45Z,1.2,0.9,14.83,,
57,2023-04-05T10:17:48Z,2.4,0.9,14.83,,
58,2023-04-05T10:17:51Z,1.2,0.9,14.83,,
59,2023-04-05T10:17:54Z,1.2,0.9,14.82,,
60,2023-04-05T10:17:57Z,2.4,-1.7,14.82,,
61,2023-04-05T10:18:00Z,1.2,-1.7,14.82,,
