sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2023-04-05,11:44:00,-0.0012,8.576,0.001,,61.8,Reach length: 90m
2,2023-04-05,11:47:00,0.0012,,,,61.9,"BOR HOBO: , HOR HOBO: "
3,2023-04-05,11:49:00,-0.0041,,,,NA,"1001 g NaCl, 215 g NH4, 8L H2O"
5,2023-04-05,11:50:00,0.001,,,,NA,"Injection start: 11:45:00 PST, injection end: 11:46:00 PST"
6,2023-04-05,11:51:00,0.005,8.646,,,NA,"BOR GPS: N , W ; elevation:  ft"
7,2023-04-05,11:52:00,0.0898,,,,NA,"HOR GPS: N 39.10842, W 120.16557; elevation: 6222 ft"
8,2023-04-05,11:53:00,0.2154,,,,NA,"width notes: 6.8, 7.09, 8.24"
9,2023-04-05,11:54:00,0.2428,,,,NA,
10,2023-04-05,11:55:00,0.2036,,,,NA,**YSI died
11,2023-04-05,11:56:00,0.1568,,,,NA,
12,2023-04-05,11:57:00,0.1239,,,,NA,
13,2023-04-05,11:58:00,0.0962,,,,NA,
14,2023-04-05,11:59:00,0.0781,,,,NA,
15,2023-04-05,12:01:00,0.0536,,,,NA,
16,2023-04-05,12:03:00,0.0266,,,,NA,
17,2023-04-05,12:05:00,0.0259,,,,NA,
18,2023-04-05,12:07:00,0.0279,,,,NA,
19,2023-04-05,12:12:00,0.0115,,,,NA,
20,2023-04-05,12:20:00,0.003,9.397,0.002,,NA,
,2023-04-05,,,,,,,
,2023-04-05,,,,,,,
HOR_1,2023-04-05,11:35:00,-0.0018,9.462,0.007,,,
HOR_2,2023-04-05,,,,,,,
HOR_3,2023-04-05,,,,,,,
HOR_4,2023-04-05,,,,,,,
Blank,2023-04-05,,0.0014,2.323,0.001,,,
Blank_v2,2023-04-05,,0,2.258,-0.001,,,
,,,,,,,,
