sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2023-04-05,13:18:00,0.0001,9.008,-0.001,,41.3,Reach length: 90m
2,2023-04-05,13:20:00,,,0,,41.3,"BOR HOBO: , HOR HOBO: "
3,2023-04-05,13:22:00,,,0.003,,41.3,"1064 g NaCl, 229 g NO3, 8L H2O"
4,2023-04-05,13:25:00,,,0.042,,43.4,"Injection start: 13:18:00 PST, injection end: 13:19:15 PST"
5,2023-04-05,13:26:00,,,0.114,,46.5,"BOR GPS: N , W ; elevation:  ft"
6,2023-04-05,13:27:00,,,0.024,,48.4,"HOR GPS: N 39.10842, W 120.16557; elevation: 6222 ft"
7,2023-04-05,13:28:00,,,0.131,,48.3,"width notes: 6.8, 7.09, 8.24"
8,2023-04-05,13:29:00,,,0.114,,47,
9,2023-04-05,13:30:00,,,0.088,,46,**used HOBO connected to computer since YSI died
10,2023-04-05,13:32:00,,,0.07,,44.1,
11,2023-04-05,13:34:00,,,0.013,,43.2,
12,2023-04-05,13:39:00,,,0.007,,42.1,
13,2023-04-05,13:44:00,,,0.001,,41.9,
14,2023-04-05,13:55:00,0.0001,8.584,0,,NA,
,,,,,,,,
,,,,,,,,
HOR_1,,,0.0033,9.319,0.003,,,
HOR_2,,,,,,,,
HOR_3,,13:15,,,,,,
HOR_4,,,,,,,,
Blank,,,-0.0002,2.734,0.007,,,
Blank_v2,,,0.0004,1.783,-0.002,,,
