"Plot Title: 20775520"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)","Coupler Detached (LGR S/N: 20775520)","Coupler Attached (LGR S/N: 20775520)","Host Connected (LGR S/N: 20775520)","Stopped (LGR S/N: 20775520)","End Of File (LGR S/N: 20775520)"
1,08/24/22 09:00:00 AM,2.2,-1.5,21.62,Logged,,,,
2,08/24/22 09:00:03 AM,1.2,0.6,21.63,,,,,
3,08/24/22 09:00:06 AM,1.1,0.6,21.63,,,,,
4,08/24/22 09:00:09 AM,2.2,-3.0,21.63,,,,,
5,08/24/22 09:00:12 AM,2.2,0.6,21.63,,,,,
6,08/24/22 09:00:15 AM,2.2,0.6,21.64,,,,,
7,08/24/22 09:00:18 AM,2.2,0.6,21.63,,,,,
8,08/24/22 09:00:21 AM,1.2,-3.0,21.64,,,,,
9,08/24/22 09:00:24 AM,2.2,0.6,21.64,,,,,
10,08/24/22 09:00:27 AM,2.2,-3.0,21.63,,,,,
11,08/24/22 09:00:30 AM,2.2,0.6,21.63,,,,,
12,08/24/22 09:00:33 AM,5.0,-3.0,21.63,,,,,
13,08/24/22 09:00:36 AM,2.2,-1.5,21.63,,,,,
14,08/24/22 09:00:39 AM,2.2,0.6,21.63,,,,,
15,08/24/22 09:00:42 AM,2.2,0.6,21.63,,,,,
16,08/24/22 09:00:45 AM,2.2,-3.0,21.64,,,,,
17,08/24/22 09:00:48 AM,2.2,0.6,21.64,,,,,
18,08/24/22 09:00:51 AM,2.2,0.6,21.63,,,,,
19,08/24/22 09:00:54 AM,1.2,-1.5,21.63,,,,,
20,08/24/22 09:00:57 AM,2.2,0.6,21.63,,,,,
21,08/24/22 09:01:00 AM,2.2,-3.0,21.63,,,,,
22,08/24/22 09:01:03 AM,2.2,-3.0,21.64,,,,,
23,08/24/22 09:01:06 AM,2.2,0.6,21.64,,,,,
24,08/24/22 09:01:09 AM,2.2,0.6,21.64,,,,,
25,08/24/22 09:01:12 AM,2.2,0.6,21.64,,,,,
26,08/24/22 09:01:15 AM,2.2,-3.0,21.64,,,,,
27,08/24/22 09:01:18 AM,2.2,0.6,21.64,,,,,
28,08/24/22 09:01:21 AM,2.2,-1.5,21.64,,,,,
29,08/24/22 09:01:24 AM,2.2,0.6,21.64,,,,,
30,08/24/22 09:01:27 AM,2.2,-3.0,21.64,,,,,
31,08/24/22 09:01:30 AM,2.2,0.6,21.64,,,,,
32,08/24/22 09:01:33 AM,2.2,-3.0,21.64,,,,,
33,08/24/22 09:01:36 AM,2.2,-1.5,21.64,,,,,
34,08/24/22 09:01:39 AM,2.2,0.6,21.64,,,,,
35,08/24/22 09:01:42 AM,2.2,-1.5,21.64,,,,,
36,08/24/22 09:01:45 AM,2.2,0.6,21.64,,,,,
37,08/24/22 09:01:48 AM,2.2,0.6,21.64,,,,,
38,08/24/22 09:01:51 AM,2.2,-3.0,21.64,,,,,
39,08/24/22 09:01:54 AM,5.0,0.6,21.64,,,,,
40,08/24/22 09:01:57 AM,2.2,0.6,21.64,,,,,
41,08/24/22 09:02:00 AM,2.2,0.6,21.64,,,,,
42,08/24/22 09:02:03 AM,2.2,0.6,21.64,,,,,
43,08/24/22 09:02:06 AM,2.2,0.6,21.64,,,,,
44,08/24/22 09:02:09 AM,2.2,0.6,21.64,,,,,
45,08/24/22 09:02:12 AM,2.2,-3.0,21.64,,,,,
46,08/24/22 09:02:15 AM,2.2,0.6,21.65,,,,,
47,08/24/22 09:02:18 AM,2.2,0.6,21.64,,,,,
48,08/24/22 09:02:21 AM,2.2,0.6,21.64,,,,,
49,08/24/22 09:02:24 AM,2.2,0.6,21.64,,,,,
50,08/24/22 09:02:27 AM,2.2,0.6,21.64,,,,,
51,08/24/22 09:02:30 AM,2.2,0.6,21.64,,,,,
52,08/24/22 09:02:33 AM,2.2,-1.5,21.65,,,,,
53,08/24/22 09:02:36 AM,2.2,-1.5,21.64,,,,,
54,08/24/22 09:02:39 AM,2.2,0.6,21.64,,,,,
55,08/24/22 09:02:42 AM,2.2,0.6,21.64,,,,,
56,08/24/22 09:02:45 AM,2.2,0.6,21.64,,,,,
57,08/24/22 09:02:48 AM,2.2,0.6,21.64,,,,,
58,08/24/22 09:02:51 AM,2.2,0.6,21.65,,,,,
59,08/24/22 09:02:54 AM,2.2,0.6,21.65,,,,,
60,08/24/22 09:02:57 AM,2.2,-3.0,21.65,,,,,
61,08/24/22 09:03:00 AM,2.2,0.6,21.65,,,,,
62,08/24/22 09:03:03 AM,2.2,0.6,21.65,,,,,
63,08/24/22 09:03:06 AM,2.2,-3.0,21.65,,,,,
64,08/24/22 09:03:09 AM,2.2,0.6,21.65,,,,,
65,08/24/22 09:03:12 AM,2.2,0.6,21.65,,,,,
66,08/24/22 09:03:15 AM,1.2,-3.0,21.65,,,,,
67,08/24/22 09:03:18 AM,2.2,-3.0,21.64,,,,,
68,08/24/22 09:03:21 AM,2.2,-3.0,21.65,,,,,
69,08/24/22 09:03:24 AM,2.2,0.6,21.64,,,,,
70,08/24/22 09:03:27 AM,2.2,0.6,21.65,,,,,
71,08/24/22 09:03:30 AM,2.2,-3.0,21.65,,,,,
72,08/24/22 09:03:33 AM,2.2,0.6,21.65,,,,,
73,08/24/22 09:03:36 AM,7.1,-3.0,21.65,,,,,
74,08/24/22 09:03:39 AM,2.2,-3.0,21.64,,,,,
75,08/24/22 09:03:42 AM,2.2,0.6,21.65,,,,,
76,08/24/22 09:03:45 AM,2.2,0.6,21.66,,,,,
77,08/24/22 09:03:48 AM,2.2,-3.0,21.64,,,,,
78,08/24/22 09:03:51 AM,2.2,0.6,21.65,,,,,
79,08/24/22 09:03:54 AM,2.2,0.6,21.65,,,,,
80,08/24/22 09:03:57 AM,2.2,-1.5,21.65,,,,,
81,08/24/22 09:04:00 AM,2.2,0.6,21.65,,,,,
82,08/24/22 09:04:03 AM,2.2,0.6,21.65,,,,,
83,08/24/22 09:04:06 AM,2.2,0.6,21.65,,,,,
84,08/24/22 09:04:09 AM,2.2,0.6,21.65,,,,,
85,08/24/22 09:04:12 AM,2.2,0.6,21.65,,,,,
86,08/24/22 09:04:15 AM,2.2,0.6,21.65,,,,,
87,08/24/22 09:04:18 AM,2.2,-3.0,21.65,,,,,
88,08/24/22 09:04:21 AM,2.2,0.6,21.65,,,,,
89,08/24/22 09:04:24 AM,2.2,0.6,21.65,,,,,
90,08/24/22 09:04:27 AM,2.2,0.6,21.65,,,,,
91,08/24/22 09:04:30 AM,2.2,0.6,21.65,,,,,
92,08/24/22 09:04:33 AM,2.2,0.6,21.65,,,,,
93,08/24/22 09:04:36 AM,2.2,0.6,21.65,,,,,
94,08/24/22 09:04:39 AM,2.2,-3.0,21.65,,,,,
95,08/24/22 09:04:42 AM,2.2,0.6,21.65,,,,,
96,08/24/22 09:04:45 AM,2.2,0.6,21.65,,,,,
97,08/24/22 09:04:48 AM,1.2,-3.0,21.65,,,,,
98,08/24/22 09:04:51 AM,2.2,0.6,21.66,,,,,
99,08/24/22 09:04:54 AM,2.2,0.6,21.66,,,,,
100,08/24/22 09:04:57 AM,2.2,0.6,21.66,,,,,
101,08/24/22 09:05:00 AM,2.2,-3.0,21.65,,,,,
102,08/24/22 09:05:03 AM,1.1,0.6,21.66,,,,,
103,08/24/22 09:05:06 AM,2.2,-3.0,21.66,,,,,
104,08/24/22 09:05:09 AM,1.1,-3.0,21.66,,,,,
105,08/24/22 09:05:12 AM,2.2,0.6,21.66,,,,,
106,08/24/22 09:05:15 AM,2.2,0.6,21.66,,,,,
107,08/24/22 09:05:18 AM,2.2,0.6,21.65,,,,,
108,08/24/22 09:05:21 AM,2.2,0.6,21.65,,,,,
109,08/24/22 09:05:24 AM,7.1,-3.0,21.65,,,,,
110,08/24/22 09:05:27 AM,2.2,0.6,21.65,,,,,
111,08/24/22 09:05:30 AM,2.2,0.6,21.66,,,,,
112,08/24/22 09:05:33 AM,2.2,0.6,21.66,,,,,
113,08/24/22 09:05:36 AM,2.2,0.6,21.65,,,,,
114,08/24/22 09:05:39 AM,2.2,-3.0,21.66,,,,,
115,08/24/22 09:05:42 AM,2.2,0.6,21.65,,,,,
116,08/24/22 09:05:45 AM,2.2,0.6,21.66,,,,,
117,08/24/22 09:05:48 AM,2.2,0.6,21.66,,,,,
118,08/24/22 09:05:51 AM,2.2,0.6,21.66,,,,,
119,08/24/22 09:05:54 AM,2.2,-1.5,21.66,,,,,
120,08/24/22 09:05:57 AM,1.2,0.6,21.66,,,,,
121,08/24/22 09:06:00 AM,2.2,0.6,21.66,,,,,
122,08/24/22 09:06:03 AM,2.2,0.6,21.66,,,,,
123,08/24/22 09:06:06 AM,2.2,0.6,21.66,,,,,
124,08/24/22 09:06:09 AM,2.2,0.6,21.66,,,,,
125,08/24/22 09:06:12 AM,2.2,0.6,21.66,,,,,
126,08/24/22 09:06:15 AM,2.2,0.6,21.66,,,,,
127,08/24/22 09:06:18 AM,2.2,0.6,21.66,,,,,
128,08/24/22 09:06:21 AM,2.2,0.6,21.66,,,,,
129,08/24/22 09:06:24 AM,2.2,0.6,21.66,,,,,
130,08/24/22 09:06:27 AM,2.2,0.6,21.66,,,,,
131,08/24/22 09:06:30 AM,2.2,0.6,21.66,,,,,
132,08/24/22 09:06:33 AM,1.2,-1.5,21.66,,,,,
133,08/24/22 09:06:36 AM,1.2,0.6,21.66,,,,,
134,08/24/22 09:06:39 AM,2.2,-3.0,21.66,,,,,
135,08/24/22 09:06:42 AM,2.2,-3.0,21.66,,,,,
136,08/24/22 09:06:45 AM,1.2,-1.5,21.66,,,,,
137,08/24/22 09:06:48 AM,2.2,0.6,21.66,,,,,
138,08/24/22 09:06:51 AM,1.2,0.6,21.66,,,,,
139,08/24/22 09:06:54 AM,1.2,0.6,21.66,,,,,
140,08/24/22 09:06:57 AM,2.2,0.6,21.68,,,,,
141,08/24/22 09:07:00 AM,2.2,0.6,21.68,,,,,
