"Plot Title: 20775523"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Full Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Temp, °C (LGR S/N: 20775523, SEN S/N: 20775523)","Coupler Detached (LGR S/N: 20775523)","Coupler Attached (LGR S/N: 20775523)","Host Connected (LGR S/N: 20775523)","Stopped (LGR S/N: 20775523)","End Of File (LGR S/N: 20775523)"
1,08/24/22 09:00:00 AM,1.1,-1.7,21.60,Logged,,,,
2,08/24/22 09:00:03 AM,1.1,0.8,21.59,,,,,
3,08/24/22 09:00:06 AM,1.1,-1.7,21.59,,,,,
4,08/24/22 09:00:09 AM,1.1,0.8,21.60,,,,,
5,08/24/22 09:00:12 AM,1.1,0.8,21.60,,,,,
6,08/24/22 09:00:15 AM,1.1,-1.7,21.60,,,,,
7,08/24/22 09:00:18 AM,2.4,0.8,21.59,,,,,
8,08/24/22 09:00:21 AM,2.4,0.8,21.60,,,,,
9,08/24/22 09:00:24 AM,1.1,1.2,21.60,,,,,
10,08/24/22 09:00:27 AM,2.4,0.8,21.59,,,,,
11,08/24/22 09:00:30 AM,1.1,-1.7,21.60,,,,,
12,08/24/22 09:00:33 AM,2.4,0.8,21.60,,,,,
13,08/24/22 09:00:36 AM,2.4,1.2,21.60,,,,,
14,08/24/22 09:00:39 AM,1.3,-1.7,21.60,,,,,
15,08/24/22 09:00:42 AM,2.4,0.8,21.60,,,,,
16,08/24/22 09:00:45 AM,2.4,-1.7,21.60,,,,,
17,08/24/22 09:00:48 AM,2.4,0.8,21.60,,,,,
18,08/24/22 09:00:51 AM,2.4,0.8,21.60,,,,,
19,08/24/22 09:00:54 AM,1.1,13.3,21.60,,,,,
20,08/24/22 09:00:57 AM,2.4,-1.7,21.60,,,,,
21,08/24/22 09:01:00 AM,1.1,0.8,21.60,,,,,
22,08/24/22 09:01:03 AM,2.4,-1.7,21.60,,,,,
23,08/24/22 09:01:06 AM,1.1,0.8,21.60,,,,,
24,08/24/22 09:01:09 AM,2.4,1.2,21.60,,,,,
25,08/24/22 09:01:12 AM,1.1,-1.7,21.60,,,,,
26,08/24/22 09:01:15 AM,2.4,-1.7,21.60,,,,,
27,08/24/22 09:01:18 AM,1.1,-1.7,21.60,,,,,
28,08/24/22 09:01:21 AM,1.3,-1.7,21.60,,,,,
29,08/24/22 09:01:24 AM,1.1,0.8,21.61,,,,,
30,08/24/22 09:01:27 AM,2.4,-1.7,21.60,,,,,
31,08/24/22 09:01:30 AM,2.4,13.3,21.61,,,,,
32,08/24/22 09:01:33 AM,1.1,0.8,21.60,,,,,
33,08/24/22 09:01:36 AM,2.4,0.8,21.60,,,,,
34,08/24/22 09:01:39 AM,1.1,-1.7,21.60,,,,,
35,08/24/22 09:01:42 AM,2.3,0.8,21.61,,,,,
36,08/24/22 09:01:45 AM,2.4,0.8,21.60,,,,,
37,08/24/22 09:01:48 AM,1.1,-1.7,21.60,,,,,
38,08/24/22 09:01:51 AM,1.1,0.8,21.61,,,,,
39,08/24/22 09:01:54 AM,1.1,-1.7,21.61,,,,,
40,08/24/22 09:01:57 AM,2.4,0.8,21.61,,,,,
41,08/24/22 09:02:00 AM,2.4,0.8,21.61,,,,,
42,08/24/22 09:02:03 AM,1.1,0.8,21.61,,,,,
43,08/24/22 09:02:06 AM,1.1,-1.7,21.61,,,,,
44,08/24/22 09:02:09 AM,2.4,0.8,21.61,,,,,
45,08/24/22 09:02:12 AM,1.1,-1.7,21.61,,,,,
46,08/24/22 09:02:15 AM,2.4,0.8,21.61,,,,,
47,08/24/22 09:02:18 AM,2.4,0.8,21.61,,,,,
48,08/24/22 09:02:21 AM,2.4,0.8,21.61,,,,,
49,08/24/22 09:02:24 AM,2.4,-1.7,21.61,,,,,
50,08/24/22 09:02:27 AM,2.4,0.8,21.61,,,,,
51,08/24/22 09:02:30 AM,1.1,0.8,21.61,,,,,
52,08/24/22 09:02:33 AM,1.1,0.8,21.61,,,,,
53,08/24/22 09:02:36 AM,1.1,0.8,21.61,,,,,
54,08/24/22 09:02:39 AM,2.4,0.8,21.61,,,,,
55,08/24/22 09:02:42 AM,2.4,-1.7,21.61,,,,,
56,08/24/22 09:02:45 AM,1.1,-1.7,21.61,,,,,
57,08/24/22 09:02:48 AM,2.4,0.8,21.61,,,,,
58,08/24/22 09:02:51 AM,2.4,0.8,21.61,,,,,
59,08/24/22 09:02:54 AM,1.1,-1.7,21.61,,,,,
60,08/24/22 09:02:57 AM,1.1,-1.7,21.61,,,,,
61,08/24/22 09:03:00 AM,1.1,0.8,21.61,,,,,
62,08/24/22 09:03:03 AM,1.1,-1.7,21.61,,,,,
63,08/24/22 09:03:06 AM,2.4,0.8,21.61,,,,,
64,08/24/22 09:03:09 AM,1.1,0.8,21.61,,,,,
65,08/24/22 09:03:12 AM,2.4,-1.7,21.61,,,,,
66,08/24/22 09:03:15 AM,1.1,0.8,21.63,,,,,
67,08/24/22 09:03:18 AM,1.1,0.8,21.61,,,,,
68,08/24/22 09:03:21 AM,2.4,0.8,21.61,,,,,
69,08/24/22 09:03:24 AM,2.4,0.8,21.61,,,,,
70,08/24/22 09:03:27 AM,1.1,-1.7,21.61,,,,,
71,08/24/22 09:03:30 AM,2.3,-1.7,21.61,,,,,
72,08/24/22 09:03:33 AM,1.1,-1.7,21.63,,,,,
73,08/24/22 09:03:36 AM,1.1,0.8,21.61,,,,,
74,08/24/22 09:03:39 AM,1.1,0.8,21.61,,,,,
75,08/24/22 09:03:42 AM,1.1,0.8,21.61,,,,,
76,08/24/22 09:03:45 AM,1.1,0.8,21.63,,,,,
77,08/24/22 09:03:48 AM,1.3,-1.7,21.63,,,,,
