Plot Title: 20775520,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)",Coupler Detached (LGR S/N: 20775520),Coupler Attached (LGR S/N: 20775520),Host Connected (LGR S/N: 20775520),Stopped (LGR S/N: 20775520),End Of File (LGR S/N: 20775520)
1,2022-08-24T11:55:00Z,73.9,69,18.17,Logged,,,,
2,2022-08-24T11:55:03Z,73.9,68.7,18.17,,,,,
3,2022-08-24T11:55:06Z,74,69,18.16,,,,,
4,2022-08-24T11:55:09Z,73.9,68.7,18.16,,,,,
5,2022-08-24T11:55:12Z,74,68.7,18.17,,,,,
6,2022-08-24T11:55:15Z,73.9,68.7,18.17,,,,,
7,2022-08-24T11:55:18Z,73.9,69,18.18,,,,,
8,2022-08-24T11:55:21Z,73.9,69,18.18,,,,,
9,2022-08-24T11:55:24Z,73.9,68.7,18.18,,,,,
10,2022-08-24T11:55:27Z,73.9,69,18.17,,,,,
11,2022-08-24T11:55:30Z,74.1,69,18.18,,,,,
12,2022-08-24T11:55:33Z,73.9,68.7,18.2,,,,,
13,2022-08-24T11:55:36Z,73.9,69,18.18,,,,,
14,2022-08-24T11:55:39Z,74,69,18.2,,,,,
15,2022-08-24T11:55:42Z,74.1,69,18.2,,,,,
16,2022-08-24T11:55:45Z,73.9,69,18.2,,,,,
17,2022-08-24T11:55:48Z,74,68.7,18.2,,,,,
18,2022-08-24T11:55:51Z,73.9,68.7,18.2,,,,,
19,2022-08-24T11:55:54Z,74,68.7,18.21,,,,,
20,2022-08-24T11:55:57Z,74.1,69,18.21,,,,,
21,2022-08-24T11:56:00Z,74,69,18.21,,,,,
22,2022-08-24T11:56:03Z,74.1,69,18.21,,,,,
23,2022-08-24T11:56:06Z,74,69,18.21,,,,,
24,2022-08-24T11:56:09Z,74,69,18.22,,,,,
25,2022-08-24T11:56:12Z,74.1,69,18.22,,,,,
26,2022-08-24T11:56:15Z,74,69,18.23,,,,,
27,2022-08-24T11:56:18Z,73.9,68.7,18.22,,,,,
28,2022-08-24T11:56:21Z,74,69,18.23,,,,,
29,2022-08-24T11:56:24Z,74.1,69,18.23,,,,,
30,2022-08-24T11:56:27Z,74,68.7,18.23,,,,,
31,2022-08-24T11:56:30Z,74.1,69,18.23,,,,,
32,2022-08-24T11:56:33Z,74,69,18.26,,,,,
33,2022-08-24T11:56:36Z,74.1,69,18.24,,,,,
34,2022-08-24T11:56:39Z,74.1,69,18.24,,,,,
35,2022-08-24T11:56:42Z,74.1,69,18.24,,,,,
36,2022-08-24T11:56:45Z,74.1,68.7,18.24,,,,,
37,2022-08-24T11:56:48Z,74,69,18.24,,,,,
38,2022-08-24T11:56:51Z,74.1,69,18.26,,,,,
39,2022-08-24T11:56:54Z,74.1,69,18.26,,,,,
40,2022-08-24T11:56:57Z,74.1,69,18.26,,,,,
41,2022-08-24T11:57:00Z,74.1,69,18.26,,,,,
42,2022-08-24T11:57:03Z,74.1,69,18.26,,,,,
43,2022-08-24T11:57:06Z,74.1,69,18.26,,,,,
44,2022-08-24T11:57:09Z,74.1,69,18.27,,,,,
45,2022-08-24T11:57:12Z,74.1,69,18.27,,,,,
46,2022-08-24T11:57:15Z,74.1,69,18.27,,,,,
47,2022-08-24T11:57:18Z,74.1,69,18.27,,,,,
48,2022-08-24T11:57:21Z,74.1,69,18.27,,,,,
49,2022-08-24T11:57:24Z,74,69,18.28,,,,,
50,2022-08-24T11:57:27Z,74.1,69,18.28,,,,,
51,2022-08-24T11:57:30Z,74.1,69,18.28,,,,,
52,2022-08-24T11:57:33Z,74.1,69,18.27,,,,,
53,2022-08-24T11:57:36Z,74.1,69,18.29,,,,,
54,2022-08-24T11:57:39Z,74.1,69,18.28,,,,,
55,2022-08-24T11:57:42Z,74.1,69,18.28,,,,,
56,2022-08-24T11:57:45Z,74.1,69,18.29,,,,,
57,2022-08-24T11:57:48Z,74.1,69,18.3,,,,,
58,2022-08-24T11:57:51Z,74.1,69,18.3,,,,,
59,2022-08-24T11:57:54Z,74.1,69,18.3,,,,,
60,2022-08-24T11:57:57Z,74.1,69,18.3,,,,,
61,2022-08-24T11:58:00Z,74.1,69,18.3,,,,,
62,2022-08-24T11:58:03Z,74.1,69,18.32,,,,,
63,2022-08-24T11:58:06Z,74,69,18.3,,,,,
64,2022-08-24T11:58:09Z,74.2,69,18.32,,,,,
65,2022-08-24T11:58:12Z,74.1,69,18.32,,,,,
66,2022-08-24T11:58:15Z,74.2,69,18.33,,,,,
67,2022-08-24T11:58:18Z,74.2,69,18.32,,,,,
68,2022-08-24T11:58:21Z,74.2,69,18.32,,,,,
69,2022-08-24T11:58:24Z,74.1,69,18.32,,,,,
70,2022-08-24T11:58:27Z,74.2,69,18.33,,,,,
71,2022-08-24T11:58:30Z,74.2,69,18.34,,,,,
72,2022-08-24T11:58:33Z,74.2,69,18.34,,,,,
73,2022-08-24T11:58:36Z,74.2,69,18.33,,,,,
74,2022-08-24T11:58:39Z,74.3,69,18.34,,,,,
75,2022-08-24T11:58:42Z,74.3,69,18.36,,,,,
76,2022-08-24T11:58:45Z,74.3,69,18.35,,,,,
77,2022-08-24T11:58:48Z,74.3,69,18.35,,,,,
78,2022-08-24T11:58:51Z,74.2,69,18.35,,,,,
79,2022-08-24T11:58:54Z,74.2,69,18.35,,,,,
80,2022-08-24T11:58:57Z,74.3,69,18.35,,,,,
81,2022-08-24T11:59:00Z,74.2,69,18.34,,,,,
82,2022-08-24T11:59:03Z,74.2,69,18.34,,,,,
