sample_no,date,time,Nh4_mgNL,PO4_ugL,ysi_SPC,notes
BWU NH4 NA1,2022-08-24,13:38:00,0.0335,-0.101,59.9,Reach length: 50 m
BWU NH4 NA2,2022-08-24,13:53:00,0.0148,-0.171,59.9,"BOR HOBO: 20775523, HOR HOBO: 20775523, HOR (later 20775520)"
BWU NH4 NA3,2022-08-24,13:56:30,0.0939,NA,66.9," 1500 g NaCl, 300 g NH4Cl, 10 L h2o"
BWU NH4 NA4,2022-08-24,13:59:00,0.5934,NA,117.3,"Injection start: 13:39:10 PST, injection end: 13:41:10 PST"
BWU NH4 NA5,2022-08-24,13:59:30,0.873,0.118,125.6,
BWU NH4 NA6,2022-08-24,14:00:30,1.2215,1.049,158.2,
BWU NH4 NA7,2022-08-24,14:01:30,1.6922,NA,181.3,
BWU NH4 NA8,2022-08-24,14:02:30,2.3625,NA,200.2,
BWU NH4 NA9,2022-08-24,14:03:30,3.037,NA,220.8,
BWU NH4 NA10,2022-08-24,14:04:30,2.8612,NA,246.8,
BWU NH4 NA11,2022-08-24,14:05:30,3.6627,NA,265.5,
BWU NH4 NA12,2022-08-24,14:06:30,3.621,NA,275.9,
BWU NH4 NA13,2022-08-24,14:07:30,4.1194,NA,276.4,
BWU NH4 NA14,2022-08-24,14:08:30,4.2347,NA,276.7,
BWU NH4 NA15,2022-08-24,14:09:30,3.9918,NA,271.1,
BWU NH4 NA16,2022-08-24,14:10:30,3.8388,NA,263.8,
BWU NH4 NA17,2022-08-24,14:11:30,3.9644,NA,259.4,
BWU NH4 NA18,2022-08-24,14:14:00,3.3918,NA,237.6,
BWU NH4 NA19,2022-08-24,14:16:00,3.2257,NA,226.1,
BWU NH4 NA20,2022-08-24,14:18:00,3.0678,NA,214,
BWU NH4 NA21,2022-08-24,14:21:00,2.19,NA,168.1,
BWU NH4 NA22,2022-08-24,14:25:00,1.7947,NA,143,
BWU NH4 NA23,2022-08-24,14:31:00,1.1531,NA,117.2,
BWU NH4 NA24,2022-08-24,15:04:15,0.1596,NA,70.6,
BWU NH4 NA25,2022-08-24,15:15:30,0.1015,4.436,66.5,
BWU NH4 HOR_1,2022-08-24,13:38:00,0.0175,-1.074,NA,
blank,2022-08-24,,0.0152,-0.875,NA,
