Plot Title: 20775523,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Full Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Temp, °C (LGR S/N: 20775523, SEN S/N: 20775523)",Coupler Detached (LGR S/N: 20775523),Coupler Attached (LGR S/N: 20775523),Host Connected (LGR S/N: 20775523),Stopped (LGR S/N: 20775523),End Of File (LGR S/N: 20775523)
1,2023-07-18T09:00:00Z,1.1,0.8,24.7,Logged,,,,
2,2023-07-18T09:00:03Z,2.4,0.8,24.7,,,,,
3,2023-07-18T09:00:06Z,1.1,-1.7,24.7,,,,,
4,2023-07-18T09:00:09Z,1.1,0.8,24.7,,,,,
5,2023-07-18T09:00:12Z,2.4,0.8,24.7,,,,,
6,2023-07-18T09:00:15Z,2.4,0.8,24.7,,,,,
7,2023-07-18T09:00:18Z,0.7,0.8,24.71,,,,,
8,2023-07-18T09:00:21Z,1.1,-1.7,24.71,,,,,
9,2023-07-18T09:00:24Z,2.4,0.8,24.71,,,,,
10,2023-07-18T09:00:27Z,1.1,-1.7,24.71,,,,,
11,2023-07-18T09:00:30Z,1.1,0.8,24.71,,,,,
12,2023-07-18T09:00:33Z,2.4,-1.7,24.71,,,,,
13,2023-07-18T09:00:36Z,2.4,0.8,24.71,,,,,
14,2023-07-18T09:00:39Z,1.1,0.8,24.71,,,,,
15,2023-07-18T09:00:42Z,2.4,0.8,24.71,,,,,
16,2023-07-18T09:00:45Z,2.4,0.8,24.71,,,,,
17,2023-07-18T09:00:48Z,1.1,0.8,24.71,,,,,
18,2023-07-18T09:00:51Z,1.1,-1.7,24.71,,,,,
19,2023-07-18T09:00:54Z,2.3,-1.7,24.73,,,,,
20,2023-07-18T09:00:57Z,1.1,0.8,24.71,,,,,
21,2023-07-18T09:01:00Z,1.1,0.8,24.71,,,,,
22,2023-07-18T09:01:03Z,1.1,-1.7,24.73,,,,,
23,2023-07-18T09:01:06Z,1.1,0.8,24.71,,,,,
24,2023-07-18T09:01:09Z,1.1,-1.7,24.73,,,,,
25,2023-07-18T09:01:12Z,2.4,-1.7,24.73,,,,,
26,2023-07-18T09:01:15Z,1.1,-1.7,24.73,,,,,
27,2023-07-18T09:01:18Z,2.4,-1.7,24.73,,,,,
