sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2023-07-18,10:20:00,0.0011,,0.005,,34.7,Reach length: 100m
2,2023-07-18,10:22:00,0.0068,,,,34.5,"BOR HOBO: , HOR HOBO: "
3,2023-07-18,10:25:00,0.0686,,,,37.6,"1000 g NaCl, 250 g NH4, 9L H2O"
4,2023-07-18,10:25:45,0.1483,,,,42.4,"Injection start: 10:20:00 PST, injection end: 10:21:05 PST"
5,2023-07-18,10:26:10,0.114,,,,41.3,"BOR GPS: N , W ; elevation:  ft"
6,2023-07-18,10:27:00,0.1489,,,,40.8,"HOR GPS: 39.10838 N , 120.16540 W ; elevation: 6014 ft"
7,2023-07-18,10:28:00,0.1308,,,,39.4,"width notes: 5.56, 6.01, 10.62, 14.23, 10.97, 9.84, 10.34, 11.12, 15.87, 12.00, 7.78, 10.15, 9.98, 9.23, 8.42"
8,2023-07-18,10:29:00,0.0685,,,,37.9,
9,2023-07-18,10:30:00,0.0738,,,,37.2,
10,2023-07-18,10:31:00,0.0422,,,,36,
11,2023-07-18,10:32:00,0.0342,,,,35.7,
12,2023-07-18,10:34:00,0.0054,,,,35.2,
13,2023-07-18,10:39:00,-0.0013,,,,34.7,
14,2023-07-18,10:44:00,0.0056,,0.005,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
HOR_1,,10:15:00,0.002,,0.003,,,
HOR_2,,,,,,,,
HOR_3,,,,,,,,
HOR_4,,,,,,,,
Blank,,,0.0029,,,,,
Blank_v2,,,-0.0016,,,,,
