sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2023-07-18,10:53:00,-0.0033,4.552,0.001,,34.7,Reach length: 100m
2,2023-07-18,10:55:00,,,0.003,,34.7,"BOR HOBO: , HOR HOBO: "
3,2023-07-18,10:58:00,,,0.019,,35.7,"1000 g NaCl, 285 g NO3, 9L H2O"
4,2023-07-18,10:58:30,,,0.084,,,"Injection start: 10:54:00 PST, injection end: 10:55:10 PST"
5,2023-07-18,10:59:00,,,0.132,,41.2,"BOR GPS: N , W ; elevation:  ft"
6,2023-07-18,10:59:30,,,0.121,,41.5,"HOR GPS: 39.10838 N , 120.16540 W ; elevation: 6014 ft"
7,2023-07-18,11:00:00,,,0.114,,40.9,"width notes: 5.56, 6.01, 10.62, 14.23, 10.97, 9.84, 10.34, 11.12, 15.87, 12.00, 7.78, 10.15, 9.98, 9.23, 8.42"
8,2023-07-18,11:01:00,,,0.105,,39.8,
9,2023-07-18,11:02:00,,,0.079,,38.6,
10,2023-07-18,11:03:00,,,0.047,,37.4,
11,2023-07-18,11:04:00,,,0.043,,36.6,
12,2023-07-18,11:06:00,,,0.023,,35.6,
13,2023-07-18,11:11:00,,,0.005,,34.8,
14,2023-07-18,11:16:00,-0.0043,5.816,0.001,,34.8,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
HOR_1,,10:53:00,0.002,5.717,0.009,,,
HOR_2,,,,,,,,
HOR_3,,,,,,,,
HOR_4,,,,,,,,
Blank,,,,,0.001,,,
Blank_v2,,,,,-0.001,,,
