Plot Title: 20775523,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Full Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Temp, °C (LGR S/N: 20775523, SEN S/N: 20775523)",Coupler Detached (LGR S/N: 20775523),Coupler Attached (LGR S/N: 20775523),Host Connected (LGR S/N: 20775523),Stopped (LGR S/N: 20775523),End Of File (LGR S/N: 20775523)
1,2022-11-04T09:30:00Z,1.2,0.9,17.81,Logged,,,,
2,2022-11-04T09:30:03Z,2.4,0.9,17.8,,,,,
3,2022-11-04T09:30:06Z,1.2,-1.7,17.8,,,,,
4,2022-11-04T09:30:09Z,1.2,-1.7,17.8,,,,,
5,2022-11-04T09:30:12Z,2.4,0.9,17.79,,,,,
6,2022-11-04T09:30:15Z,2.4,-1.7,17.77,,,,,
7,2022-11-04T09:30:18Z,1.2,-1.7,17.79,,,,,
8,2022-11-04T09:30:21Z,2.4,0.9,17.77,,,,,
9,2022-11-04T09:30:24Z,2.4,0.9,17.77,,,,,
10,2022-11-04T09:30:27Z,2.4,0.9,17.76,,,,,
11,2022-11-04T09:30:30Z,2.3,0.9,17.76,,,,,
12,2022-11-04T09:30:33Z,1.2,0.9,17.76,,,,,
13,2022-11-04T09:30:36Z,1.2,-1.7,17.75,,,,,
14,2022-11-04T09:30:39Z,1.2,0.9,17.75,,,,,
15,2022-11-04T09:30:42Z,1.2,-1.7,17.75,,,,,
16,2022-11-04T09:30:45Z,2.3,-1.7,17.75,,,,,
17,2022-11-04T09:30:48Z,1.2,0.9,17.74,,,,,
18,2022-11-04T09:30:51Z,1.2,-1.7,17.74,,,,,
19,2022-11-04T09:30:54Z,2.4,-1.7,17.73,,,,,
20,2022-11-04T09:30:57Z,1.2,-1.7,17.71,,,,,
21,2022-11-04T09:31:00Z,2.4,0.9,17.73,,,,,
22,2022-11-04T09:31:03Z,1.2,0.9,17.71,,,,,
23,2022-11-04T09:31:06Z,2.4,-1.7,17.71,,,,,
24,2022-11-04T09:31:09Z,2.4,0.9,17.7,,,,,
25,2022-11-04T09:31:12Z,1.2,-1.7,17.7,,,,,
26,2022-11-04T09:31:15Z,1.2,0.9,17.7,,,,,
27,2022-11-04T09:31:18Z,2.4,-1.7,17.69,,,,,
28,2022-11-04T09:31:21Z,1.2,0.9,17.69,,,,,
29,2022-11-04T09:31:24Z,2.3,0.9,17.69,,,,,
30,2022-11-04T09:31:27Z,1.2,0.9,17.68,,,,,
31,2022-11-04T09:31:30Z,2.4,0.9,17.68,,,,,
32,2022-11-04T09:31:33Z,1.2,-1.7,17.68,,,,,
33,2022-11-04T09:31:36Z,2.4,0.9,17.68,,,,,
34,2022-11-04T09:31:39Z,1.2,0.9,17.68,,,,,
35,2022-11-04T09:31:42Z,1.2,-1.7,17.67,,,,,
36,2022-11-04T09:31:45Z,2.3,0.9,17.65,,,,,
37,2022-11-04T09:31:48Z,1.3,0.9,17.65,,,,,
38,2022-11-04T09:31:51Z,2.4,0.9,17.65,,,,,
39,2022-11-04T09:31:54Z,1.2,-2.8,17.65,,,,,
40,2022-11-04T09:31:57Z,1.2,0.9,17.64,,,,,
41,2022-11-04T09:32:00Z,2.4,-1.7,17.63,,,,,
42,2022-11-04T09:32:03Z,1.2,1.2,17.63,,,,,
43,2022-11-04T09:32:06Z,2.4,0.9,17.63,,,,,
44,2022-11-04T09:32:09Z,1.3,0.9,17.63,,,,,
45,2022-11-04T09:32:12Z,2.4,0.9,17.63,,,,,
46,2022-11-04T09:32:15Z,1.2,0.9,17.63,,,,,
47,2022-11-04T09:32:18Z,1.2,-1.7,17.61,,,,,
48,2022-11-04T09:32:21Z,1.2,0.9,17.61,,,,,
49,2022-11-04T09:32:24Z,1.2,0.9,17.61,,,,,
50,2022-11-04T09:32:27Z,1.2,-1.7,17.61,,,,,
51,2022-11-04T09:32:30Z,2.4,-1.7,17.61,,,,,
52,2022-11-04T09:32:33Z,1.2,0.9,17.59,,,,,
53,2022-11-04T09:32:36Z,1.2,0.9,17.59,,,,,
54,2022-11-04T09:32:39Z,2.7,0.9,17.59,,,,,
55,2022-11-04T09:32:42Z,2.4,0.9,17.59,,,,,
56,2022-11-04T09:32:45Z,1.2,-1.7,17.58,,,,,
57,2022-11-04T09:32:48Z,1.3,0.9,17.58,,,,,
