Plot Title: 20775523,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Full Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Temp, °C (LGR S/N: 20775523, SEN S/N: 20775523)",Coupler Detached (LGR S/N: 20775523),Coupler Attached (LGR S/N: 20775523),Host Connected (LGR S/N: 20775523),Stopped (LGR S/N: 20775523),End Of File (LGR S/N: 20775523)
1,2022-04-07T09:20:00Z,2.4,-1.7,17.36,Logged,,,,
2,2022-04-07T09:20:01Z,1.2,-1.7,17.36,,,,,
3,2022-04-07T09:20:02Z,1.2,-1.7,17.36,,,,,
4,2022-04-07T09:20:03Z,1.3,-1.7,17.36,,,,,
5,2022-04-07T09:20:04Z,1.2,0.9,17.36,,,,,
6,2022-04-07T09:20:05Z,1.2,0.9,17.36,,,,,
7,2022-04-07T09:20:06Z,1.2,0.9,17.37,,,,,
8,2022-04-07T09:20:07Z,2.3,-1.7,17.36,,,,,
9,2022-04-07T09:20:08Z,1.3,-1.7,17.36,,,,,
10,2022-04-07T09:20:09Z,2.4,0.9,17.36,,,,,
11,2022-04-07T09:20:10Z,2.4,0.9,17.37,,,,,
12,2022-04-07T09:20:11Z,1.2,-1.7,17.36,,,,,
13,2022-04-07T09:20:12Z,1.2,-1.7,17.36,,,,,
14,2022-04-07T09:20:13Z,1.2,1.2,17.37,,,,,
15,2022-04-07T09:20:14Z,2.4,0.9,17.36,,,,,
16,2022-04-07T09:20:15Z,1.3,0.9,17.36,,,,,
17,2022-04-07T09:20:16Z,2.4,0.9,17.36,,,,,
18,2022-04-07T09:20:17Z,1.2,-1.7,17.36,,,,,
19,2022-04-07T09:20:18Z,1.3,0.9,17.36,,,,,
20,2022-04-07T09:20:19Z,1.2,0.9,17.36,,,,,
21,2022-04-07T09:20:20Z,2.3,0.9,17.36,,,,,
22,2022-04-07T09:20:21Z,1.3,0.9,17.36,,,,,
23,2022-04-07T09:20:22Z,2.4,0.9,17.36,,,,,
24,2022-04-07T09:20:23Z,1.2,0.9,17.36,,,,,
25,2022-04-07T09:20:24Z,2.3,1.2,17.36,,,,,
26,2022-04-07T09:20:25Z,1.3,1.2,17.36,,,,,
27,2022-04-07T09:20:26Z,1.2,0.9,17.36,,,,,
28,2022-04-07T09:20:27Z,1.2,0.9,17.36,,,,,
29,2022-04-07T09:20:28Z,2.4,-1.7,17.36,,,,,
30,2022-04-07T09:20:29Z,2.4,0.9,17.36,,,,,
31,2022-04-07T09:20:30Z,2.4,0.9,17.36,,,,,
32,2022-04-07T09:20:31Z,1.2,0.9,17.36,,,,,
33,2022-04-07T09:20:32Z,1.2,0.9,17.34,,,,,
34,2022-04-07T09:20:33Z,1.2,-1.7,17.36,,,,,
35,2022-04-07T09:20:34Z,2.4,0.9,17.36,,,,,
36,2022-04-07T09:20:35Z,1.3,0.9,17.36,,,,,
37,2022-04-07T09:20:36Z,1.2,-1.7,17.34,,,,,
38,2022-04-07T09:20:37Z,1.2,0.9,17.36,,,,,
39,2022-04-07T09:20:38Z,2.4,13.4,17.36,,,,,
40,2022-04-07T09:20:39Z,1.2,0.9,17.34,,,,,
41,2022-04-07T09:20:40Z,2.4,-1.7,17.34,,,,,
42,2022-04-07T09:20:41Z,2.4,0.9,17.34,,,,,
43,2022-04-07T09:20:42Z,2.4,-1.7,17.34,,,,,
44,2022-04-07T09:20:43Z,2.4,0.9,17.34,,,,,
45,2022-04-07T09:20:44Z,1.2,0.9,17.34,,,,,
46,2022-04-07T09:20:45Z,1.2,-1.7,17.34,,,,,
47,2022-04-07T09:20:46Z,1.2,-1.7,17.34,,,,,
48,2022-04-07T09:20:47Z,1.2,0.9,17.34,,,,,
49,2022-04-07T09:20:48Z,2.3,0.9,17.34,,,,,
50,2022-04-07T09:20:49Z,1.2,-1.7,17.34,,,,,
51,2022-04-07T09:20:50Z,1.2,0.9,17.34,,,,,
52,2022-04-07T09:20:51Z,1.2,-1.7,17.34,,,,,
53,2022-04-07T09:20:52Z,2.4,0.9,17.34,,,,,
54,2022-04-07T09:20:53Z,2.4,0.9,17.34,,,,,
55,2022-04-07T09:20:54Z,1.2,0.9,17.34,,,,,
56,2022-04-07T09:20:55Z,1.2,0.9,17.34,,,,,
57,2022-04-07T09:20:56Z,2.4,0.9,17.34,,,,,
58,2022-04-07T09:20:57Z,1.2,-1.7,17.33,,,,,
59,2022-04-07T09:20:58Z,1.3,0.9,17.33,,,,,
60,2022-04-07T09:20:59Z,2.3,0.9,17.34,,,,,
61,2022-04-07T09:21:00Z,1.3,0.9,17.33,,,,,
62,2022-04-07T09:21:01Z,1.2,0.9,17.33,,,,,
63,2022-04-07T09:21:02Z,2.3,-1.7,17.33,,,,,
64,2022-04-07T09:21:03Z,1.2,0.9,17.33,,,,,
65,2022-04-07T09:21:04Z,1.2,-1.7,17.33,,,,,
66,2022-04-07T09:21:05Z,2.3,-1.7,17.33,,,,,
67,2022-04-07T09:21:06Z,2.4,0.9,17.33,,,,,
68,2022-04-07T09:21:07Z,1.2,-1.7,17.33,,,,,
69,2022-04-07T09:21:08Z,2.4,13.4,17.33,,,,,
70,2022-04-07T09:21:09Z,1.3,0.9,17.33,,,,,
71,2022-04-07T09:21:10Z,1.3,0.9,17.33,,,,,
72,2022-04-07T09:21:11Z,2.3,13.4,17.33,,,,,
73,2022-04-07T09:21:12Z,2.4,-1.7,17.33,,,,,
74,2022-04-07T09:21:13Z,2.4,-1.7,17.33,,,,,
75,2022-04-07T09:21:14Z,2.4,0.9,17.33,,,,,
76,2022-04-07T09:21:15Z,1.2,-1.7,17.33,,,,,
77,2022-04-07T09:21:16Z,2.4,0.9,17.33,,,,,
78,2022-04-07T09:21:17Z,2.3,0.9,17.33,,,,,
79,2022-04-07T09:21:18Z,1.3,-1.7,17.32,,,,,
80,2022-04-07T09:21:19Z,2.3,-1.7,17.33,,,,,
81,2022-04-07T09:21:20Z,2.4,-1.7,17.32,,,,,
82,2022-04-07T09:21:21Z,1.2,0.9,17.32,,,,,
83,2022-04-07T09:21:22Z,1.3,-1.7,17.33,,,,,
84,2022-04-07T09:21:23Z,2.3,0.9,17.32,,,,,
85,2022-04-07T09:21:24Z,2.3,0.9,17.32,,,,,
86,2022-04-07T09:21:25Z,1.2,0.9,17.33,,,,,
87,2022-04-07T09:21:26Z,1.2,0.9,17.32,,,,,
88,2022-04-07T09:21:27Z,2.4,0.9,17.32,,,,,
89,2022-04-07T09:21:28Z,1.2,0.9,17.32,,,,,
90,2022-04-07T09:21:29Z,2.4,-1.7,17.32,,,,,
91,2022-04-07T09:21:30Z,1.2,-1.7,17.32,,,,,
92,2022-04-07T09:21:31Z,2.3,-1.7,17.33,,,,,
93,2022-04-07T09:21:32Z,1.2,0.9,17.32,,,,,
94,2022-04-07T09:21:33Z,2.4,0.9,17.33,,,,,
95,2022-04-07T09:21:34Z,2.4,0.9,17.32,,,,,
96,2022-04-07T09:21:35Z,1.2,0.9,17.33,,,,,
97,2022-04-07T09:21:36Z,1.2,0.9,17.33,,,,,
98,2022-04-07T09:21:37Z,1.3,0.9,17.32,,,,,
99,2022-04-07T09:21:38Z,2.4,-1.7,17.32,,,,,
100,2022-04-07T09:21:39Z,2.3,0.9,17.32,,,,,
101,2022-04-07T09:21:40Z,2.4,0.9,17.32,,,,,
102,2022-04-07T09:21:41Z,1.2,-1.7,17.31,,,,,
103,2022-04-07T09:21:42Z,2.4,-1.7,17.32,,,,,
104,2022-04-07T09:21:43Z,2.4,0.9,17.32,,,,,
105,2022-04-07T09:21:44Z,1.2,0.9,17.32,,,,,
106,2022-04-07T09:21:45Z,1.2,-1.7,17.32,,,,,
107,2022-04-07T09:21:46Z,2.3,0.9,17.32,,,,,
108,2022-04-07T09:21:47Z,1.3,0.9,17.32,,,,,
109,2022-04-07T09:21:48Z,2.4,-1.7,17.32,,,,,
110,2022-04-07T09:21:49Z,2.4,-1.7,17.32,,,,,
111,2022-04-07T09:21:50Z,2.4,-1.7,17.31,,,,,
112,2022-04-07T09:21:51Z,2.4,-1.7,17.32,,,,,
113,2022-04-07T09:21:52Z,1.2,-1.7,17.31,,,,,
114,2022-04-07T09:21:53Z,1.2,0.9,17.32,,,,,
115,2022-04-07T09:21:54Z,1.2,-1.7,17.31,,,,,
116,2022-04-07T09:21:55Z,2.4,13.4,17.31,,,,,
117,2022-04-07T09:21:56Z,2.4,-1.7,17.32,,,,,
118,2022-04-07T09:21:57Z,2.4,-1.7,17.31,,,,,
119,2022-04-07T09:21:58Z,2.4,0.9,17.31,,,,,
120,2022-04-07T09:21:59Z,2.3,-1.7,17.31,,,,,
121,2022-04-07T09:22:00Z,1.2,0.9,17.31,,,,,
122,2022-04-07T09:22:01Z,1.2,0.9,17.31,,,,,
123,2022-04-07T09:22:02Z,2.4,0.9,17.31,,,,,
124,2022-04-07T09:22:03Z,2.4,-1.7,17.3,,,,,
125,2022-04-07T09:22:04Z,1.2,0.9,17.31,,,,,
126,2022-04-07T09:22:05Z,2.4,0.9,17.3,,,,,
127,2022-04-07T09:22:06Z,2.4,-1.7,17.3,,,,,
128,2022-04-07T09:22:07Z,1.2,0.9,17.31,,,,,
129,2022-04-07T09:22:08Z,1.2,-1.7,17.31,,,,,
130,2022-04-07T09:22:09Z,1.2,0.9,17.31,,,,,
131,2022-04-07T09:22:10Z,1.2,0.9,17.3,,,,,
132,2022-04-07T09:22:11Z,1.2,0.9,17.3,,,,,
133,2022-04-07T09:22:12Z,1.2,13.4,17.31,,,,,
134,2022-04-07T09:22:13Z,1.2,0.9,17.31,,,,,
135,2022-04-07T09:22:14Z,2.4,-1.7,17.3,,,,,
136,2022-04-07T09:22:15Z,1.3,0.9,17.3,,,,,
137,2022-04-07T09:22:16Z,2.4,-1.7,17.3,,,,,
138,2022-04-07T09:22:17Z,1.2,0.9,17.31,,,,,
139,2022-04-07T09:22:18Z,2.4,0.9,17.31,,,,,
140,2022-04-07T09:22:19Z,1.2,0.9,17.3,,,,,
141,2022-04-07T09:22:20Z,1.2,-1.7,17.3,,,,,
142,2022-04-07T09:22:21Z,2.4,0.9,17.3,,,,,
143,2022-04-07T09:22:22Z,1.3,0.9,17.31,,,,,
144,2022-04-07T09:22:23Z,1.2,0.9,17.3,,,,,
145,2022-04-07T09:22:24Z,1.3,0.9,17.3,,,,,
146,2022-04-07T09:22:25Z,1.2,0.9,17.31,,,,,
147,2022-04-07T09:22:26Z,1.2,0.9,17.3,,,,,
148,2022-04-07T09:22:27Z,1.2,13.4,17.3,,,,,
149,2022-04-07T09:22:28Z,2.4,0.9,17.3,,,,,
150,2022-04-07T09:22:29Z,2.3,-1.7,17.3,,,,,
151,2022-04-07T09:22:30Z,2.4,0.9,17.3,,,,,
152,2022-04-07T09:22:31Z,1.2,-1.7,17.3,,,,,
153,2022-04-07T09:22:32Z,1.2,0.9,17.3,,,,,
154,2022-04-07T09:22:33Z,1.2,-1.7,17.3,,,,,
155,2022-04-07T09:22:34Z,1.3,-1.7,17.3,,,,,
156,2022-04-07T09:22:35Z,2.3,0.9,17.3,,,,,
157,2022-04-07T09:22:36Z,1.3,-1.7,17.3,,,,,
158,2022-04-07T09:22:37Z,2.4,0.9,17.3,,,,,
159,2022-04-07T09:22:38Z,1.2,0.9,17.3,,,,,
160,2022-04-07T09:22:39Z,1.2,0.9,17.3,,,,,
161,2022-04-07T09:22:40Z,2.3,-1.7,17.3,,,,,
162,2022-04-07T09:22:41Z,1.2,-1.7,17.28,,,,,
163,2022-04-07T09:22:42Z,1.3,0.9,17.28,,,,,
164,2022-04-07T09:22:43Z,2.4,0.9,17.28,,,,,
165,2022-04-07T09:22:44Z,2.3,0.9,17.28,,,,,
166,2022-04-07T09:22:45Z,1.2,0.9,17.28,,,,,
167,2022-04-07T09:22:46Z,1.3,0.9,17.3,,,,,
168,2022-04-07T09:22:47Z,2.4,0.9,17.28,,,,,
169,2022-04-07T09:22:48Z,2.4,-1.7,17.28,,,,,
170,2022-04-07T09:22:49Z,1.2,-1.7,17.3,,,,,
171,2022-04-07T09:22:50Z,1.3,0.9,17.3,,,,,
172,2022-04-07T09:22:51Z,1.2,13.4,17.28,,,,,
173,2022-04-07T09:22:52Z,1.2,-1.7,17.28,,,,,
174,2022-04-07T09:22:53Z,1.2,0.9,17.28,,,,,
175,2022-04-07T09:22:54Z,2.4,0.9,17.27,,,,,
176,2022-04-07T09:22:55Z,1.2,-1.7,17.28,,,,,
177,2022-04-07T09:22:56Z,2.4,-1.7,17.3,,,,,
178,2022-04-07T09:22:57Z,1.2,0.9,17.28,,,,,
179,2022-04-07T09:22:58Z,1.2,-1.7,17.28,,,,,
180,2022-04-07T09:22:59Z,1.2,0.9,17.28,,,,,
181,2022-04-07T09:23:00Z,1.2,0.9,17.28,,,,,
182,2022-04-07T09:23:01Z,1.3,0.9,17.28,,,,,
183,2022-04-07T09:23:02Z,2.3,0.9,17.28,,,,,
184,2022-04-07T09:23:03Z,1.2,-1.7,17.28,,,,,
185,2022-04-07T09:23:04Z,2.3,-1.7,17.28,,,,,
186,2022-04-07T09:23:05Z,1.3,0.9,17.28,,,,,
187,2022-04-07T09:23:06Z,1.2,-1.7,17.28,,,,,
188,2022-04-07T09:23:07Z,2.4,-1.7,17.28,,,,,
189,2022-04-07T09:23:08Z,2.4,0.9,17.28,,,,,
190,2022-04-07T09:23:09Z,2.4,-1.7,17.27,,,,,
191,2022-04-07T09:23:10Z,2.3,0.9,17.28,,,,,
192,2022-04-07T09:23:11Z,2.3,-1.7,17.27,,,,,
193,2022-04-07T09:23:12Z,1.2,0.9,17.28,,,,,
194,2022-04-07T09:23:13Z,2.4,0.9,17.27,,,,,
195,2022-04-07T09:23:14Z,2.4,0.9,17.27,,,,,
196,2022-04-07T09:23:15Z,1.2,0.9,17.27,,,,,
197,2022-04-07T09:23:16Z,1.2,0.9,17.27,,,,,
198,2022-04-07T09:23:17Z,1.3,0.9,17.28,,,,,
199,2022-04-07T09:23:18Z,2.3,0.9,17.27,,,,,
200,2022-04-07T09:23:19Z,2.3,0.9,17.27,,,,,
201,2022-04-07T09:23:20Z,2.4,0.9,17.27,,,,,
202,2022-04-07T09:23:21Z,2.4,-1.7,17.27,,,,,
203,2022-04-07T09:23:22Z,1.2,-1.7,17.27,,,,,
204,2022-04-07T09:23:23Z,2.4,-1.7,17.27,,,,,
205,2022-04-07T09:23:24Z,1.2,-1.7,17.27,,,,,
206,2022-04-07T09:23:25Z,2.4,-1.7,17.27,,,,,
207,2022-04-07T09:23:26Z,1.2,-1.7,17.27,,,,,
208,2022-04-07T09:23:27Z,1.2,0.9,17.27,,,,,
209,2022-04-07T09:23:28Z,1.2,13.4,17.27,,,,,
210,2022-04-07T09:23:29Z,2.3,-1.7,17.27,,,,,
211,2022-04-07T09:23:30Z,2.3,0.9,17.27,,,,,
212,2022-04-07T09:23:31Z,1.2,-1.7,17.27,,,,,
213,2022-04-07T09:23:32Z,2.4,-1.7,17.27,,,,,
214,2022-04-07T09:23:33Z,1.2,1.2,17.26,,,,,
215,2022-04-07T09:23:34Z,2.4,0.9,17.27,,,,,
216,2022-04-07T09:23:35Z,2.4,-1.7,17.27,,,,,
217,2022-04-07T09:23:36Z,2.4,0.9,17.26,,,,,
218,2022-04-07T09:23:37Z,2.4,0.9,17.27,,,,,
219,2022-04-07T09:23:38Z,1.2,-1.7,17.27,,,,,
220,2022-04-07T09:23:39Z,1.2,0.9,17.27,,,,,
221,2022-04-07T09:23:40Z,1.2,-1.7,17.26,,,,,
222,2022-04-07T09:23:41Z,1.2,1.2,17.27,,,,,
223,2022-04-07T09:23:42Z,1.2,-1.7,17.27,,,,,
224,2022-04-07T09:23:43Z,1.2,0.9,17.26,,,,,
225,2022-04-07T09:23:44Z,1.2,-1.7,17.26,,,,,
226,2022-04-07T09:23:45Z,2.3,-1.7,17.26,,,,,
227,2022-04-07T09:23:46Z,1.2,0.9,17.26,,,,,
228,2022-04-07T09:23:47Z,1.2,-1.7,17.26,,,,,
229,2022-04-07T09:23:48Z,1.2,0.9,17.26,,,,,
230,2022-04-07T09:23:49Z,1.2,13.4,17.26,,,,,
231,2022-04-07T09:23:50Z,2.4,0.9,17.26,,,,,
232,2022-04-07T09:23:51Z,2.4,0.9,17.26,,,,,
233,2022-04-07T09:23:52Z,1.2,0.9,17.26,,,,,
234,2022-04-07T09:23:53Z,1.3,0.9,17.26,,,,,
235,2022-04-07T09:23:54Z,1.2,-1.7,17.26,,,,,
236,2022-04-07T09:23:55Z,2.4,-1.7,17.26,,,,,
237,2022-04-07T09:23:56Z,1.2,-1.7,17.26,,,,,
238,2022-04-07T09:23:57Z,1.2,-1.7,17.26,,,,,
239,2022-04-07T09:23:58Z,1.2,-1.7,17.26,,,,,
240,2022-04-07T09:23:59Z,2.4,-1.7,17.26,,,,,
241,2022-04-07T09:24:00Z,1.2,0.9,17.26,,,,,
242,2022-04-07T09:24:01Z,1.2,0.9,17.26,,,,,
243,2022-04-07T09:24:02Z,2.4,0.9,17.26,,,,,
244,2022-04-07T09:24:03Z,1.2,0.9,17.25,,,,,
245,2022-04-07T09:24:04Z,1.2,0.9,17.26,,,,,
246,2022-04-07T09:24:05Z,1.2,-1.7,17.26,,,,,
247,2022-04-07T09:24:06Z,2.4,-1.7,17.26,,,,,
248,2022-04-07T09:24:07Z,1.2,-1.7,17.25,,,,,
249,2022-04-07T09:24:08Z,2.4,-1.7,17.25,,,,,
250,2022-04-07T09:24:09Z,2.3,-1.7,17.26,,,,,
251,2022-04-07T09:24:10Z,1.2,0.9,17.25,,,,,
252,2022-04-07T09:24:11Z,2.3,0.9,17.25,,,,,
253,2022-04-07T09:24:12Z,2.4,0.9,17.25,,,,,
254,2022-04-07T09:24:13Z,1.3,0.9,17.25,,,,,
255,2022-04-07T09:24:14Z,1.3,0.9,17.25,,,,,
256,2022-04-07T09:24:15Z,1.3,0.9,17.25,,,,,
257,2022-04-07T09:24:16Z,1.2,0.9,17.25,,,,,
258,2022-04-07T09:24:17Z,2.4,0.9,17.25,,,,,
259,2022-04-07T09:24:18Z,2.4,-1.7,17.25,,,,,
260,2022-04-07T09:24:19Z,1.3,-1.7,17.25,,,,,
261,2022-04-07T09:24:20Z,1.2,0.9,17.25,,,,,
262,2022-04-07T09:24:21Z,2.3,0.9,17.26,,,,,
263,2022-04-07T09:24:22Z,1.2,0.9,17.25,,,,,
264,2022-04-07T09:24:23Z,1.3,0.9,17.25,,,,,
265,2022-04-07T09:24:24Z,1.3,0.9,17.25,,,,,
266,2022-04-07T09:24:25Z,1.2,0.9,17.24,,,,,
