Plot Title: 20775520,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)",Coupler Detached (LGR S/N: 20775520),Coupler Attached (LGR S/N: 20775520),Host Connected (LGR S/N: 20775520),Stopped (LGR S/N: 20775520),End Of File (LGR S/N: 20775520)
1,2022-10-03T09:45:00Z,2.2,0.6,21.47,Logged,,,,
2,2022-10-03T09:45:03Z,2.2,0.6,21.47,,,,,
3,2022-10-03T09:45:06Z,1.2,0.6,21.46,,,,,
4,2022-10-03T09:45:09Z,2.2,0.6,21.47,,,,,
5,2022-10-03T09:45:12Z,2.2,0.6,21.46,,,,,
6,2022-10-03T09:45:15Z,2.2,0.6,21.46,,,,,
7,2022-10-03T09:45:18Z,2.2,0.6,21.46,,,,,
8,2022-10-03T09:45:21Z,2.2,-3,21.46,,,,,
9,2022-10-03T09:45:24Z,2.2,0.6,21.46,,,,,
10,2022-10-03T09:45:27Z,2.2,-3,21.46,,,,,
11,2022-10-03T09:45:30Z,2.2,0.6,21.46,,,,,
12,2022-10-03T09:45:33Z,2.2,0.6,21.45,,,,,
13,2022-10-03T09:45:36Z,2.2,0.6,21.45,,,,,
14,2022-10-03T09:45:39Z,2.2,0.6,21.45,,,,,
15,2022-10-03T09:45:42Z,2.2,0.6,21.45,,,,,
16,2022-10-03T09:45:45Z,1.2,0.6,21.46,,,,,
17,2022-10-03T09:45:48Z,2.2,0.6,21.45,,,,,
18,2022-10-03T09:45:51Z,1.2,-1.5,21.45,,,,,
19,2022-10-03T09:45:54Z,2.5,-1.5,21.45,,,,,
20,2022-10-03T09:45:57Z,2.2,0.6,21.43,,,,,
21,2022-10-03T09:46:00Z,2.2,0.6,21.45,,,,,
22,2022-10-03T09:46:03Z,2.2,0.6,21.43,,,,,
23,2022-10-03T09:46:06Z,1.2,0.6,21.43,,,,,
24,2022-10-03T09:46:09Z,2.2,0.6,21.43,,,,,
25,2022-10-03T09:46:12Z,2.2,-1.5,21.43,,,,,
26,2022-10-03T09:46:15Z,1.2,0.6,21.43,,,,,
27,2022-10-03T09:46:18Z,2.2,0.6,21.43,,,,,
28,2022-10-03T09:46:21Z,2.2,-3,21.42,,,,,
29,2022-10-03T09:46:24Z,2.2,0.6,21.43,,,,,
30,2022-10-03T09:46:27Z,2.2,0.6,21.43,,,,,
31,2022-10-03T09:46:30Z,2.2,-3,21.42,,,,,
32,2022-10-03T09:46:33Z,2.2,-3,21.42,,,,,
33,2022-10-03T09:46:36Z,2.2,0.6,21.42,,,,,
34,2022-10-03T09:46:39Z,2.2,0.6,21.42,,,,,
35,2022-10-03T09:46:42Z,2.2,0.6,21.42,,,,,
36,2022-10-03T09:46:45Z,2.2,0.6,21.42,,,,,
37,2022-10-03T09:46:48Z,2.2,0.6,21.41,,,,,
38,2022-10-03T09:46:51Z,1.2,0.6,21.41,,,,,
39,2022-10-03T09:46:54Z,2.2,-3,21.42,,,,,
40,2022-10-03T09:46:57Z,2.2,-3,21.41,,,,,
41,2022-10-03T09:47:00Z,2.2,-3,21.41,,,,,
42,2022-10-03T09:47:03Z,2.2,0.6,21.41,,,,,
43,2022-10-03T09:47:06Z,2.2,0.6,21.41,,,,,
44,2022-10-03T09:47:09Z,1.2,0.6,21.41,,,,,
45,2022-10-03T09:47:12Z,1.2,-3,21.41,,,,,
46,2022-10-03T09:47:15Z,2.2,-1.5,21.4,,,,,
47,2022-10-03T09:47:18Z,2.2,-1.5,21.41,,,,,
48,2022-10-03T09:47:21Z,2.2,-3,21.41,,,,,
49,2022-10-03T09:47:24Z,2.2,0.6,21.4,,,,,
50,2022-10-03T09:47:27Z,2.2,0.6,21.4,,,,,
51,2022-10-03T09:47:30Z,2.2,0.6,21.4,,,,,
52,2022-10-03T09:47:33Z,2.2,0.6,21.4,,,,,
53,2022-10-03T09:47:36Z,2.2,-3,21.4,,,,,
54,2022-10-03T09:47:39Z,2.2,-3,21.39,,,,,
55,2022-10-03T09:47:42Z,2.2,0.6,21.4,,,,,
56,2022-10-03T09:47:45Z,2.2,-3,21.39,,,,,
57,2022-10-03T09:47:48Z,2.2,-3,21.39,,,,,
58,2022-10-03T09:47:51Z,1.2,0.6,21.39,,,,,
59,2022-10-03T09:47:54Z,2.2,0.6,21.39,,,,,
60,2022-10-03T09:47:57Z,2.2,0.6,21.39,,,,,
61,2022-10-03T09:48:00Z,2.2,0.6,21.39,,,,,
62,2022-10-03T09:48:03Z,1.2,0.6,21.39,,,,,
63,2022-10-03T09:48:06Z,2.2,0.6,21.39,,,,,
64,2022-10-03T09:48:09Z,5,0.6,21.37,,,,,
65,2022-10-03T09:48:12Z,2.2,0.6,21.39,,,,,
66,2022-10-03T09:48:15Z,1.1,-3,21.39,,,,,
67,2022-10-03T09:48:18Z,2.2,0.6,21.37,,,,,
68,2022-10-03T09:48:21Z,1.1,0.6,21.37,,,,,
69,2022-10-03T09:48:24Z,2.2,-3,21.37,,,,,
70,2022-10-03T09:48:27Z,2.2,-3,21.37,,,,,
71,2022-10-03T09:48:30Z,2.2,0.6,21.37,,,,,
72,2022-10-03T09:48:33Z,2.2,0.6,21.37,,,,,
73,2022-10-03T09:48:36Z,1.1,-3,21.37,,,,,
74,2022-10-03T09:48:39Z,2.2,-1.5,21.37,,,,,
75,2022-10-03T09:48:42Z,2.2,0.6,21.37,,,,,
76,2022-10-03T09:48:45Z,2.2,0.6,21.37,,,,,
77,2022-10-03T09:48:48Z,2.2,0.6,21.36,,,,,
78,2022-10-03T09:48:51Z,2.2,0.6,21.36,,,,,
79,2022-10-03T09:48:54Z,2.2,-3,21.36,,,,,
80,2022-10-03T09:48:57Z,2.2,0.6,21.36,,,,,
81,2022-10-03T09:49:00Z,7.1,0.6,21.36,,,,,
82,2022-10-03T09:49:03Z,2.2,0.6,21.36,,,,,
83,2022-10-03T09:49:06Z,1.1,0.6,21.36,,,,,
84,2022-10-03T09:49:09Z,2.2,0.6,21.35,,,,,
85,2022-10-03T09:49:12Z,2.2,0.6,21.35,,,,,
86,2022-10-03T09:49:15Z,2.2,0.6,21.35,,,,,
87,2022-10-03T09:49:18Z,1.1,0.6,21.35,,,,,
88,2022-10-03T09:49:21Z,2.2,0.6,21.35,,,,,
89,2022-10-03T09:49:24Z,2.2,0.6,21.35,,,,,
90,2022-10-03T09:49:27Z,2.2,0.6,21.35,,,,,
91,2022-10-03T09:49:30Z,2.2,0.6,21.35,,,,,
92,2022-10-03T09:49:33Z,2.2,0.6,21.35,,,,,
93,2022-10-03T09:49:36Z,2.2,0.6,21.35,,,,,
94,2022-10-03T09:49:39Z,2.2,0.6,21.35,,,,,
95,2022-10-03T09:49:42Z,2.2,0.6,21.35,,,,,
96,2022-10-03T09:49:45Z,1.1,0.6,21.35,,,,,
97,2022-10-03T09:49:48Z,2.2,0.6,21.34,,,,,
98,2022-10-03T09:49:51Z,2.2,0.6,21.35,,,,,
99,2022-10-03T09:49:54Z,1.1,-1.5,21.34,,,,,
100,2022-10-03T09:49:57Z,2.2,-3,21.34,,,,,
101,2022-10-03T09:50:00Z,7.1,0.6,21.34,,,,,
102,2022-10-03T09:50:03Z,1.2,0.6,21.34,,,,,
103,2022-10-03T09:50:06Z,2.2,0.6,21.34,,,,,
104,2022-10-03T09:50:09Z,2.2,0.6,21.34,,,,,
105,2022-10-03T09:50:12Z,2.2,0.6,21.34,,,,,
106,2022-10-03T09:50:15Z,2.2,-3,21.34,,,,,
107,2022-10-03T09:50:18Z,2.2,0.6,21.33,,,,,
108,2022-10-03T09:50:21Z,2.2,-3,21.34,,,,,
109,2022-10-03T09:50:24Z,2.2,0.6,21.33,,,,,
110,2022-10-03T09:50:27Z,2.2,0.6,21.33,,,,,
111,2022-10-03T09:50:30Z,2.2,0.6,21.33,,,,,
112,2022-10-03T09:50:33Z,2.2,0.6,21.33,,,,,
113,2022-10-03T09:50:36Z,2.2,-3,21.33,,,,,
114,2022-10-03T09:50:39Z,2.2,-3,21.33,,,,,
115,2022-10-03T09:50:42Z,5,-3,21.31,,,,,
116,2022-10-03T09:50:45Z,2.2,-1.5,21.31,,,,,
117,2022-10-03T09:50:48Z,2.2,0.6,21.31,,,,,
118,2022-10-03T09:50:51Z,2.2,0.6,21.31,,,,,
119,2022-10-03T09:50:54Z,2.2,0.6,21.31,,,,,
120,2022-10-03T09:50:57Z,2.2,-3,21.31,,,,,
121,2022-10-03T09:51:00Z,2.2,0.6,21.31,,,,,
122,2022-10-03T09:51:03Z,2.2,-3,21.3,,,,,
123,2022-10-03T09:51:06Z,2.2,0.6,21.31,,,,,
124,2022-10-03T09:51:09Z,2.2,-3,21.3,,,,,
125,2022-10-03T09:51:12Z,2.2,0.6,21.31,,,,,
126,2022-10-03T09:51:15Z,2.2,0.6,21.3,,,,,
127,2022-10-03T09:51:18Z,2.2,-3,21.3,,,,,
128,2022-10-03T09:51:21Z,2.2,0.6,21.3,,,,,
129,2022-10-03T09:51:24Z,2.2,-1.5,21.3,,,,,
130,2022-10-03T09:51:27Z,2.2,0.6,21.3,,,,,
131,2022-10-03T09:51:30Z,1.2,0.6,21.3,,,,,
132,2022-10-03T09:51:33Z,2.2,0.6,21.29,,,,,
133,2022-10-03T09:51:36Z,2.2,-3,21.3,,,,,
134,2022-10-03T09:51:39Z,2.2,0.6,21.29,,,,,
135,2022-10-03T09:51:42Z,7.1,0.6,21.29,,,,,
136,2022-10-03T09:51:45Z,1.2,0.6,21.29,,,,,
137,2022-10-03T09:51:48Z,2.2,-1.5,21.29,,,,,
138,2022-10-03T09:51:51Z,2.2,0.6,21.29,,,,,
139,2022-10-03T09:51:54Z,2.2,0.6,21.29,,,,,
