sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2022-10-03,12:55:00,NA,NA,0.012,NA,529,Reach length: 50m
2,2022-10-03,13:00:00,NA,NA,0.008,NA,530,"BOR HOBO: 20775520, HOR HOBO: 20775523"
3,2022-10-03,13:03:00,NA,NA,0.042,NA,531.4,"800 g NaCl, 400 g KNO3, 6L H2O"
4,2022-10-03,13:05:00,NA,NA,1.461,NA,581.6,"Injection start: 12:50:00 PST, injection end: 12:53:20 PST"
5,2022-10-03,13:06:00,NA,NA,3.223,NA,651,"BOR GPS: N 39.08804, W 119.93918; elevation: 5961 ft"
6,2022-10-03,13:07:00,NA,NA,6.295,NA,757,"HOR GPS: N 39.08835, W 119.93878; elevation: 5986 ft"
7,2022-10-03,13:08:00,NA,NA,NA,NA,870,NA 7 Too high NO3 to read 
8,2022-10-03,13:08:30,NA,NA,11.377,NA,928,
9,2022-10-03,13:09:30,NA,NA,12.799,NA,1051,
10,2022-10-03,13:10:30,NA,NA,13.682,NA,1125,
11,2022-10-03,13:11:30,NA,NA,15.369,NA,1150,
12,2022-10-03,13:12:40,NA,NA,16.383,NA,1138,
13,2022-10-03,13:14:00,NA,NA,16.07,NA,1085,
14,2022-10-03,13:16:00,NA,NA,15.409,NA,976,
15,2022-10-03,13:18:00,NA,NA,11.909,NA,865,
16,2022-10-03,13:20:00,NA,NA,6.365,NA,776,
17,2022-10-03,13:23:00,NA,NA,6.712,NA,677.5,
18,2022-10-03,13:27:00,NA,NA,4.076,NA,610,
19,2022-10-03,13:31:00,NA,NA,2.422,NA,575.4,
20,2022-10-03,13:45:00,NA,NA,1.295,NA,541.6,
21,2022-10-03,13:55:30,NA,NA,0.203,NA,536,
HOR_3,2022-10-03,12:50:00,NA,NA,0.011,NA,NA,
HOR_4,2022-10-03,13:21:30,NA,NA,0.007,NA,NA,
blank,2022-10-03,NA,NA,NA,0.003,NA,NA,
blank2,2022-10-03,NA,NA,NA,0.008,NA,NA,
