sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2022-12-12,11:46:30,0.0169,12.51,0.015,2.38480507,592.6,Reach length: 
2,2022-12-12,12:02:40,0.0243,NA,0.015,2.50611707,592.3,"BOR HOBO: , HOR HOBO: "
3,2022-12-12,12:04:00,0.1157,NA,0.013,NA,595.3,"500 g NaCl, 150 g NH4Cl, 6L H2O"
4,2022-12-12,12:05:30,0.951,NA,0.012,NA,622.6,"Injection start:  11:54:00 PST, injection end: 11:55:30 PST"
5,2022-12-12,12:06:30,1.9041,13.714,NA,NA,660.9,"BOR GPS: N , W ; elevation:  ft"
6,2022-12-12,12:07:30,2.736,NA,0.016,NA,697.9,"HOR GPS: N , W ; elevation:  ft"
7,2022-12-12,12:08:30,3.2431,NA,0.015,NA,715.5,
8,2022-12-12,12:09:20,3.3034,NA,0.012,NA,718,"Stream width measurements: 1.8, 2.2, 1.3, 1.2, 1.7, 2, 1.8, 2, 2"
9,2022-12-12,12:11:00,2.8314,NA,0.014,NA,702.4,
10,2022-12-12,12:12:30,2.1838,NA,0.014,NA,683.2,
11,2022-12-12,12:13:30,1.8228,NA,0.016,NA,674,
12,2022-12-12,12:15:30,1.1996,NA,0.013,NA,656.1,
13,2022-12-12,12:17:00,0.901,NA,0.012,NA,634.6,
14,2022-12-12,12:19:30,0.5822,NA,0.015,NA,615.5,
15,2022-12-12,12:22:00,0.3809,NA,0.015,NA,607.6,
16,2022-12-12,12:25:30,0.247,NA,0.014,NA,600.9,
17,2022-12-12,12:30:00,0.1637,NA,0.016,2.38432933,596.9,
18,2022-12-12,12:40:00,0.0851,NA,0.018,2.17500667,593.6,
HOR_1,2022-12-12,11:48:00,0.0415,15.857,0.013,2.2158008,NA,
HOR_2,2022-12-12,,0.0368,14.569,NA,NA,NA,
HOR_3,2022-12-12,,NA,NA,NA,NA,NA,
HOR_4,2022-12-12,,NA,NA,NA,NA,NA,
Blank,2022-12-12,,0.0089,1.911,0.003,NA,NA,
Blank_v2,2022-12-12,,,,,,,
