sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2022-12-12,13:29:00,NA,NA,0.002,2.38480507,588,Reach length: 
2,2022-12-12,13:33:00,NA,NA,0.002,2.50611707,588.7,"BOR HOBO: , HOR HOBO: "
3,2022-12-12,13:37:00,NA,NA,0.584,NA,594.2,"500 g NaCl, 150 g KNO3, 6L H2O"
4,2022-12-12,13:38:00,NA,NA,1.752,NA,607,"Injection start: 13:25:50 PST, injection end: 13:27:15 PST"
5,2022-12-12,13:39:00,NA,NA,1.144,NA,625.5,"BOR GPS: N , W ; elevation:  ft"
6,2022-12-12,13:39:45,NA,NA,1.768,NA,647,"HOR GPS: N , W ; elevation:  ft"
7,2022-12-12,13:41:00,NA,NA,1.971,NA,658.1,
8,2022-12-12,13:42:00,NA,NA,1.762,NA,668,"Stream width measurements: 1.8, 2.2, 1.3, 1.2, 1.7, 2, 1.8, 2, 2"
9,2022-12-12,13:43:00,NA,NA,1.544,NA,673.1,
10,2022-12-12,13:44:00,NA,NA,1.237,NA,676.1,
11,2022-12-12,13:45:00,NA,NA,1.041,NA,667.3,
12,2022-12-12,13:46:00,NA,NA,0.768,NA,653,
13,2022-12-12,13:48:00,NA,NA,0.441,NA,634,
14,2022-12-12,13:50:00,NA,NA,0.361,NA,619.5,
15,2022-12-12,13:53:00,NA,NA,0.184,NA,604.8,
16,2022-12-12,13:55:00,NA,NA,0.142,NA,601.7,
17,2022-12-12,13:57:30,NA,NA,0.115,NA,597.2,
18,2022-12-12,14:03:00,NA,NA,0.07,NA,593,
19,2022-12-12,14:13:00,NA,NA,0.036,2.38432933,588,
HOR_1,2022-12-12,13:35:00,NA,NA,0.001,2.17500667,NA,
HOR_2,2022-12-12,13:50:00,NA,NA,0.001,2.2158008,NA,
HOR_3,2022-12-12,NA,NA,NA,NA,NA,NA,
HOR_4,2022-12-12,NA,NA,NA,NA,NA,NA,
Blank,2022-12-12,NA,NA,NA,0.001,0.30915675,NA,
Blank_v2,2022-12-12,NA,NA,NA,0.004,NA,NA,
