Plot Title: 20775520,,,,,,,,,
#,"Date Time, GMT-08:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)",Coupler Detached (LGR S/N: 20775520),Coupler Attached (LGR S/N: 20775520),Host Connected (LGR S/N: 20775520),Stopped (LGR S/N: 20775520),End Of File (LGR S/N: 20775520)
1,2022-12-12T10:00:00Z,2.2,0.7,13.4,Logged,,,,
2,2022-12-12T10:00:03Z,5.1,0.7,13.4,,,,,
3,2022-12-12T10:00:06Z,2.2,0.7,13.39,,,,,
4,2022-12-12T10:00:09Z,2.2,0.7,13.39,,,,,
5,2022-12-12T10:00:12Z,2.2,0.7,13.38,,,,,
6,2022-12-12T10:00:15Z,2.2,0.7,13.38,,,,,
7,2022-12-12T10:00:18Z,2.2,0.7,13.37,,,,,
8,2022-12-12T10:00:21Z,2.2,0.7,13.35,,,,,
9,2022-12-12T10:00:24Z,2.2,0.7,13.35,,,,,
10,2022-12-12T10:00:27Z,2.2,0.7,13.35,,,,,
11,2022-12-12T10:00:30Z,2.2,0.7,13.34,,,,,
12,2022-12-12T10:00:33Z,7.1,0.7,13.33,,,,,
13,2022-12-12T10:00:36Z,2.2,-3,13.32,,,,,
14,2022-12-12T10:00:39Z,2.2,0.7,13.32,,,,,
15,2022-12-12T10:00:42Z,2.2,0.7,13.32,,,,,
16,2022-12-12T10:00:45Z,2.2,-3,13.31,,,,,
17,2022-12-12T10:00:48Z,7.1,0.7,13.31,,,,,
18,2022-12-12T10:00:51Z,2.2,-3,13.29,,,,,
19,2022-12-12T10:00:54Z,2.2,0.7,13.29,,,,,
20,2022-12-12T10:00:57Z,2.2,0.7,13.28,,,,,
21,2022-12-12T10:01:00Z,2.2,0.7,13.28,,,,,
22,2022-12-12T10:01:03Z,2.2,0.7,13.26,,,,,
23,2022-12-12T10:01:06Z,1.2,-3,13.26,,,,,
24,2022-12-12T10:01:09Z,2.2,0.7,13.26,,,,,
25,2022-12-12T10:01:12Z,1.2,-1.5,13.25,,,,,
26,2022-12-12T10:01:15Z,7.1,0.7,13.23,,,,,
27,2022-12-12T10:01:18Z,2.2,0.7,13.23,,,,,
28,2022-12-12T10:01:21Z,2.2,0.7,13.23,,,,,
29,2022-12-12T10:01:24Z,2.2,0.7,13.22,,,,,
30,2022-12-12T10:01:27Z,2.2,-3,13.21,,,,,
31,2022-12-12T10:01:30Z,2.2,0.7,13.21,,,,,
32,2022-12-12T10:01:33Z,1.2,-3,13.2,,,,,
33,2022-12-12T10:01:36Z,2.2,-3,13.2,,,,,
34,2022-12-12T10:01:39Z,1.2,0.7,13.18,,,,,
35,2022-12-12T10:01:42Z,2.2,0.7,13.17,,,,,
36,2022-12-12T10:01:45Z,2.2,-3,13.16,,,,,
37,2022-12-12T10:01:48Z,2.2,0.7,13.16,,,,,
38,2022-12-12T10:01:51Z,2.2,0.7,13.15,,,,,
39,2022-12-12T10:01:54Z,2.2,-3,13.15,,,,,
40,2022-12-12T10:01:57Z,2.2,0.7,13.14,,,,,
41,2022-12-12T10:02:00Z,2.2,-3,13.14,,,,,
42,2022-12-12T10:02:03Z,2.2,0.7,13.12,,,,,
43,2022-12-12T10:02:06Z,2.2,0.7,13.12,,,,,
44,2022-12-12T10:02:09Z,2.2,-1.5,13.11,,,,,
45,2022-12-12T10:02:12Z,2.2,0.7,13.11,,,,,
46,2022-12-12T10:02:15Z,2.2,0.7,13.1,,,,,
47,2022-12-12T10:02:18Z,2.2,0.7,13.09,,,,,
48,2022-12-12T10:02:21Z,2.2,-3,13.09,,,,,
49,2022-12-12T10:02:24Z,2.2,0.7,13.08,,,,,
50,2022-12-12T10:02:27Z,2.2,0.7,13.09,,,,,
51,2022-12-12T10:02:30Z,2.2,-3,13.08,,,,,
52,2022-12-12T10:02:33Z,1.1,0.7,13.05,,,,,
53,2022-12-12T10:02:36Z,2.2,0.7,13.05,,,,,
54,2022-12-12T10:02:39Z,2.2,0.7,13.05,,,,,
55,2022-12-12T10:02:42Z,2.2,-3,13.04,,,,,
56,2022-12-12T10:02:45Z,2.2,0.7,13.04,,,,,
57,2022-12-12T10:02:48Z,2.2,-3,13.03,,,,,
58,2022-12-12T10:02:51Z,2.2,0.7,13.01,,,,,
59,2022-12-12T10:02:54Z,2.2,-3,13.01,,,,,
60,2022-12-12T10:02:57Z,7.1,0.7,13.01,,,,,
61,2022-12-12T10:03:00Z,2.2,0.7,13,,,,,
62,2022-12-12T10:03:03Z,2.2,0.7,12.99,,,,,
63,2022-12-12T10:03:06Z,2.2,0.7,12.99,,,,,
64,2022-12-12T10:03:09Z,2.2,0.7,12.98,,,,,
65,2022-12-12T10:03:12Z,2.2,0.7,12.97,,,,,
66,2022-12-12T10:03:15Z,2.2,0.7,12.95,,,,,
67,2022-12-12T10:03:18Z,2.2,0.7,12.95,,,,,
68,2022-12-12T10:03:21Z,2.2,0.7,12.95,,,,,
69,2022-12-12T10:03:24Z,2.2,-1.5,12.93,,,,,
70,2022-12-12T10:03:27Z,1.2,-3,12.93,,,,,
71,2022-12-12T10:03:30Z,2.2,0.7,12.92,,,,,
72,2022-12-12T10:03:33Z,2.2,-3,12.92,,,,,
73,2022-12-12T10:03:36Z,2.2,0.7,12.91,,,,,
74,2022-12-12T10:03:39Z,2.2,0.7,12.91,,,,,
75,2022-12-12T10:03:42Z,2.2,-3,12.91,,,,,
76,2022-12-12T10:03:45Z,2.2,0.7,12.89,,,,,
77,2022-12-12T10:03:48Z,2.2,0.7,12.88,,,,,
78,2022-12-12T10:03:51Z,2.2,0.7,12.88,,,,,
79,2022-12-12T10:03:54Z,2.2,0.7,12.87,,,,,
80,2022-12-12T10:03:57Z,2.2,0.7,12.86,,,,,
81,2022-12-12T10:04:00Z,2.2,0.7,12.84,,,,,
82,2022-12-12T10:04:03Z,2.2,-3,12.84,,,,,
83,2022-12-12T10:04:06Z,2.2,0.7,12.86,,,,,
84,2022-12-12T10:04:09Z,2.2,0.7,12.83,,,,,
85,2022-12-12T10:04:12Z,2.2,-3,12.82,,,,,
86,2022-12-12T10:04:15Z,1.1,-3,12.81,,,,,
87,2022-12-12T10:04:18Z,2.2,-3,12.81,,,,,
88,2022-12-12T10:04:21Z,2.2,0.7,12.81,,,,,
89,2022-12-12T10:04:24Z,2.2,0.7,12.8,,,,,
90,2022-12-12T10:04:27Z,2.2,0.7,12.8,,,,,
91,2022-12-12T10:04:30Z,2.2,0.7,12.78,,,,,
92,2022-12-12T10:04:33Z,2.2,-3,12.77,,,,,
93,2022-12-12T10:04:36Z,2.2,0.7,12.77,,,,,
94,2022-12-12T10:04:39Z,2.2,0.7,12.76,,,,,
95,2022-12-12T10:04:42Z,2.2,-3,12.76,,,,,
96,2022-12-12T10:04:45Z,2.2,0.7,12.75,,,,,
97,2022-12-12T10:04:48Z,1.1,-1.5,12.75,,,,,
98,2022-12-12T10:04:51Z,2.2,-3,12.74,,,,,
99,2022-12-12T10:04:54Z,2.2,0.7,12.72,,,,,
100,2022-12-12T10:04:57Z,2.2,-3,12.72,,,,,
101,2022-12-12T10:05:00Z,2.2,-3,12.71,,,,,
102,2022-12-12T10:05:03Z,2.2,0.7,12.71,,,,,
103,2022-12-12T10:05:06Z,1.1,0.7,12.71,,,,,
104,2022-12-12T10:05:09Z,2.2,-3,12.71,,,,,
105,2022-12-12T10:05:12Z,2.2,-3,12.69,,,,,
106,2022-12-12T10:05:15Z,2.2,0.7,12.69,,,,,
107,2022-12-12T10:05:18Z,1.2,0.7,12.69,,,,,
108,2022-12-12T10:05:21Z,2.2,0.7,12.68,,,,,
109,2022-12-12T10:05:24Z,2.2,-3,12.66,,,,,
110,2022-12-12T10:05:27Z,2.2,0.7,12.68,,,,,
111,2022-12-12T10:05:30Z,2.2,0.7,12.66,,,,,
112,2022-12-12T10:05:33Z,2.2,0.7,12.65,,,,,
113,2022-12-12T10:05:36Z,2.2,-3,12.65,,,,,
114,2022-12-12T10:05:39Z,2.2,0.7,12.64,,,,,
115,2022-12-12T10:05:42Z,2.2,0.7,12.63,,,,,
116,2022-12-12T10:05:45Z,2.2,0.7,12.63,,,,,
117,2022-12-12T10:05:48Z,2.2,-3,12.61,,,,,
118,2022-12-12T10:05:51Z,2.2,0.7,12.61,,,,,
119,2022-12-12T10:05:54Z,2.2,0.7,12.6,,,,,
120,2022-12-12T10:05:57Z,2.2,0.7,12.59,,,,,
121,2022-12-12T10:06:00Z,2.2,0.7,12.59,,,,,
122,2022-12-12T10:06:03Z,2.2,0.7,12.59,,,,,
123,2022-12-12T10:06:06Z,2.2,0.7,12.58,,,,,
124,2022-12-12T10:06:09Z,2.2,0.7,12.57,,,,,
125,2022-12-12T10:06:12Z,1.2,0.7,12.57,,,,,
126,2022-12-12T10:06:15Z,2.2,0.7,12.55,,,,,
127,2022-12-12T10:06:18Z,2.2,-3,12.55,,,,,
128,2022-12-12T10:06:21Z,2.2,0.7,12.54,,,,,
129,2022-12-12T10:06:24Z,2.2,0.7,12.53,,,,,
