Plot Title: 20775520,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)",Coupler Detached (LGR S/N: 20775520),Coupler Attached (LGR S/N: 20775520),Host Connected (LGR S/N: 20775520),Stopped (LGR S/N: 20775520),End Of File (LGR S/N: 20775520)
1,2023-03-27T10:00:00Z,2.2,0.7,13.4,Logged,,,,
2,2023-03-27T10:00:03Z,1.1,0.7,13.4,,,,,
3,2023-03-27T10:00:06Z,2.2,-3,13.39,,,,,
4,2023-03-27T10:00:09Z,2.2,-3,13.39,,,,,
5,2023-03-27T10:00:12Z,2.2,0.7,13.38,,,,,
6,2023-03-27T10:00:15Z,1.2,-3,13.38,,,,,
7,2023-03-27T10:00:18Z,2.2,0.7,13.37,,,,,
8,2023-03-27T10:00:21Z,1.1,0.7,13.37,,,,,
9,2023-03-27T10:00:24Z,1.1,0.7,13.37,,,,,
10,2023-03-27T10:00:27Z,1.2,-3,13.35,,,,,
11,2023-03-27T10:00:30Z,1.1,0.7,13.35,,,,,
12,2023-03-27T10:00:33Z,2.2,-3,13.34,,,,,
13,2023-03-27T10:00:36Z,1.1,0.7,13.34,,,,,
14,2023-03-27T10:00:39Z,1.2,0.7,13.34,,,,,
15,2023-03-27T10:00:42Z,1.2,-3,13.32,,,,,
16,2023-03-27T10:00:45Z,1.2,0.7,13.32,,,,,
17,2023-03-27T10:00:48Z,1.2,-3,13.32,,,,,
18,2023-03-27T10:00:51Z,2.2,0.7,13.32,,,,,
19,2023-03-27T10:00:54Z,1.1,0.7,13.32,,,,,
20,2023-03-27T10:00:57Z,1.1,-3,13.29,,,,,
21,2023-03-27T10:01:00Z,2.2,0.7,13.31,,,,,
22,2023-03-27T10:01:03Z,2.2,0.7,13.29,,,,,
23,2023-03-27T10:01:06Z,1.2,0.7,13.29,,,,,
24,2023-03-27T10:01:09Z,2.2,-3,13.27,,,,,
25,2023-03-27T10:01:12Z,1.2,0.7,13.26,,,,,
26,2023-03-27T10:01:15Z,2.2,0.7,13.27,,,,,
27,2023-03-27T10:01:18Z,2.2,-3,13.26,,,,,
28,2023-03-27T10:01:21Z,2.2,0.7,13.26,,,,,
29,2023-03-27T10:01:24Z,1.1,-3,13.26,,,,,
30,2023-03-27T10:01:27Z,2.2,0.7,13.25,,,,,
31,2023-03-27T10:01:30Z,2.2,-3,13.23,,,,,
32,2023-03-27T10:01:33Z,2.2,-3,13.23,,,,,
33,2023-03-27T10:01:36Z,2.2,0.7,13.22,,,,,
34,2023-03-27T10:01:39Z,1.1,0.7,13.22,,,,,
35,2023-03-27T10:01:42Z,1.1,-3,13.22,,,,,
36,2023-03-27T10:01:45Z,1.2,-3,13.21,,,,,
37,2023-03-27T10:01:48Z,1.1,-1.5,13.21,,,,,
38,2023-03-27T10:01:51Z,2.2,-3,13.2,,,,,
39,2023-03-27T10:01:54Z,2.2,0.7,13.18,,,,,
40,2023-03-27T10:01:57Z,2.2,-3,13.18,,,,,
41,2023-03-27T10:02:00Z,1.2,0.7,13.18,,,,,
42,2023-03-27T10:02:03Z,2.2,0.7,13.17,,,,,
43,2023-03-27T10:02:06Z,2.2,-3,13.17,,,,,
44,2023-03-27T10:02:09Z,1.2,0.7,13.17,,,,,
45,2023-03-27T10:02:12Z,2.2,-3,13.16,,,,,
46,2023-03-27T10:02:15Z,1.2,-3,13.15,,,,,
47,2023-03-27T10:02:18Z,1.1,-3,13.15,,,,,
48,2023-03-27T10:02:21Z,2.2,0.7,13.15,,,,,
49,2023-03-27T10:02:24Z,2.2,-3,13.14,,,,,
50,2023-03-27T10:02:27Z,1.1,-3,13.15,,,,,
51,2023-03-27T10:02:30Z,1.2,-3,13.14,,,,,
52,2023-03-27T10:02:33Z,2.2,0.7,13.12,,,,,
53,2023-03-27T10:02:36Z,2.2,-3,13.12,,,,,
54,2023-03-27T10:02:39Z,2.2,0.7,13.12,,,,,
55,2023-03-27T10:02:42Z,1.2,0.7,13.11,,,,,
56,2023-03-27T10:02:45Z,2.2,0.7,13.1,,,,,
57,2023-03-27T10:02:48Z,2.2,-3,13.11,,,,,
58,2023-03-27T10:02:51Z,1.1,0.7,13.09,,,,,
59,2023-03-27T10:02:54Z,2.2,0.7,13.09,,,,,
60,2023-03-27T10:02:57Z,1.2,-3,13.09,,,,,
61,2023-03-27T10:03:00Z,2.2,-3,13.08,,,,,
62,2023-03-27T10:03:03Z,2.2,0.7,13.06,,,,,
63,2023-03-27T10:03:06Z,2.2,0.7,13.08,,,,,
64,2023-03-27T10:03:09Z,1.2,0.7,13.06,,,,,
65,2023-03-27T10:03:12Z,1.1,0.7,13.06,,,,,
66,2023-03-27T10:03:15Z,1.2,0.7,13.05,,,,,
67,2023-03-27T10:03:18Z,2.2,-3,13.05,,,,,
68,2023-03-27T10:03:21Z,2.2,0.7,13.04,,,,,
69,2023-03-27T10:03:24Z,2.2,0.7,13.04,,,,,
70,2023-03-27T10:03:27Z,2.2,-3,13.04,,,,,
71,2023-03-27T10:03:30Z,2.2,0.7,13.03,,,,,
72,2023-03-27T10:03:33Z,2.2,-3,13.03,,,,,
73,2023-03-27T10:03:36Z,2.2,0.7,13.01,,,,,
74,2023-03-27T10:03:39Z,2.2,0.7,13,,,,,
75,2023-03-27T10:03:42Z,1.2,0.7,13.01,,,,,
76,2023-03-27T10:03:45Z,2.2,-3,13,,,,,
77,2023-03-27T10:03:48Z,1.2,0.7,12.99,,,,,
78,2023-03-27T10:03:51Z,1.1,0.7,13,,,,,
79,2023-03-27T10:03:54Z,1.2,-3,12.99,,,,,
80,2023-03-27T10:03:57Z,2.2,0.7,12.98,,,,,
81,2023-03-27T10:04:00Z,2.2,0.7,12.98,,,,,
82,2023-03-27T10:04:03Z,2.2,-3,12.97,,,,,
83,2023-03-27T10:04:06Z,1.1,0.7,12.97,,,,,
84,2023-03-27T10:04:09Z,1.2,0.7,12.95,,,,,
85,2023-03-27T10:04:12Z,1.1,0.7,12.95,,,,,
86,2023-03-27T10:04:15Z,2.2,-3,12.95,,,,,
87,2023-03-27T10:04:18Z,1.1,0.7,12.94,,,,,
88,2023-03-27T10:04:21Z,1.1,-3,12.95,,,,,
89,2023-03-27T10:04:24Z,2.2,-3,12.94,,,,,
90,2023-03-27T10:04:27Z,2.2,0.7,12.93,,,,,
91,2023-03-27T10:04:30Z,1.2,0.7,12.92,,,,,
92,2023-03-27T10:04:33Z,2.2,0.7,12.93,,,,,
93,2023-03-27T10:04:36Z,1.2,0.7,12.92,,,,,
94,2023-03-27T10:04:39Z,2.2,0.7,12.92,,,,,
95,2023-03-27T10:04:42Z,2.2,0.7,12.91,,,,,
96,2023-03-27T10:04:45Z,2.2,0.7,12.91,,,,,
97,2023-03-27T10:04:48Z,2.2,-1.5,12.91,,,,,
98,2023-03-27T10:04:51Z,2.2,0.7,12.91,,,,,
99,2023-03-27T10:04:54Z,2.2,0.7,12.89,,,,,
100,2023-03-27T10:04:57Z,2.2,0.7,12.88,,,,,
101,2023-03-27T10:05:00Z,1.2,0.7,12.88,,,,,
102,2023-03-27T10:05:03Z,2.2,-3,12.88,,,,,
103,2023-03-27T10:05:06Z,2.2,0.7,12.87,,,,,
104,2023-03-27T10:05:09Z,2.2,-3,12.87,,,,,
105,2023-03-27T10:05:12Z,1.1,0.7,12.86,,,,,
106,2023-03-27T10:05:15Z,1.2,0.7,12.86,,,,,
107,2023-03-27T10:05:18Z,1.2,0.7,12.84,,,,,
108,2023-03-27T10:05:21Z,2.2,-3,12.83,,,,,
109,2023-03-27T10:05:24Z,2.2,0.7,12.84,,,,,
110,2023-03-27T10:05:27Z,2.2,0.7,12.83,,,,,
111,2023-03-27T10:05:30Z,1.2,0.7,12.83,,,,,
112,2023-03-27T10:05:33Z,2.2,0.7,12.83,,,,,
113,2023-03-27T10:05:36Z,2.2,0.7,12.83,,,,,
114,2023-03-27T10:05:39Z,1.1,-3,12.82,,,,,
115,2023-03-27T10:05:42Z,1.1,0.7,12.81,,,,,
116,2023-03-27T10:05:45Z,1.2,0.7,12.82,,,,,
117,2023-03-27T10:05:48Z,2.2,0.7,12.81,,,,,
118,2023-03-27T10:05:51Z,2.2,0.7,12.8,,,,,
119,2023-03-27T10:05:54Z,1.2,0.7,12.8,,,,,
120,2023-03-27T10:05:57Z,1.1,-3,12.8,,,,,
121,2023-03-27T10:06:00Z,1.1,-3,12.78,,,,,
122,2023-03-27T10:06:03Z,2.2,0.7,12.78,,,,,
123,2023-03-27T10:06:06Z,2.2,0.7,12.77,,,,,
124,2023-03-27T10:06:09Z,2.2,0.7,12.77,,,,,
125,2023-03-27T10:06:12Z,2.2,-3,12.78,,,,,
126,2023-03-27T10:06:15Z,2.2,-3,12.77,,,,,
127,2023-03-27T10:06:18Z,1.1,-3,12.76,,,,,
128,2023-03-27T10:06:21Z,2.2,-3,12.76,,,,,
129,2023-03-27T10:06:24Z,2.2,-3,12.75,,,,,
130,2023-03-27T10:06:27Z,1.2,0.7,12.75,,,,,
131,2023-03-27T10:06:30Z,2.2,0.7,12.74,,,,,
132,2023-03-27T10:06:33Z,2.2,0.7,12.75,,,,,
133,2023-03-27T10:06:36Z,2.2,0.7,12.74,,,,,
134,2023-03-27T10:06:39Z,1.2,0.7,12.72,,,,,
135,2023-03-27T10:06:42Z,1.1,0.7,12.72,,,,,
