sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes,
1,2023-03-27,12:14:00,-0.0005,6.222,0.028,,583.8,Reach length: 50m,
2,2023-03-27,12:16:30,0,,,,516.4,"BOR HOBO: , HOR HOBO: 20775523",
3,2023-03-27,12:18:00,0.0004,,,,516,"345 g NaCl, 110 g NH4, 6L H2O",
4,2023-03-27,12:19:00,0.002,,,,516,"Injection start: 12:15:10 PST, injection end: 12:16:30 PST",
5,2023-03-27,12:20:45,0.4743,,,,521,"BOR GPS: N , W ; elevation:  ft",
6,2023-03-27,12:21:00,0.9174,,,,530,"HOR GPS: N , W ; elevation:  ft",
7,2023-03-27,12:21:30,1.7724,,,,540,"width notes: 2.8, 3.6, 3.6, 4.5, 2.9, 4.3, 1.9, 2.3, 2.1, 1.5, 1.7, 2.1, 2.0, 1.8, 2.4",
8,2023-03-27,12:22:00,2.3527,,,,554,,
9,2023-03-27,12:22:30,2.4711,,,,568,,
10,2023-03-27,12:23:00,1.951,,,,572,YSI,
11,2023-03-27,12:23:30,1.4498,,,,568,Time,11:55
12,2023-03-27,12:24:00,1.1256,,,,562,Temp,1.3
13,2023-03-27,12:25:00,0.517,,,,545,DO,10.45
14,2023-03-27,12:26:00,0.2516,,,,534,SPC,586
15,2023-03-27,12:28:00,0.0753,,,,522,Baro,607.9
16,2023-03-27,12:30:00,0.0257,,,,518.2,pH,8.02
17,2023-03-27,12:35:00,0.0119,,,,515.9,,
18,2023-03-27,12:40:00,0.0043,6.175,0.027,,515.3,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HOR_1,,12:10:00,0.0018,10.279,0.02,,,,
HOR_2,,12:32:00,0.0012,9.301,0.019,,,,
,,,,,,,,,
,,,,,,,,,
Blank,,,-0.0007,0.27,0.012,,,,
Blank_v2,,,-0.0019,-0.767,0.006,,,,
