sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes,
1,2023-03-27,13:30:00,0.0012,10.336,0.028,,508.9,Reach length: 50m,
2,2023-03-27,13:35:00,,,0.029,,508.7,"BOR HOBO: , HOR HOBO: 20775523",
3,2023-03-27,13:38:00,,,0.027,,508.7,"365 g NaCl, 105 g KNO3, 6L H2O",
4,2023-03-27,13:39:00,,,0.029,,508.8,"Injection start: 13:55:00 PST, injection end: 13:36:00 PST",
5,2023-03-27,13:40:00,,,0.123,,509.3,"BOR GPS: N , W ; elevation:  ft",
6,2023-03-27,13:40:30,,,0.51,,518,"HOR GPS: N , W ; elevation:  ft",
7,2023-03-27,13:41:00,,,1.02,,537,"width notes: 2.8, 3.6, 3.6, 4.5, 2.9, 4.3, 1.9, 2.3, 2.1, 1.5, 1.7, 2.1, 2.0, 1.8, 2.4",
8,2023-03-27,13:41:30,,,1.262,,552,,
9,2023-03-27,13:42:00,,,1.182,,563.7,,
10,2023-03-27,13:42:30,,,1.099,,564,YSI,
11,2023-03-27,13:43:00,,,0.875,,558,Time,14:00
12,2023-03-27,13:44:00,,,0.455,,540.7,Temp,2.4
14,2023-03-27,13:45:00,,,0.237,,527.2,DO,9.78
15,2023-03-27,13:46:00,,,0.13,,518,SPC,606.5
16,2023-03-27,13:48:00,,,0.057,,511.5,Baro,508.6
17,2023-03-27,13:50:00,,,0.039,,509.9,pH,7.87
18,2023-03-27,13:55:00,,,0.031,,509,,
19,2023-03-27,14:00:00,0.001,6.71,0.029,,508.7,Higher stream flow than NH3,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HOR_1,,13:30:00,0.0029,9.492,0.021,,,,
HOR_2,,13:52:00,0.0096,6.462,0.025,,,,
,,,,,,,,,
,,,,,,,,,
Blank,,,0.0035,-0.03,0.008,,,,
Blank_v2,,,0.0577,-0.889,0.007,,,,
