Plot Title: 20775523,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Full Range, μS/cm (LGR S/N: 20775523, SEN S/N: 20775523)","Temp, °C (LGR S/N: 20775523, SEN S/N: 20775523)",Coupler Detached (LGR S/N: 20775523),Coupler Attached (LGR S/N: 20775523),Host Connected (LGR S/N: 20775523),Stopped (LGR S/N: 20775523),End Of File (LGR S/N: 20775523)
1,2023-06-15T09:45:00Z,1.1,0.8,22.59,Logged,,,,
2,2023-06-15T09:45:03Z,2.4,0.8,22.59,,,,,
3,2023-06-15T09:45:06Z,2.4,0.8,22.58,,,,,
4,2023-06-15T09:45:09Z,2.4,0.8,22.59,,,,,
5,2023-06-15T09:45:12Z,1.1,1.2,22.58,,,,,
6,2023-06-15T09:45:15Z,1.1,0.8,22.58,,,,,
7,2023-06-15T09:45:18Z,2.4,0.8,22.59,,,,,
8,2023-06-15T09:45:21Z,1.1,-1.7,22.59,,,,,
9,2023-06-15T09:45:24Z,1.1,0.8,22.58,,,,,
10,2023-06-15T09:45:27Z,1.3,0.8,22.58,,,,,
11,2023-06-15T09:45:30Z,1.3,-1.7,22.58,,,,,
12,2023-06-15T09:45:33Z,2.4,-1.7,22.58,,,,,
13,2023-06-15T09:45:36Z,1.1,0.8,22.58,,,,,
14,2023-06-15T09:45:39Z,2.4,0.8,22.58,,,,,
15,2023-06-15T09:45:42Z,1.1,-1.7,22.58,,,,,
16,2023-06-15T09:45:45Z,1.1,-1.7,22.58,,,,,
17,2023-06-15T09:45:48Z,2.3,0.8,22.58,,,,,
18,2023-06-15T09:45:51Z,1.1,0.8,22.58,,,,,
19,2023-06-15T09:45:54Z,2.3,-1.7,22.58,,,,,
20,2023-06-15T09:45:57Z,2.4,-1.7,22.57,,,,,
21,2023-06-15T09:46:00Z,1.1,-1.7,22.58,,,,,
22,2023-06-15T09:46:03Z,1.1,0.8,22.58,,,,,
23,2023-06-15T09:46:06Z,1.1,13.3,22.58,,,,,
24,2023-06-15T09:46:09Z,1.1,0.8,22.57,,,,,
25,2023-06-15T09:46:12Z,1.1,-1.7,22.58,,,,,
26,2023-06-15T09:46:15Z,1.1,0.8,22.57,,,,,
27,2023-06-15T09:46:18Z,2.4,0.8,22.57,,,,,
28,2023-06-15T09:46:21Z,2.4,0.8,22.57,,,,,
29,2023-06-15T09:46:24Z,1.1,-1.7,22.57,,,,,
30,2023-06-15T09:46:27Z,2.4,-1.7,22.57,,,,,
31,2023-06-15T09:46:30Z,2.4,-1.7,22.57,,,,,
32,2023-06-15T09:46:33Z,2.4,0.8,22.57,,,,,
33,2023-06-15T09:46:36Z,1.1,0.8,22.57,,,,,
34,2023-06-15T09:46:39Z,2.4,0.8,22.57,,,,,
35,2023-06-15T09:46:42Z,1.1,-1.7,22.57,,,,,
36,2023-06-15T09:46:45Z,2.4,0.8,22.57,,,,,
37,2023-06-15T09:46:48Z,2.4,0.8,22.57,,,,,
38,2023-06-15T09:46:51Z,2.4,-1.7,22.56,,,,,
39,2023-06-15T09:46:54Z,2.4,0.8,22.57,,,,,
40,2023-06-15T09:46:57Z,2.4,-1.7,22.56,,,,,
41,2023-06-15T09:47:00Z,1.1,-1.7,22.56,,,,,
42,2023-06-15T09:47:03Z,2.4,-1.7,22.56,,,,,
43,2023-06-15T09:47:06Z,2.4,0.8,22.56,,,,,
44,2023-06-15T09:47:09Z,1.1,0.8,22.56,,,,,
45,2023-06-15T09:47:12Z,2.4,-1.7,22.56,,,,,
46,2023-06-15T09:47:15Z,2.3,-1.7,22.56,,,,,
47,2023-06-15T09:47:18Z,1.3,0.8,22.56,,,,,
48,2023-06-15T09:47:21Z,2.4,0.8,22.56,,,,,
49,2023-06-15T09:47:24Z,1.1,0.8,22.56,,,,,
50,2023-06-15T09:47:27Z,1.1,0.8,22.56,,,,,
51,2023-06-15T09:47:30Z,2.4,-1.7,22.56,,,,,
52,2023-06-15T09:47:33Z,1.1,-1.7,22.54,,,,,
53,2023-06-15T09:47:36Z,2.3,0.8,22.56,,,,,
54,2023-06-15T09:47:39Z,2.4,0.8,22.54,,,,,
55,2023-06-15T09:47:42Z,1.1,0.8,22.56,,,,,
56,2023-06-15T09:47:45Z,1.1,0.8,22.54,,,,,
57,2023-06-15T09:47:48Z,1.1,0.8,22.54,,,,,
58,2023-06-15T09:47:51Z,1.1,1.2,22.54,,,,,
59,2023-06-15T09:47:54Z,2.4,0.8,22.54,,,,,
60,2023-06-15T09:47:57Z,1.1,-1.7,22.54,,,,,
61,2023-06-15T09:48:00Z,1.1,-1.7,22.54,,,,,
62,2023-06-15T09:48:03Z,1.1,0.8,22.54,,,,,
63,2023-06-15T09:48:06Z,2.4,0.8,22.53,,,,,
64,2023-06-15T09:48:09Z,1.3,0.8,22.54,,,,,
65,2023-06-15T09:48:12Z,2.4,-1.7,22.53,,,,,
66,2023-06-15T09:48:15Z,1.1,-1.7,22.53,,,,,
67,2023-06-15T09:48:18Z,1.1,-1.7,22.53,,,,,
68,2023-06-15T09:48:21Z,1.1,0.8,22.53,,,,,
69,2023-06-15T09:48:24Z,2.4,-1.7,22.53,,,,,
70,2023-06-15T09:48:27Z,1.1,-1.7,22.53,,,,,
71,2023-06-15T09:48:30Z,2.4,0.8,22.53,,,,,
72,2023-06-15T09:48:33Z,1.3,0.8,22.53,,,,,
73,2023-06-15T09:48:36Z,2.4,-1.7,22.53,,,,,
74,2023-06-15T09:48:39Z,2.4,0.8,22.53,,,,,
75,2023-06-15T09:48:42Z,2.4,0.8,22.52,,,,,
76,2023-06-15T09:48:45Z,1.1,-1.7,22.53,,,,,
77,2023-06-15T09:48:48Z,1.1,0.8,22.53,,,,,
78,2023-06-15T09:48:51Z,1.1,0.8,22.52,,,,,
79,2023-06-15T09:48:54Z,1.1,-1.7,22.52,,,,,
80,2023-06-15T09:48:57Z,2.4,0.8,22.52,,,,,
81,2023-06-15T09:49:00Z,1.3,-1.7,22.53,,,,,
82,2023-06-15T09:49:03Z,1.3,-1.7,22.52,,,,,
83,2023-06-15T09:49:06Z,1.1,-1.7,22.52,,,,,
84,2023-06-15T09:49:09Z,1.1,-1.7,22.52,,,,,
85,2023-06-15T09:49:12Z,2.4,0.8,22.52,,,,,
