sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,20230615,11:24:00,0.0039,20.462,0.019,,209.5,Reach length: 75m
2,20230615,11:24:30,0.4172,,,,213.1,"BOR HOBO: , HOR HOBO: "
3,20230615,11:25:00,0.9042,,,,247,"700 g NaCl, 200 g NH4, 8L H2O"
4,20230615,11:25:13,1.7172,,,,287,"Injection start: 11:22:20 PST, injection end: 11:23:16 PST"
5,20230615,11:25:40,2.2275,,,,307,"BOR GPS: N , W ; elevation:  ft"
6,20230615,11:25:50,2.2037,,,,302,"HOR GPS: N , W ; elevation:  ft"
7,20230615,11:26:20,1.4281,,,,282,width notes: 
8,20230615,11:26:30,0.8238,,,,251,
9,20230615,11:27:00,0.3046,,,,225,
10,20230615,11:27:30,0.1295,,,,217,
11,20230615,11:28:00,0.0619,,,,212,
12,20230615,11:29:00,0.0161,,,,210,
13,20230615,11:34:15,0.0047,,,,209.6,
14,20230615,11:40:00,0.0016,,,,209.4,
15,20230615,11:46:00,0.002,20.781,0.015,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
HOR_1,11:05,,0.0101,20.827,0.03,,,
HOR_2,,,,,,,,
HOR_3,,,,,,,,
HOR_4,,,,,,,,
Blank,,,-0.0012,,,,,
Blank_v2,,,-0.0046,,,,,
