sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,20230615,12:15:00,-0.0068,14.204,0.012,,208.9,Reach length: 75m
2,20230615,12:16:00,,,0.011,,209.5,"BOR HOBO: , HOR HOBO: "
3,20230615,12:16:45,,,0.012,,209.5,"700 g NaCl, 125 g NO3, 8L H2O"
4,20230615,17:15:00,,,0.224,,216,"Injection start:  PST, injection end:  PST"
5,20230615,12:17:45,,,0.526,,248,"BOR GPS: N , W ; elevation:  ft"
6,20230615,12:18:00,,,0.749,,276,"HOR GPS: N , W ; elevation:  ft"
7,20230615,12:18:15,,,0.93,,286,width notes: 
8,20230615,12:18:30,,,0.78,,285,
9,20230615,12:19:00,,,0.433,,260,
10,20230615,12:19:30,,,0.19,,230.5,
11,20230615,12:20:00,,,0.071,,216,
12,20230615,12:20:30,,,0.035,,212.9,
13,20230615,12:21:30,,,0.016,,210,
14,20230615,12:24:00,,,0.011,,209.5,
15,20230615,12:29:00,-0.0045,14.917,0.011,,209.8,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
HOR_1,12:25,,-0.0074,12.443,0.011,,,
HOR_2,,,,,,,,
HOR_3,,,,,,,,
HOR_4,,,,,,,,
Blank,,,,,0.009,,,
Blank_v2,,,,,0.004,,,
