"Plot Title: 20775520"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)","Coupler Detached (LGR S/N: 20775520)","Coupler Attached (LGR S/N: 20775520)","Host Connected (LGR S/N: 20775520)","Stopped (LGR S/N: 20775520)","End Of File (LGR S/N: 20775520)"
1,06/23/22 10:00:00 AM,2.2,0.6,23.11,Logged,,,,
2,06/23/22 10:00:03 AM,2.2,0.6,23.11,,,,,
3,06/23/22 10:00:06 AM,1.2,0.6,23.10,,,,,
4,06/23/22 10:00:09 AM,2.2,0.6,23.12,,,,,
5,06/23/22 10:00:12 AM,2.2,0.6,23.12,,,,,
6,06/23/22 10:00:15 AM,2.2,-3.0,23.11,,,,,
7,06/23/22 10:00:18 AM,2.2,0.6,23.10,,,,,
8,06/23/22 10:00:21 AM,2.2,0.6,23.07,,,,,
9,06/23/22 10:00:24 AM,2.2,-3.0,23.06,,,,,
10,06/23/22 10:00:27 AM,2.2,-1.5,23.06,,,,,
11,06/23/22 10:00:30 AM,2.2,0.6,23.05,,,,,
12,06/23/22 10:00:33 AM,2.2,0.6,23.04,,,,,
13,06/23/22 10:00:36 AM,2.2,-3.0,23.04,,,,,
14,06/23/22 10:00:39 AM,2.2,0.6,23.02,,,,,
15,06/23/22 10:00:42 AM,2.2,0.6,23.01,,,,,
16,06/23/22 10:00:45 AM,2.2,0.6,23.02,,,,,
17,06/23/22 10:00:48 AM,2.2,-3.0,23.01,,,,,
18,06/23/22 10:00:51 AM,2.2,0.6,23.01,,,,,
19,06/23/22 10:00:54 AM,1.2,0.6,23.00,,,,,
20,06/23/22 10:00:57 AM,2.2,-1.5,22.99,,,,,
21,06/23/22 10:01:00 AM,2.2,0.6,22.99,,,,,
22,06/23/22 10:01:03 AM,2.2,0.6,22.97,,,,,
23,06/23/22 10:01:06 AM,2.2,0.6,22.99,,,,,
24,06/23/22 10:01:09 AM,2.2,0.6,22.96,,,,,
25,06/23/22 10:01:12 AM,2.2,0.6,22.97,,,,,
26,06/23/22 10:01:15 AM,2.2,0.6,22.99,,,,,
27,06/23/22 10:01:18 AM,1.2,-3.0,22.97,,,,,
28,06/23/22 10:01:21 AM,2.2,0.6,22.99,,,,,
29,06/23/22 10:01:24 AM,2.2,0.6,22.96,,,,,
30,06/23/22 10:01:27 AM,2.2,-3.0,22.96,,,,,
31,06/23/22 10:01:30 AM,2.2,0.6,22.96,,,,,
32,06/23/22 10:01:33 AM,2.2,0.6,22.97,,,,,
33,06/23/22 10:01:36 AM,2.2,-3.0,22.99,,,,,
34,06/23/22 10:01:39 AM,2.2,0.6,22.96,,,,,
35,06/23/22 10:01:42 AM,2.2,-1.5,22.95,,,,,
36,06/23/22 10:01:45 AM,2.2,-1.5,22.94,,,,,
37,06/23/22 10:01:48 AM,2.2,0.6,22.93,,,,,
38,06/23/22 10:01:51 AM,2.2,0.6,22.91,,,,,
39,06/23/22 10:01:54 AM,2.2,0.6,22.91,,,,,
40,06/23/22 10:01:57 AM,2.2,0.6,22.91,,,,,
41,06/23/22 10:02:00 AM,2.2,0.6,22.90,,,,,
42,06/23/22 10:02:03 AM,2.2,0.6,22.89,,,,,
43,06/23/22 10:02:06 AM,2.2,0.6,22.87,,,,,
44,06/23/22 10:02:09 AM,2.2,-3.0,22.88,,,,,
45,06/23/22 10:02:12 AM,1.2,-3.0,22.88,,,,,
46,06/23/22 10:02:15 AM,2.2,0.6,22.87,,,,,
47,06/23/22 10:02:18 AM,2.2,0.6,22.85,,,,,
48,06/23/22 10:02:21 AM,2.2,0.6,22.84,,,,,
49,06/23/22 10:02:24 AM,2.2,-3.0,22.83,,,,,
50,06/23/22 10:02:27 AM,2.2,0.6,22.83,,,,,
51,06/23/22 10:02:30 AM,2.2,0.6,22.82,,,,,
52,06/23/22 10:02:33 AM,2.2,0.6,22.81,,,,,
53,06/23/22 10:02:36 AM,2.2,0.6,22.79,,,,,
54,06/23/22 10:02:39 AM,2.2,0.6,22.78,,,,,
55,06/23/22 10:02:42 AM,2.2,0.6,22.77,,,,,
56,06/23/22 10:02:45 AM,2.2,0.6,22.77,,,,,
57,06/23/22 10:02:48 AM,1.0,0.6,22.78,,,,,
58,06/23/22 10:02:51 AM,2.2,0.6,22.79,,,,,
59,06/23/22 10:02:54 AM,2.2,-3.0,22.77,,,,,
60,06/23/22 10:02:57 AM,2.2,0.6,22.79,,,,,
61,06/23/22 10:03:00 AM,1.2,0.6,22.77,,,,,
62,06/23/22 10:03:03 AM,2.2,0.6,22.78,,,,,
63,06/23/22 10:03:06 AM,1.2,-3.0,22.78,,,,,
64,06/23/22 10:03:09 AM,2.2,0.6,22.76,,,,,
65,06/23/22 10:03:12 AM,2.2,0.6,22.76,,,,,
66,06/23/22 10:03:15 AM,2.2,-3.0,22.76,,,,,
67,06/23/22 10:03:18 AM,1.0,-3.0,22.73,,,,,
68,06/23/22 10:03:21 AM,2.2,-3.0,22.71,,,,,
69,06/23/22 10:03:24 AM,2.2,0.6,22.68,,,,,
70,06/23/22 10:03:27 AM,2.2,0.6,22.70,,,,,
71,06/23/22 10:03:30 AM,2.2,0.6,22.71,,,,,
72,06/23/22 10:03:33 AM,2.2,0.6,22.68,,,,,
73,06/23/22 10:03:36 AM,2.2,-1.5,22.70,,,,,
74,06/23/22 10:03:39 AM,2.2,0.6,22.68,,,,,
75,06/23/22 10:03:42 AM,2.2,-1.5,22.67,,,,,
76,06/23/22 10:03:45 AM,2.2,-3.0,22.65,,,,,
77,06/23/22 10:03:48 AM,1.0,0.6,22.64,,,,,
78,06/23/22 10:03:51 AM,2.2,-1.5,22.64,,,,,
79,06/23/22 10:03:54 AM,2.2,-3.0,22.61,,,,,
80,06/23/22 10:03:57 AM,2.2,-3.0,22.59,,,,,
81,06/23/22 10:04:00 AM,2.2,0.6,22.59,,,,,
82,06/23/22 10:04:03 AM,2.2,0.6,22.59,,,,,
83,06/23/22 10:04:06 AM,2.2,0.6,22.59,,,,,
84,06/23/22 10:04:09 AM,2.2,-3.0,22.56,,,,,
85,06/23/22 10:04:12 AM,2.2,0.6,22.56,,,,,
86,06/23/22 10:04:15 AM,2.2,-3.0,22.55,,,,,
87,06/23/22 10:04:18 AM,2.2,0.6,22.55,,,,,
88,06/23/22 10:04:21 AM,2.2,-1.5,22.54,,,,,
89,06/23/22 10:04:24 AM,1.2,-3.0,22.53,,,,,
90,06/23/22 10:04:27 AM,2.2,0.6,22.51,,,,,
91,06/23/22 10:04:30 AM,2.2,0.6,22.51,,,,,
92,06/23/22 10:04:33 AM,2.2,0.6,22.50,,,,,
93,06/23/22 10:04:36 AM,2.2,0.6,22.49,,,,,
94,06/23/22 10:04:39 AM,1.0,-3.0,22.49,,,,,
95,06/23/22 10:04:42 AM,2.2,-3.0,22.51,,,,,
96,06/23/22 10:04:45 AM,2.2,0.6,22.53,,,,,
97,06/23/22 10:04:48 AM,2.2,0.6,22.54,,,,,
98,06/23/22 10:04:51 AM,1.2,0.6,22.53,,,,,
99,06/23/22 10:04:54 AM,2.2,-1.5,22.50,,,,,
100,06/23/22 10:04:57 AM,2.2,-3.0,22.50,,,,,
101,06/23/22 10:05:00 AM,5.0,-1.5,22.50,,,,,
102,06/23/22 10:05:03 AM,1.2,-1.5,22.47,,,,,
103,06/23/22 10:05:06 AM,1.0,-1.5,22.49,,,,,
104,06/23/22 10:05:09 AM,2.2,0.6,22.50,,,,,
105,06/23/22 10:05:12 AM,2.2,0.6,22.50,,,,,
106,06/23/22 10:05:15 AM,2.2,0.6,22.48,,,,,
107,06/23/22 10:05:18 AM,7.0,0.6,22.45,,,,,
108,06/23/22 10:05:21 AM,2.2,0.6,22.44,,,,,
109,06/23/22 10:05:24 AM,2.2,0.6,22.43,,,,,
110,06/23/22 10:05:27 AM,2.2,0.6,22.44,,,,,
111,06/23/22 10:05:30 AM,2.2,0.6,22.43,,,,,
112,06/23/22 10:05:33 AM,2.2,0.6,22.43,,,,,
113,06/23/22 10:05:36 AM,1.2,0.6,22.44,,,,,
114,06/23/22 10:05:39 AM,2.2,-3.0,22.45,,,,,
115,06/23/22 10:05:42 AM,2.2,0.6,22.44,,,,,
116,06/23/22 10:05:45 AM,2.2,-3.0,22.42,,,,,
117,06/23/22 10:05:48 AM,2.2,-3.0,22.43,,,,,
118,06/23/22 10:05:51 AM,2.2,0.6,22.42,,,,,
119,06/23/22 10:05:54 AM,1.0,0.6,22.40,,,,,
120,06/23/22 10:05:57 AM,2.2,0.6,22.40,,,,,
121,06/23/22 10:06:00 AM,2.2,-3.0,22.40,,,,,
122,06/23/22 10:06:03 AM,2.2,0.6,22.42,,,,,
123,06/23/22 10:06:06 AM,2.2,0.6,22.42,,,,,
124,06/23/22 10:06:09 AM,2.2,0.6,22.42,,,,,
125,06/23/22 10:06:12 AM,1.0,0.6,22.38,,,,,
126,06/23/22 10:06:15 AM,2.2,-3.0,22.37,,,,,
127,06/23/22 10:06:18 AM,2.2,-3.0,22.36,,,,,
128,06/23/22 10:06:21 AM,2.2,0.6,22.34,,,,,
129,06/23/22 10:06:24 AM,2.2,-1.5,22.36,,,,,
130,06/23/22 10:06:27 AM,2.2,0.6,22.36,,,,,
131,06/23/22 10:06:30 AM,2.2,-3.0,22.34,,,,,
132,06/23/22 10:06:33 AM,1.2,0.6,22.36,,,,,
133,06/23/22 10:06:36 AM,2.2,-3.0,22.34,,,,,
134,06/23/22 10:06:39 AM,2.2,0.6,22.34,,,,,
135,06/23/22 10:06:42 AM,2.2,0.6,22.32,,,,,
136,06/23/22 10:06:45 AM,2.2,0.6,22.31,,,,,
137,06/23/22 10:06:48 AM,2.2,0.6,22.30,,,,,
138,06/23/22 10:06:51 AM,7.0,0.6,22.30,,,,,
139,06/23/22 10:06:54 AM,2.2,-3.0,22.28,,,,,
140,06/23/22 10:06:57 AM,2.2,0.6,22.27,,,,,
141,06/23/22 10:07:00 AM,2.2,0.6,22.26,,,,,
142,06/23/22 10:07:03 AM,2.2,0.6,22.25,,,,,
143,06/23/22 10:07:06 AM,1.0,0.6,22.23,,,,,
144,06/23/22 10:07:09 AM,2.2,0.6,22.21,,,,,
145,06/23/22 10:07:12 AM,1.2,-1.5,22.21,,,,,
146,06/23/22 10:07:15 AM,1.2,0.6,22.20,,,,,
147,06/23/22 10:07:18 AM,2.2,0.6,22.20,,,,,
148,06/23/22 10:07:21 AM,7.0,0.6,22.20,,,,,
149,06/23/22 10:07:24 AM,2.2,0.6,22.19,,,,,
150,06/23/22 10:07:27 AM,2.2,-1.5,22.19,,,,,
151,06/23/22 10:07:30 AM,2.2,-1.5,22.17,,,,,
152,06/23/22 10:07:33 AM,2.2,-3.0,22.19,,,,,
153,06/23/22 10:07:36 AM,1.0,0.6,22.17,,,,,
154,06/23/22 10:07:39 AM,2.2,0.6,22.17,,,,,
155,06/23/22 10:07:42 AM,2.2,0.6,22.17,,,,,
156,06/23/22 10:07:45 AM,2.2,0.6,22.16,,,,,
157,06/23/22 10:07:48 AM,2.2,0.6,22.17,,,,,
158,06/23/22 10:07:51 AM,2.2,0.6,22.15,,,,,
159,06/23/22 10:07:54 AM,2.2,0.6,22.15,,,,,
160,06/23/22 10:07:57 AM,5.0,0.6,22.15,,,,,
161,06/23/22 10:08:00 AM,2.2,0.6,22.15,,,,,
162,06/23/22 10:08:03 AM,2.2,0.6,22.14,,,,,
163,06/23/22 10:08:06 AM,1.0,-3.0,22.11,,,,,
164,06/23/22 10:08:09 AM,2.2,0.6,22.13,,,,,
165,06/23/22 10:08:12 AM,2.2,0.6,22.14,,,,,
166,06/23/22 10:08:15 AM,2.2,0.6,22.14,,,,,
167,06/23/22 10:08:18 AM,2.2,0.6,22.11,,,,,
168,06/23/22 10:08:21 AM,1.0,0.6,22.11,,,,,
169,06/23/22 10:08:24 AM,2.2,0.6,22.10,,,,,
170,06/23/22 10:08:27 AM,2.2,0.6,22.10,,,,,
171,06/23/22 10:08:30 AM,2.2,0.6,22.10,,,,,
172,06/23/22 10:08:33 AM,2.2,0.6,22.10,,,,,
173,06/23/22 10:08:36 AM,2.2,0.6,22.11,,,,,
174,06/23/22 10:08:39 AM,2.2,-3.0,22.11,,,,,
175,06/23/22 10:08:42 AM,2.2,-3.0,22.11,,,,,
176,06/23/22 10:08:45 AM,2.2,0.6,22.13,,,,,
177,06/23/22 10:08:48 AM,1.0,0.6,22.13,,,,,
178,06/23/22 10:08:51 AM,2.2,-1.5,22.13,,,,,
179,06/23/22 10:08:54 AM,2.2,0.6,22.13,,,,,
180,06/23/22 10:08:57 AM,2.2,0.6,22.13,,,,,
181,06/23/22 10:09:00 AM,2.2,-3.0,22.14,,,,,
182,06/23/22 10:09:03 AM,2.2,0.6,22.14,,,,,
183,06/23/22 10:09:06 AM,2.2,0.6,22.14,,,,,
184,06/23/22 10:09:09 AM,2.2,0.6,22.13,,,,,
185,06/23/22 10:09:12 AM,2.2,0.6,22.14,,,,,
186,06/23/22 10:09:15 AM,1.0,-1.5,22.14,,,,,
187,06/23/22 10:09:18 AM,2.2,-3.0,22.14,,,,,
188,06/23/22 10:09:21 AM,2.2,0.6,22.14,,,,,
