sample_no,date,time,Nh4_mgNL,PO4_ugL,ysi_SPC,notes
1,2022-10-03,14:35:00,0.0146,12.833,576.3,Reach length: 50m
2,2022-10-03,14:40:30,0.6523,17.315,613.5,"BOR HOBO: NA, HOR HOBO: NA"
3,2022-10-03,14:41:30,4.0059,13.871,760,"700 g NaCl, 200 g NH4Cl, 6L H2O"
4,2022-10-03,14:42:30,9.8713,,1044,"Injection start: 14:30:00 PST, injection end: 14:32:15 PST"
5,2022-10-03,14:43:00,13.5516,,1185,"BOR GPS: N 39.08685, W 119.93247; elevation: 6300 ft"
6,2022-10-03,14:43:30,18.0357,,1350,"HOR GPS: N 39.08681, W 119.93191; elevation: 6310 ft"
7,2022-10-03,14:44:00,19.5723,,1460,
8,2022-10-03,14:45:00,22.7408,11.923,1536,
9,2022-10-03,14:46:00,21.1423,,1482,
10,2022-10-03,14:47:00,16.9214,,1350,
11,2022-10-03,14:48:00,17.5197,,1212,Should be an NA ELH
12,2022-10-03,14:49:00,7.7397,12.115,990,
13,2022-10-03,14:51:00,7.7397,13.872,850,
14,2022-10-03,14:52:00,3.2601,,783,
15,2022-10-03,14:54:00,3.2393,,685.4,
16,2022-10-03,14:56:00,1.7206,,628.5,
17,2022-10-03,14:59:00,1.004,12.254,605.8,
18,2022-10-03,15:04:00,0.4416,11.518,588.9,
19,2022-10-03,15:10:10,0.218,13.281,583,
HOR_1,2022-10-03,14:28:00,0.0166,15.862,,
HOR_2,2022-10-03,14:58:00,0.0127,15.504,,
Blank,2022-10-03,,0.0151,5.219,,
